plate,shRNA,Well,GeoMean
12,Phf1.3,E11,7619.495421
4,Dnmt3b.2,C05,3457.790351
1,Atrx.2,D03,3461.640495
15,Rpa3.3,D10,4615.236684
19,Cbx2.1,D08,4617.646832
control 1,shCd4.3,D11,3475.944499
16,Smyd2.2,D03,4635.761166
14,Prmt7.4,G10,7672.986297
6,Hdac3.4,F11,3484.272386
1,Atad2.1,B04,3484.434208
8,Kdm4c.2,C05,7688.930361
9,Mbd3.1,B08,7697.754619
4,Dot1l.3,F03,3495.931653
21,Scmh1.2,D10,4665.100632
15,Setd1a.3,F06,4665.751927
14,Rbbp5.2,C07,7726.870792
11,Ncor2.2,D09,7731.046802
4,Chd8.2,E07,3511.438687
11,Ncor2.3,E11,7744.375855
17,Suv420h1.1,B04,4688.123863
15,Sin3b.4,G05,4688.923491
12,Phf20l1.1,B04,7764.32445
9,Mecom.1,C09,7769.519418
control 2,shCxxcl.1,D06,7777.577601
14,Rbbp5.4,F04,7779.677992
8,Kdm3a.4,F04,7785.17509
16,Sirt1.1,B02,4702.13363
19,Actl6a,E03,4703.285863
17,Suv420h1.3,E06,4703.653361
16,Sirt5.3,F06,4704.509022
1,Aurkb.4,G05,3537.872575
17,Sp100.2,C08,4719.575094
15,Setmar.3,E10,4719.706585
1,Atad2.4,F04,3549.095364
20,H2afz.3,D06,4727.332435
16,Sirt6.4,G07,4729.373711
19,Chd7.3,C05,4729.649468
control 2,shWhsc1.2,B07,7846.110476
1,Aff4.4,G08,3563.093605
16,Sirt6.3,F05,4739.0021
8,Kdm4a.4,F07,7853.206852
8,Kat5.2,E07,7858.637936
8,Kdm3a.3,E06,7859.850401
10,Nap1l1.1,B07,7864.6157
8,Kdm1a.4,G10,7870.788952
11,Parp1.3,E05,7873.284822
16,Smarcd1.3,E10,4758.288931
16,Smarcd1.4,G02,4759.103925
9,L3mbtl2.2,E02,7892.906511
4,Crebbp.4,G03,3588.609421
18,Tet1.4,G04,4770.331273
16,Smarcc2.1,B04,4776.748929
19,Cbx2.3,G02,4778.560711
2,Bop1.3,E11,3601.277791
11,Nsd1.2,E02,7927.347707
17,Ssrp1.4,G10,4786.335875
15,Setd8.3,F08,4790.618505
control 1,shBrd8.3,C08,3607.091663
17,Tcea1.4,G05,4792.317732
control 1,shRunx3.3,F04,3609.501694
19,Zmynd8.1,C11,4797.288538
control 1,shSp140.1,F06,3614.270028
19,Zmynd11.3,E11,4801.817215
21,Smarca2.3,C03,4803.227778
12,Phf20l1.4,F04,7960.518799
4,Chd5.2,C08,3618.833614
4,Dnmt3l.4,G06,3621.643945
17,Suv39h1.2,E03,4813.062565
4,Chd8.3,F05,3627.939155
16,Sirt1.2,C04,4823.466796
14,Prmt1.4,E04,7993.212821
12,Ppargc1a.3,D07,7994.973001
4,Chd6.1,C03,3634.099163
control 1,shCd4.3,D10,3639.398944
17,Sp110.3,F06,4834.667957
8,Jmjd6.1,B10,8011.51692
15,Setdb2.1,B04,4842.412537
16,Smarcc2.4,F04,4847.005799
15,Setd2.4,G07,4848.153777
control 1,shRunx3.1,F02,3653.626877
12,Phc1.4,G07,8040.270926
15,Setd5.2,E02,4857.443449
1,Atr.4,F11,3659.92108
17,Sp100.3,F02,4867.614749
9,L3mbtl2.1,C11,8069.416139
