plate,shRNA,Well,Percentage
plate 20,Jmjd8.3,E02,18.54871629
plate 14,Rnf217.4,G06,1.566820276
plate 16,Sirt4.1,B06,18.56087937
plate 7,Ino80.1,C06,0.775775776
plate 12,Prdm1.4,G05,1.57116451
plate 18,Tet1.4,G04,18.59020891
plate 10,Myst4.3,D07,1.574560049
plate 2,Brd1.1,B05,0.779816514
plate 18,Tdg.2,C04,18.60907481
plate 12,Phip.3,E05,1.577669903
plate 3,Brwd3.2,D02,0.782268579
plate 7,Jmjd4.3,F03,0.782472613
plate 10,Mll5.1,C03,1.579077227
control,Sp140.4,F09,1.582591494
plate 11,Ncor2.1,B09,1.582887701
plate 18,Ube2i.2,D08,18.64123431
plate 6,Gtf3c4.1,C11,0.786516854
plate 19,Whsc1.1,C03,18.64590261
plate 17,Taf1.1,B11,18.67115913
plate 2,Baz1a.2,C04,0.791556728
control 3,shKlf2.4,E09,18.6803945
plate 11,Padi1.2,C10,1.594720924
plate 11,Ncoa1.2,C08,1.595375723
plate 12,Pcmt1.2,D06,1.597444089
plate 15,Scml2.3,E08,18.7290914
plate 16,Sirt4.2,C08,18.72995015
plate 13,Prdm6.2,C07,1.601671309
control 3,shmll2.3,C04,18.73814621
control 3,shSmarca4.3,E04,18.74359802
plate 6,Hat1.3,F08,0.801644399
plate 10,Myst4.4,G06,1.605839416
plate 6,Gadd45a.3,F02,0.803858521
plate 14,Prmt3.2,C08,1.608533695
plate 8,Kat5.3,F05,1.611535199
plate 8,Kdm1b.3,F09,1.612903226
plate 8,Jmjd6.3,E08,1.614832536
control,shCd4.1,B11,1.617440225
plate 13,Prdm13.2,D06,1.617795753
plate 17,Sp110.2,D06,18.82039801
plate 15,Scml4.1,B06,18.83290939
plate 9,Men1.1,B07,1.623875357
plate 11,Paxip1.2,C05,1.625441696
plate 4,Ctsl.1,B05,0.819672131
plate 2,Brpf1.4,G06,0.821917808
plate 16,Sirt6.1,D05,18.88655286
plate 2,Baz1a.4,E04,0.823045267
plate 1,Atad2b.1,C06,0.82400169
plate 9,L3mbtl3.3,F08,1.632406288
plate 18,Ube2e1.2,C07,18.90748149
