shRNA,t1,t2
Prmt1.1,-8.809183,75.07172
Rbbp4.1,-0.58112144,80.27608
Rbbp5.1,-6.6414537,76.994736
Psip1.1,-16.985754,61.61423
Prmt3.1,-6.3500805,81.47007
Rnf40.1,0.39216334,80.946144
Ring1.1,-1.3375453,77.15039
Prmt7.1,-4.5511355,78.12462
Prmt2.1,-5.9273686,79.13961
Rnf20.1,-0.39323732,80.621994
Ring1.2,-32.939007,48.843323
Prmt5.1,-5.029999,78.75069
Prmt1.2,-4.996559,71.43733
Rnf20.2,0.50318396,72.89582
Rbbp7.1,-2.144729,71.676
Rbbp5.2,-6.390358,81.65719
Prmt3.2,-2.3251226,75.21459
Rnf217.1,-1.2777714,76.42633
Rbbp4.2,0.76546377,69.4425
Prmt8.1,2.2522435,71.79822
Prmt2.2,2.1466546,75.66101
Rnf217.2,2.514309,79.885605
Rbbp4.3,-4.5901933,58.468857
Prmt6.1,-0.6151223,78.39597
Prmt5.2,1.7625984,74.012596
Rnf217.3,-4.1282215,75.58426
Rbbp7.2,1.2066605,67.538315
Prmt7.2,-1.0132276,71.84007
Prmt1.3,-8.877778,74.69874
Rnf40.2,4.2474985,73.89494
Prmt8.2,2.362572,75.97208
Psip1.2,1.4694299,77.23229
Prmt1.4,1.3896512,75.923195
Ring1.3,-4.079205,71.02906
Rbbp5.3,-0.8795319,71.02485
Prmt6.2,-2.932164,76.71626
Prmt2.3,0.6342683,74.45251
Rnf20.3,2.114137,79.324554
Rbbp7.3,3.0383496,72.65847
Prmt7.3,-3.4214895,80.11041
Prmt3.3,2.0791981,65.61646
Rnf40.3,6.1150494,72.92645
Rbbp5.4,-0.7808566,69.76882
Prmt6.3,-0.093937986,69.36395
Prmt5.3,3.6957572,71.772835
Ring1.4,-1.305366,67.37354
Psip1.3,-1.8772227,68.72389
Prmt8.3,-2.1711955,74.92658
Prmt5.4,1.732978,67.020836
Rnf20.4,2.9228816,73.41675
Rbbp7.4,-18.735134,61.02498
Prmt8.4,-2.7202919,73.841995
Prmt2.4,-37.25053,64.99006
Rpa3.1,-7.327638,39.766254
Setdb1.1,-5.842745,72.12639
Setdb2.1,14.858292,-3.3376048
Setd8.1,2.4992692,5.695966
Scml4.1,-4.6830516,0.9938592
Sin3b.1,0.090488404,1.7969285
Sfmbt1.1,-0.58662534,5.171602
Setd4.1,1.9520551,1.3071078
Scml2.1,0.6035419,7.2607093
Sfmbt2.1,6.293425,-0.85102326
Sfmbt1.2,-13.896954,-26.411333
Setd1a.1,13.617675,19.148775
Rpa3.2,-6.3561206,41.38649
Sfmbt2.2,33.626316,-0.024529658
Setmar.1,-30.030619,-23.51601
Setdb2.2,7.482892,-0.5036297
Scml4.2,-18.146267,-7.9495945
Sin3a.1,6.2242365,0.052315123
Setdb1.2,-1.1068667,-1.9459063
Setd5.1,-48.074703,-7.2888775
Scml2.2,24.586355,35.05998
Sin3a.2,-1.059148,8.347047
Setdb1.3,-17.30769,29.522045
Setd2.1,16.764511,20.79792
Setd1a.2,32.250492,19.259144
Sin3a.3,-0.60693556,7.4166
Setmar.2,-15.520406,-5.434214
Setd4.2,0.9808299,-3.5617185
Rpa3.3,26.448425,32.875664
Sin3b.2,3.8118799,0.91083264
Setd5.2,9.075008,10.695835
Setd8.2,-0.7552078,-30.591902
Rpa3.4,-6.448968,40.71611
Sfmbt1.3,18.119122,18.426493
Setdb2.3,-6.1133704,-22.4999
Setd2.2,-2.0980177,-12.788286
Scml2.3,-13.860758,-21.858025
Sfmbt2.3,-5.649892,-28.5024
Setmar.3,21.100544,21.454592
Setd4.3,14.860114,6.0291247
Scml4.3,-0.2722578,2.48853
Sin3b.3,-8.744417,-3.6966586
Setdb2.4,-23.284672,-2.5974119
Setd2.3,-7.858145,-5.795166
Setd1a.3,14.080902,21.555666
Sfmbt1.4,0.13094163,-15.852927
Setd8.3,-3.4386435,45.982533
Setd5.3,8.276877,11.145244
Setd1a.4,22.986906,12.889348
Sfmbt2.4,-13.542358,18.254402
Setmar.4,-4.468309,4.9004006
Setd5.4,8.250299,11.191525
Scml2.4,-3.4709525,3.1613123
Sin3b.4,-7.5071306,-8.216824
Sin3a.4,26.032612,36.308445
Setd2.4,-7.4504356,-8.267545
Scml4.4,-51.99853,-5.8135457
Setdb1.4,23.913784,35.047043
Setd4.4,29.564169,33.73558
Setd8.4,29.687754,31.628258
Sirt1.1,-20.258894,-11.39107
Smarca5.1,-44.12776,-11.272703
Smarcc2.1,12.733652,1.8254201
Smarca4.1,-63.44283,23.894258
Sirt4.1,-12.559166,-9.572914
Smyd3.1,-17.593918,-16.602087
Smarcd3.1,28.143959,27.237293
Sirt7.1,-18.605425,-16.73125
Sirt3.1,-3.947808,6.1931834
Smarce1.1,-18.02024,-12.995555
Smarcd3.2,-4.452396,-18.413416
Sirt5.1,-4.102911,-20.628578
Sirt1.2,-5.8214827,-17.471512
Smarce1.2,-65.71481,29.5202
Smarcd1.1,-23.579693,-11.000152
Smarcc2.2,11.7688675,2.3594148
Sirt4.2,-18.397608,-6.0530467
Smyd2.1,-17.896645,-13.835724
Smarca5.2,-0.082775645,0.28539425
Smarca1.1,-0.20433909,-10.73481
Sirt3.2,-36.40472,-11.752874
Smyd2.2,-7.9264717,-15.341538
Smarca5.3,-45.249016,-11.741925
Sirt6.1,-31.554636,-22.463526
Sirt5.2,-2.2629058,-18.77759
Smyd2.3,-65.10008,1.9870284
Smarcd1.2,-31.35761,-13.216517
Sirt7.2,-42.915836,-26.507393
Sirt1.3,-16.393469,-14.28804
Smyd3.2,15.249486,6.5618763
Smarca1.2,-6.4609437,-16.880394
Smarca4.2,-64.0515,24.449577
Sirt1.4,-2.8747382,-17.885193
Smarcd3.3,5.1606874,-26.990406
Smarcc2.3,18.7038,18.702497
Sirt6.2,-15.716976,-14.320199
Sirt3.3,10.598159,3.0173264
Smarce1.3,-66.02578,29.97265
Smarcd1.3,-22.052803,-11.517652
Sirt7.3,29.054592,34.999954
Sirt4.3,-6.355157,-18.411686
Smyd3.3,-6.2866745,16.637371
Smarcc2.4,6.7762527,-22.415125
Sirt6.3,-8.785509,-11.505936
Sirt5.3,19.885393,18.157463
Smarcd3.4,14.71694,3.2113307
Smarca4.3,-60.468197,20.968916
Smarca1.3,0.19404085,-24.395779
Sirt5.4,-0.031196732,-11.911371
