shRNA,count
Phip.4,1295
Polr2b.1,2
Polr2b.2,551
Polr2b.3,697
Polr2b.4,125
Ppargc1a.1,403
Ppargc1a.2,936
Ppargc1a.3,402
Ppargc1a.4,5602
Prdm1.1,1082
Prdm1.2,466
Prdm1.3,534
Prdm1.4,2583
Prdm10.1,864
Prdm10.2,5170
Prdm10.3,158
Prdm10.4,1809
Prdm11.2,0
Prdm11.3,857
Prdm11.4,519
Prdm12.1,308
Prdm12.2,376
Prdm12.3,814
Prdm12.4,2826
Prdm13.1,879
Prdm13.2,333
Prdm13.4,50
Prdm14.1,299
Prdm14.2,1587
Prdm14.3,690
Prdm14.4,6
Prdm15.1,0
Prdm15.2,554
Prdm15.3,333
Prdm15.4,4889
Prdm16.1,439
Prdm16.2,1
Prdm16.3,0
Prdm2.1,0
Prdm2.2,218
Prdm2.3,358
Prdm2.4,2362
Prdm4.1,2
Prdm4.2,6599
Prdm4.3,419
Prdm4.4,178
Prdm5.1,808
Prdm5.2,33
Prdm5.3,3
Prdm5.4,644
Prdm6.1,380
Prdm6.2,621
Prdm6.3,0
Prdm6.4,4374
Prdm8.1,10403
Prdm8.2,361
Prdm8.3,251
Prdm8.4,581
Prdm9.1,117
Prdm9.2,21
Prdm9.3,0
Prdm9.4,5475
Prkaa1.1,162
Prkaa1.2,1341
Prkaa1.3,805
Prkaa1.4,0
Prkaa2.1,1436
Prkaa2.2,4552
Prkaa2.3,4217
Prkaa2.4,46
Prkcd.1,1404
Prkcd.2,651
Prkcd.3,2918
Prkcd.4,204
Prmt1.1,18
Prmt1.2,901
Prmt1.3,521
Prmt1.4,82
Prmt2.1,436
Prmt2.2,2
Prmt2.3,1814
Prmt2.4,10385
Prmt3.1,4095
Prmt3.2,14652
Prmt3.3,640
Prmt3.4,2580
Prmt5.1,0
Prmt5.2,7655
Prmt5.3,5633
Prmt5.4,60
Prmt6.1,4
Prmt6.2,406
Prmt6.3,337
Prmt6.4,3
Prmt7.1,286
Prmt7.2,0
Prmt7.3,415
Prmt7.4,19
Prmt8.1,743
Prmt8.2,1393
Prmt8.3,0
Prmt8.4,39145
Psip1.1,2489
Psip1.2,26957
Psip1.3,1492
Psip1.4,1253
Rbbp4.1,1862
Rbbp4.2,420
Rbbp4.3,2664
Rbbp5.1,808
Rbbp5.2,3246
Rbbp5.3,973
Rbbp5.4,1485
Rbbp7.1,2250
Rbbp7.2,892
Rbbp7.3,112828
Rbbp7.4,3076
Ring1.1,102
Ring1.3,686
Ring1.4,978
Rnf2.1,263
Rnf2.2,0
Rnf2.3,1
Rnf20.1,69
Rnf20.2,187
Rnf20.3,3468
Rnf20.4,159
Rnf217.1,1013
Rnf217.2,916
Rnf217.3,34
Rnf217.4,2542
Rnf40.1,157
Rnf40.2,178
Rnf40.3,395
Rnf40.4,496
Rpa3.1,0
Rpa3.2,0
Rpa3.3,0
Rpa3.4,0
Runx3,536
Runx3.2,326
Runx3.3,35
Satb1.1,0
Satb1.2,2
Satb1.3,4
Scmh1.1,3
Scmh1.2,473
Scmh1.3,96
Scml2.1,0
Scml2.2,0
Scml2.3,1
Scml2.4,2
Scml4.1,0
Scml4.2,0
Scml4.3,0
Setd1a.1,0
Setd1a.2,16
Setd1a.3,1
Setd1a.4,56
Setd2.1,0
Setd2.2,4
Setd2.3,696
Setd2.4,5
Setd3.1,0
Setd3.2,0
Setd3.3,0
Setd4.1,0
Setd4.2,0
Setd4.3,0
Setd4.4,0
Setd5.1,0
Setd5.2,264
Setd5.3,0
Setd5.4,1
Setd7.1,0
Setd7.2,0
Setd8.1,0
Setd8.2,0
Setd8.3,1
Setd8.4,0
Setdb1.1,656
Setdb1.2,0
Setdb1.3,1
Setdb1.4,1
Setdb2.1,1
Setdb2.2,0
Setdb2.3,0
Setdb2.4,1
Setmar.1,0
Setmar.2,4
Setmar.3,0
Setmar.4,96
Sfmbt1.1,0
Sfmbt1.2,1
Sfmbt1.3,75
Sfmbt1.4,19
Sfmbt2.1,0
Sfmbt2.2,6
Sfmbt2.3,4
Sgk1.1,0
Sin3a.1,0
Sin3a.2,0
Sin3a.3,1
Sin3a.4,0
Sin3b.1,0
Sin3b.2,0
Sin3b.3,0
Sin3b.4,0
Sirt1.1,14
Sirt1.2,60
Sirt1.3,0
Sirt1.4,3
Sirt3.1,0
Sirt3.2,0
Sirt3.3,0
Sirt3.4,1
Sirt4.1,0
Sirt4.2,0
Sirt4.3,120
Sirt4.4,8
Sirt5.1,0
Sirt5.2,1
Sirt5.3,0
Sirt5.4,0
Sirt6.1,0
Sirt6.2,0
Sirt6.3,0
Sirt6.4,0
Sirt7.1,0
Sirt7.2,1
Sirt7.3,0
Sirt7.4,193
Smarca1.1,113
Smarca1.2,4
Smarca1.3,10
Smarca1.4,8
Smarca2.1,656
Smarca2.2,4
Smarca2.3,2
Smarca4.1,0
Smarca4.2,122
Smarca4.3,412
Smarca4.4,0
Smarca5.1,310
Smarca5.2,0
Smarca5.3,0
Smarca5.4,0
Smarcb1.2,797
Smarcc1.1,0
Smarcc1.2,0
Smarcc1.3,0
Smarcc2.1,0
Smarcc2.2,892
Smarcc2.3,84
Smarcc2.4,2177
Smarcd1.1,27
Smarcd1.2,50
Smarcd1.3,0
Smarcd1.4,0
Smarcd2.1,0
Smarcd2.2,6
Smarcd2.3,0
Smarcd3.1,0
Smarcd3.2,0
Smarcd3.3,2
Smarcd3.4,0
Smarce1.1,0
Smarce1.2,1
Smarce1.3,20
Smarce1.4,7114
Smyd1.1,1
Smyd1.2,0
Smyd1.3,60
Smyd2.1,0
Smyd2.2,250
Smyd2.3,0
Smyd2.4,0
Smyd3.1,0
Smyd3.2,0
Smyd3.3,0
Smyd3.4,0
Smyd4.1,0
Smyd4.2,549
Smyd4.3,0
Smyd4.4,0
Smyd5.1,158
Smyd5.2,1
Smyd5.3,0
Smyd5.4,0
Sp100.1,1579
Sp100.2,0
Sp100.3,11
Sp100.4,0
Sp110.1,1
Sp110.2,3
Sp110.3,0
Sp110.4,2
Sp140.1,0
Sp140.2,0
Sp140.3,0
Sp140.4,0
Ssrp1.1,0
Ssrp1.2,0
Ssrp1.3,26
Ssrp1.4,1419
Supt16h.1,1
Supt16h.2,0
Supt16h.3,26
Supt16h.4,18775
Suv39h1.1,0
Suv39h1.2,48
Suv39h1.3,1
Suv39h1.4,0
Suv39h2.1,0
Suv39h2.2,0
Suv39h2.3,0
Suv39h2.4,1
Suv420h1.1,0
Suv420h1.2,56
Suv420h1.3,1
Suv420h1.4,0
Suv420h2.1,3
Suv420h2.2,0
Suv420h2.3,0
Suv420h2.4,0
Suz12.1,0
Suz12.2,1
Suz12.3,0
Suz12.4,0
Taf1.1,0
Taf1.2,44
Taf1.3,1204
Taf1.4,2120
Taf3.1,0
Taf3.2,2
Taf3.3,0
Taf3.4,123
Tbx21,4286
Tbx21.3,872
Tbx21.4,664
Tcea1.1,2
Tcea1.2,0
Tcea1.3,0
Tcea1.4,516
Tdg.1,0
Tdg.2,0
Tdg.3,0
Tdg.4,0
Tet1.1,4
Tet1.2,62
Tet1.3,0
Tet1.4,0
Tet2.1,2
Tet2.2,1
Tet2.3,0
Tet2.4,3
Tet3.1,0
Tet3.2,2
Tet3.3,0
Tet3.4,1
Trim24.1,0
Trim24.2,733
Trim24.3,0
Trim24.4,0
Trim28.1,1
Trim28.2,0
Trim28.3,0
Trim28.4,1
Trim33.1,1
Trim33.2,0
Trim33.3,652
Trim33.4,0
Trim66.1,0
Trim66.3,0
Trim66.4,40
Ube2a.1,0
Ube2a.2,2
Ube2b.1,0
Ube2b.2,0
Ube2b.3,113
Ube2b.4,0
Ube2e1.1,5
Ube2e1.3,0
Ube2e1.4,0
Ube2i.1,0
Ube2i.2,2
Ube2i.3,0
Ube2i.4,14
Uhrf1.1,1
Uhrf1.2,0
Uhrf1.3,252
Uhrf1.4,1
Usp22.1,0
Usp22.2,0
Usp22.3,0
Usp22.4,1
Usp27x.1,0
Usp27x.2,51
Usp27x.3,0
Usp27x.4,0
Usp51.1,13
Usp51.2,0
Usp51.3,0
Usp51.4,18
Wbp7.1,0
Wbp7.2,0
Wbp7.3,181
Wbp7.4,0
Wdr5.1,4
Wdr5.2,0
Wdr5.3,1
Wdr5.4,1
Wdr82.1,0
Wdr82.2,0
Wdr82.3,2
Wdr82.4,2
Whsc1.1,0
Whsc1.2,0
Whsc1.3,10
Whsc1.4,12
Whsc1l1.2,129
Whsc1l1.3,0
Whsc1l1.4,660
Zmynd11.1,0
Zmynd11.2,1
Zmynd11.3,1
Zmynd11.4,0
Zmynd8.1,0
Zmynd8.2,0
Zmynd8.3,0
Zmynd8.4,0
