"Experiment: 10 U p1","Analysis: Analysis 3","User: Admin","Number of Plates: 8","Plate Type: 96 Well","Plate Order: Row","Export Date: 6/2/2015","Export Time: 2:03:29 PM"
"Plate: control"
"Well ID","Well Type","GFP+CD103+ as % of GFP+","Amet+GFP+CD103+ as % of Amet+GFP+","Amet+CD103+ as % of Amet+"
"B09","Sample",33.1202046035806,41.0366328916602,58.3845478489903
"B10","Sample",32.5,37.696335078534,46.3588898048914
"B11","Sample",33.4593572778828,43.979057591623,51.8251464623704
"C02","Sample",32.2683706070288,41.67674324869,58.9013632718524
"C03","Sample",34.7320852162686,44.0812440495081,61.1872146118722
"C04","Sample",34.9258649093904,37.7811094452774,53.4048852701702
"C05","Sample",25.4090909090909,34.8499210110584,50.3829503829504
"C06","Sample",35.5155482815057,28.2608695652174,35.6271504535502
"C07","Sample",38.4424778761062,43.8320209973753,54.2404473438956
"C08","Sample",33.5170893054024,40.1323955316508,52.469904524699
"C09","Sample",33.0193615907902,36.9772366331392,52.8685790527018
"C10","Sample",31.5327481431465,46.6627288836385,60.5091770278271
"C11","Sample",35.2791878172589,33.2865562728038,44.6107784431138
"D02","Sample",35.8615004122012,45.6825657894737,53.8672142368241
"D03","Sample",35.9472049689441,39.0290037831021,49.0981240981241
"D04","Sample",35.379177377892,53.4034034034034,71.7105263157895
"D05","Sample",36.8653421633554,58.3157894736842,69.571136827774
"D06","Sample",33.5355285961872,40.0457084814627,51.869918699187
"D07","Sample",41.2698412698413,29.5454545454545,75.5656108597285
"D08","Sample",26.3782274947662,33.0321046373365,47.940074906367
"D09","Sample",29.6571226581831,40.9645554909936,60.2493765586035
"D10","Sample",31.5348837209302,40.4310907903331,55.2384041518002
"D11","Sample",30.6647605432452,35.7831325301205,49.2739593417231
"E02","Sample",35.826359832636,41.6276346604215,50.4362276692979
"E03","Sample",35.7487922705314,30,35.6935577481138
"E04","Sample",32.5474787164375,38.0232244126384,55.3835800807537
"E05","Sample",50.3113953879818,51.6483516483517,64.5070422535211
"E06","Sample",24.0607513988809,30.0119474313023,42.9678848283499
"E07","Sample",30.3106936416185,40.0057191878753,57.0073761854584
"E08","Sample",32.1658615136876,37.8088077336198,44.7773064687169
"E09","Sample",17.8101503759399,24.4792833146697,35.1747463359639
"E10","Sample",28.7472035794183,25.4884060617126,33.9922048997773
"E11","Sample",32.572538545587,34.2105263157895,40.5405405405405
"F02","Sample",30.6744017403916,51.2773047019622,61.197270471464
"F03","Sample",42.2645502645503,46.1181923522596,56.4986737400531
"F04","Sample",37.9816513761468,41.1032531824611,61.9377162629758
"F05","Sample",40.7910271546635,51.8518518518518,58.4736251402918
"F06","Sample",39.622641509434,39.1776315789474,54.8794942710391
"F07","Sample",35.9398957375038,37.1678992056971,49.1983508932662
"F08","Sample",36.4214350590372,37.8757004584819,47.1792180530045
"F09","Sample",35.1390922401171,55.0153531218014,62.4657534246575
"F10","Sample",38.0296610169491,43.1469792605951,53.336422613531
"F11","Sample",27.5623268698061,36.5446371226718,44.4806517311609
"G02","Sample",36.0391882435269,38.5126964933495,53.4687809712587
"G03","Sample",34.9264705882353,40.4700579523503,49.333813467771
"G04","Sample",31.0467179183915,48.1381381381381,64.5743145743146
"G05","Sample",36.1024359775141,41.1879531511433,52.4991382281972
"G06","Sample",41.3670661340435,49.8964803312629,53.6050156739812
"G07","Sample",38.6700767263427,45.6793336803748,52.8778189161898
"G08","Sample",34.3076923076923,45.3337551407782,53.9054290718039
"G09","Sample",43.6865021770682,61.7806197737334,72.4195570413707
"G10","Sample",36.6248693834901,43.813175322412,50.8347978910369
"G11","Sample",32.4192565508836,33.7314105452907,42.2187981510015
"Plate: 17"
"Well ID","Well Type","GFP+CD103+ as % of GFP+","Amet+GFP+CD103+ as % of Amet+GFP+","Amet+CD103+ as % of Amet+"
