"Position","Pool","shRNA","Percentage","precentile","z"
"10_B09",2,"Msl3.1",1.403326403,66.6305586279677,0.429734440474613
"10_B10",2,"Mll2.1",1.581958936,71.5199539926392,0.56863934207052
"10_B11",2,"Myst3.1",1.410998553,66.8472911340589,0.435700314791465
"10_C02",2,"Myst2.2",1.317027281,64.1558651307488,0.362628125359979
"10_C03",2,"Mll5.1",0.465425532,38.224932097019,-0.299578557583643
"10_C04",2,"Mll1.2",0.708762887,45.6062294984232,-0.110359098041616
"10_C05",2,"Myst3.2",0.609988563,42.5765183170344,-0.187166147267203
"10_C06",2,"Myst1.1",0.803382664,48.5329161869645,-0.0367826302365516
"10_C07",2,"Mtf2.2",0.390298299,36.0172556093307,-0.357997596555887
"10_C08",2,"Mll3.2",0.164822227,29.6903240297842,-0.533328098046294
"10_C09",2,"Myst4.1",0.271423032,32.6198346394166,-0.450435166507505
"10_C10",2,"Mta3.2",0.488069414,38.8983010009345,-0.281970644018652
"10_C11",2,"Mta1.1",0.606626225,42.4740487797242,-0.189780705887508
"10_D02",2,"Mll2.2",1.81678608,77.3746260407992,0.751241249917663
"10_D03",2,"Myst4.2",0,25.414775275272,-0.661494086837671
"10_D04",2,"Mta3.3",0.699876492,45.3323377235424,-0.117269170928605
"10_D05",2,"Morf4l1.1",0,25.414775275272,-0.661494086837671
"10_D06",2,"Mll5.2",0.2463661,31.9206276308108,-0.469919471047683
"10_D07",2,"Myst4.3",0.624628198,43.0232469327798,-0.175782347099766
"10_D08",2,"Myst1.2",0.640133593,43.4973687776977,-0.163725330774075
"10_D09",2,"Msl3.2",0.758681062,47.1482938070646,-0.0715426569948879
"10_D10",2,"Mll1.3",0.791717418,48.1713491872822,-0.0458535414558537
"10_D11",2,"Nap1l1.2",2.219482121,85.6421306684274,1.06437824130862
"10_E02",2,"Mta1.2",1.300954033,63.6879260871661,0.350129545766045
"10_E03",2,"Mta2.2",1.052967454,56.249375793574,0.157294843292781
"10_E04",2,"Mll1.4",0.563502384,41.1645619074523,-0.223313863537703
"10_E05",2,"Myst2.3",0.681114551,44.7548114240117,-0.131858481870936
"10_E06",2,"Mtf2.3",0.744724866,46.7166300385971,-0.082395014062641
"10_E07",2,"Morf4l1.2",0.543847723,40.5708908242263,-0.238597354771105
"10_E08",2,"Mll2.3",0.858221765,50.2337919867546,0.00586032958764237
"10_E09",2,"Myst3.3",0.883704489,51.0242009162548,0.0256757305684685
"10_E10",2,"Myst1.3",0.615384615,42.7410712234463,-0.18297016986332
