,,Experiment: 100U p1,Analysis: Analysis 1,User: Admin,Plate: 16,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:41:51 AM,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+
E07,Sirt6.2,E07,Sample,2515,1891,1381,13619,10907.25008,9159.403463,3430.402556,3332.644503,2139.213928,1606.403601,4090.315194,4875.648138,38.21073559,31.57132513,24.00846113,30.27870342,3.260437376,404.9250535,7.820419986,24.69592808,0.318091451,4.798949029,7.332883246,15.92790307,44.05819263,54.98832878,49.00530775
E08,Sirt3.3,E08,Sample,2158,2074,1259,12855,10215.82331,10944.17503,3920.947892,3332.117267,2118.013521,1813.879724,4865.303247,5208.613872,34.52270621,28.91183479,19.67213115,28.55799373,2.919369787,640.1234568,7.942811755,15.6219865,0.278035218,5.075373575,6.647830016,19.62435745,43.3116977,58.52572382,50.3061877
E09,Smarce1.3,E09,Sample,1483,1956,1377,11749,11590.37544,6459.808284,3862.739768,3751.587259,1787.780772,1414.702666,2788.89382,4842.27203,41.94200944,28.83079158,18.96728016,30.09320905,2.4275118,232.5802616,10.53013798,42.99591002,0.134861767,5.396771987,10.25260556,19.45331064,61.35282409,153.2230455,169.4201219
E10,Smarcd1.3,E10,Sample,1870,2342,1353,14498,11681.9046,9095.766447,5314.391847,3747.604911,1998.584934,1904.53444,4304.121316,5099.615565,35.98930481,39.39393939,26.43040137,29.48801886,2.406417112,342.3976608,7.760532151,29.205807,0.213903743,4.707332283,6.037188163,12.10482518,41.05892701,30.98040559,32.19909067
E11,Sirt7.3,E11,Sample,6669,25,25,22448,11439.27176,7650.865668,3091.115099,3953.929203,1818.851048,2839.893106,3978.749355,4718.320319,29.77957715,64,20,24.43681319,4.57339931,625,8,16,0.56980057,5.259161471,23.23488669,25.62828484,34.23994336,26.66569147,32.55497946
F02,Sirt4.3,F02,Sample,970,1426,698,7254,12064.18455,11902.719,4605.713924,4611.918704,1839.878387,2019.206378,4449.280062,4485.889117,34.43298969,25.78796562,18.79382889,24.81337713,3.81443299,253.285968,15.32951289,39.48106592,0.309278351,4.607263709,7.115395343,19.74839022,50.93745176,79.66561467,59.11945233
F03,Smyd3.3,F03,Sample,3361,343,298,11545,11680.66352,12726.59419,4292.048785,3884.570107,1972.853126,1303.723534,3700.59469,4808.448735,34.69205594,31.20805369,16.32653061,25.89036854,8.211841714,361.0526316,19.79865772,27.696793,1.011603689,4.744708898,6.883046575,13.67851007,52.18438768,55.9607099,49.25403011
F04,Smarcc2.4,F04,Sample,936,1541,920,7859,11468.26791,10668.17596,5133.180783,4114.795942,1973.584654,1981.269033,4182.667315,4627.191983,38.35470085,36.73913043,23.81570409,25.69814873,5.021367521,223.6574746,14.45652174,44.71122648,1.068376068,4.937417373,7.636837892,17.62393986,51.86026815,96.23347475,85.37332714
F05,Sirt6.3,F05,Sample,2954,601,520,12113,11235.52943,9973.947523,4439.617626,3998.180197,2068.049568,2341.425026,4217.170831,4714.336377,35.74813812,37.69230769,28.78535774,25.2407647,6.194989844,326.6304348,14.23076923,30.6156406,0.507786053,5.05875461,11.08116028,20.00635866,72.06580948,81.80087584,64.91555627
F06,Sirt5.3,F06,Sample,1674,2481,1375,12498,10676.9703,13468.907,4943.429061,3979.325888,2310.185655,1747.270934,4741.830286,4942.349451,37.57467145,30.32727273,22.85368803,26.94046722,4.599761051,370.2985075,13.09090909,27.00523982,0.537634409,5.301686399,7.643050243,17.00861787,74.30446782,114.7730367,77.06973696
F07,Smarcd3.4,F07,Sample,2354,1690,1229,13036,10936.43779,12961.50411,5089.266131,3585.846721,2299.24133,1366.293782,4312.687435,4732.664584,37.5531011,34.17412531,23.01775148,28.22683706,4.842820731,433.3333333,9.764035801,23.07692308,0.46728972,4.650987837,6.114926814,14.50367227,57.88066678,78.87413438,64.94829796
F08,Smarca4.3,F08,Sample,1000,2339,1773,10541,10962.40538,5013.080847,3025.906537,3876.684111,1977.281065,1725.642568,3347.50074,4320.254338,30.6,24.02707276,15.04916631,26.37362637,3.2,236.2626263,13.36717428,42.32578025,0.6,4.937115,10.1202133,20.23444877,53.99354462,84.57944587,85.10110927
F09,Smarca1.3,F09,Sample,2573,1089,555,13081,11956.54831,9554.114938,2531.045183,3812.406791,1972.757826,2148.21513,4651.145996,4735.682329,32.6467159,27.38738739,19.74288338,23.88059701,4.78041197,335.0769231,15.67567568,29.84389348,0.544111932,4.769739263,8.170683147,25.97966065,43.38694985,85.20098462,66.49355671
F10,Sirt5.4,F10,Sample,937,2988,1253,9654,10206.04213,9966.792051,4247.558205,3338.668907,1924.701664,1357.354586,3724.609139,4446.803799,34.47171825,24.58100559,18.94243641,28.26610476,2.561366062,342.6605505,12.05107741,29.18340027,0.853788687,5.092370683,8.153541052,21.28714817,40.39326805,59.4613522,55.83663869
F11,Smarce1.4,F11,Sample,1694,2394,1823,13498,11640.71089,7004.634345,3345.313314,4331.511744,1775.419303,1655.3633,3628.499101,4251.735632,32.29043684,28.63411958,18.00334169,26.17699115,4.545454545,212.8,12.06801975,46.9924812,0.41322314,5.322691529,11.42165232,23.25411558,44.83542911,88.95313161,103.7073945
G02,Smarcd1.4,G02,Sample,1482,2317,1588,11190,11185.25629,9462.261547,3837.743852,3937.128136,1793.928623,1403.761219,3494.766882,4471.264196,32.18623482,28.58942065,18.34268451,28.4241869,4.453441296,335.7971014,9.634760705,29.77988779,0.472334683,5.193989851,7.338658166,18.49164482,47.89788724,43.89137243,47.05488552
G03,Smarca1.4,G03,Sample,1030,2834,1412,10621,10057.30266,10950.17292,4738.589493,3519.776984,2345.80291,1508.491298,3564.155105,4987.298862,31.45631068,28.04532578,21.27734651,26.56560636,4.368932039,351.1771995,9.702549575,28.47565279,0.582524272,5.770090944,8.835373034,19.19931315,48.12234552,53.60193802,50.93355424
G04,Sirt3.4,G04,Sample,1196,2811,1431,11190,11742.98179,8169.049266,3104.442234,4153.862323,1872.903657,1727.904173,3873.906907,4788.197705,31.02006689,25.71628232,19.21024546,26.04537367,4.264214047,397.5954738,9.154437456,25.15119175,0.25083612,5.126537735,10.36469062,24.34841788,66.97026633,87.90792686,66.40727057
G05,Smyd3.4,G05,Sample,1392,2679,1281,11834,9882.557382,8462.025116,3807.495483,3543.09464,2141.762451,1815.18799,3932.833982,4429.766422,34.12356322,28.64949258,17.65584173,24.6939965,5.172413793,387.698987,11.00702576,25.79320642,0.287356322,5.816063867,10.31089934,20.78951704,59.39525419,66.28122121,58.69080767
G06,Smyd2.4,G06,Sample,2648,1200,638,13050,11231.97161,11033.88481,4755.288162,3875.224176,2034.315879,1991.935091,4431.427989,4903.786078,32.59063444,32.13166144,22.75,24.12518157,6.268882175,406.779661,10.5015674,24.58333333,0.717522659,5.517821426,7.968968659,17.94356075,47.00518497,45.51341322,46.93289187
G07,Sirt6.4,G07,Sample,1437,2449,1212,10869,10777.84441,11249.39185,4804.396959,3770.141357,2487.575502,2549.637267,4921.263047,5039.891341,37.29993041,29.78547855,22.21314822,27.53711613,4.662491301,382.65625,9.075907591,26.13311556,0.695894224,6.2981351,8.378015512,20.88199403,63.37116456,90.22834304,79.09703856
G08,Sirt4.4,G08,Sample,1205,1935,1146,9601,10170.90146,9744.988388,3837.869209,3664.537042,2042.11901,1496.737061,4577.69502,4914.511975,35.6846473,26.09075044,18.55297158,25.6626506,3.485477178,347.3967684,11.43106457,28.78552972,0.331950207,6.292113179,9.208999491,19.88480323,62.44198864,81.30948098,69.08363228
G09,Smarca5.4,G09,Sample,1066,1141,435,8592,10474.17804,12977.57799,4592.163868,3613.659597,2191.722019,2608.1554,4837.946779,5056.12651,31.98874296,36.32183908,22.43645925,26.51731161,6.003752345,138.3030303,27.12643678,72.30499562,0.750469043,5.654136263,12.79112583,54.63144087,50.65459262,61.82414449,61.81401327
G10,Sirt7.4,G10,Sample,1670,1881,1181,11396,10842.76896,9998.68975,3782.214778,3771.916319,1761.962893,2063.055254,4884.439788,4844.482704,33.47305389,26.16426757,19.88304094,25.20587182,4.011976048,360.3448276,9.737510584,27.75119617,0.538922156,5.775291452,8.698704176,23.94279814,50.14607437,81.63121675,70.08699783
G11,Smarca4.4,G11,Sample,1348,2642,1591,11432,11135.28979,6597.139233,3149.507151,4330.692159,1485.028598,1851.917363,3251.834745,3996.87831,30.19287834,22.06159648,13.92884179,25.84294105,4.376854599,351.7976032,9.930861094,28.42543528,0.59347181,5.036042974,10.54785503,21.90237004,41.72266519,72.77362901,69.22658585
