type,shRNA,count,pctg
target,Sirt6.1,432,0.008250571380715933
target,Sirt6.2,6,0.00011459126917661016
target,Sirt6.3,1,1.909854486276836e-05
target,Sirt6.4,7,0.00013368981403937853
target,Sirt7.1,1732,0.0330786797023148
target,Sirt7.2,1324,0.02528647339830531
target,Sirt7.3,18123,0.346122928547951
target,Sirt7.4,9160,0.17494267094295818
target,Smarca1.1,108156,2.065622218177575
target,Smarca1.2,2686,0.051298691501395814
target,Smarca1.3,16196,0.3093200325973964
target,Smarca1.4,34782,0.6642855874168092
target,Smarca2.1,183,0.0034950337098866103
target,Smarca2.2,38085,0.727368081098533
target,Smarca2.3,464,0.00886172481632452
target,Smarca4.1,346,0.006608096522517853
target,Smarca4.2,8211,0.156818151868191
target,Smarca4.3,160,0.003055767178042938
target,Smarca4.4,3194,0.06100075229168215
target,Smarca5.1,2906,0.05550037137120485
target,Smarca5.2,531,0.01014132732213
target,Smarca5.3,12358,0.2360198174140914
target,Smarca5.4,20929,0.399713445432879
target,Smarcc1.1,37724,0.7204735064030737
target,Smarcc1.2,225,0.004297172594122881
target,Smarcc1.3,86480,1.6516421597322077
target,Smarcc2.1,0,0.0
target,Smarcc2.2,1383,0.02641328754520864
target,Smarcc2.3,36810,0.7030174363985033
target,Smarcc2.4,150199,2.8685823398429453
target,Smarcd1.1,491,0.009377385527619266
target,Smarcd1.3,9994,0.19087085735850698
target,Smarcd1.4,14839,0.2834033072186197
target,Smarcd2.1,21854,0.4173795994309398
target,Smarcd2.2,3342,0.06382733693137185
target,Smarcd2.3,78851,1.505939360974148
target,Smarcd3.1,260,0.004965621664319774
target,Smarcd3.2,9392,0.17937353335112044
target,Smarcd3.3,154,0.0029411759088663275
target,Smarcd3.4,4908,0.0937356581864671
target,Smarce1.1,223,0.004258975504397344
target,Smarce1.2,21489,0.41040863055602933
target,Smarce1.3,20732,0.39595103209491367
target,Smarce1.4,686,0.013101601775859095
target,Smyd1.1,1075,0.02053093572747599
target,Smyd1.2,1292,0.024675319962696726
target,Smyd1.3,18275,0.34902590736709177
target,Smyd2.1,1814,0.034644760381061804
target,Smyd2.2,2313,0.04417493426758322
target,Smyd2.3,1286,0.024560728693520113
target,Smyd2.4,30009,0.5731282327868157
target,Smyd3.1,2255,0.04306721866554265
target,Smyd3.2,2008,0.03834987808443887
target,Smyd3.3,6032,0.11520242261221876
target,Smyd3.4,1520,0.02902978819140791
target,Smyd4.1,2661,0.05082122787982661
target,Smyd4.2,1051,0.020072570650769547
target,Smyd4.3,655,0.012509546885113276
target,Smyd5.2,114655,2.1897436612407066
target,Smyd5.3,0,0.0
target,Smyd5.4,12,0.00022918253835322032
target,Sp100.1,43428,0.8294116063003044
target,Sp100.2,1240,0.02368219562983277
target,Sp100.3,2949,0.056321608800303895
target,Sp100.4,12576,0.24018330019417491
target,Sp110.1,678,0.012948813416956948
target,Sp110.2,164,0.003132161357494011
target,Sp110.3,32371,0.6182389957526746
target,Sp110.4,3406,0.06504964380258904
target,Sp140.1,5432,0.10374329569455773
target,Sp140.2,2129,0.04066080201283384
target,Sp140.3,1922,0.03670740322624079
target,Sp140.4,2137,0.040813590371735986
target,Ssrp1.1,31,0.0005920548907458192
target,Ssrp1.2,39785,0.7598356073652393
target,Ssrp1.3,17118,0.3269288909608688
target,Ssrp1.4,7117,0.13592434378832244
target,Supt16h.1,33996,0.6492741311546731
target,Supt16h.2,1996,0.038120695546085645
target,Supt16h.3,2611,0.0498663006366882
target,Supt16h.4,24282,0.4637508663577414
target,Suv39h1.1,845,0.016138270409039267
target,Suv39h1.2,1009,0.019270431766533275
target,Suv39h1.3,22936,0.4380442249724551
target,Suv39h1.4,126573,2.41736011891518
target,Suv39h2.1,9681,0.1848930128164605
target,Suv39h2.2,11924,0.22773104894364993
target,Suv39h2.3,20321,0.3881015301563159
target,Suv39h2.4,4790,0.09148202989266045
target,Suv420h1.1,1165,0.02224980476512514
target,Suv420h1.2,2113,0.04035522529502955
target,Suv420h1.3,6309,0.12049271953920558
target,Suv420h1.4,61703,1.1784375136673961
target,Suv420h2.1,1,1.909854486276836e-05
target,Suv420h2.2,868,0.016577536940882938
target,Suv420h2.3,40572,0.774866162172238
target,Suv420h2.4,71524,1.3660043227646441
target,Suz12.1,233,0.004449960953025028
target,Suz12.2,13180,0.25171882129128703
target,Suz12.3,8887,0.16972876819542243
target,Suz12.4,6032,0.11520242261221876
target,Taf1.1,0,0.0
target,Taf1.3,2314,0.04419403281244599
target,Taf1.4,263,0.005022917298908079
target,Taf3.1,26490,0.5059204534147339
target,Taf3.2,13,0.00024828108321598867
target,Taf3.3,1363,0.026031316647953277
target,Taf3.4,2065,0.03943849514161667
control,Tbx21,6460,0.1233765998134836
control,Tbx21.3,512,0.0097784549697374
control,Tbx21.4,2899,0.055366681557165474
target,Tcea1.1,1177,0.02247898730347836
target,Tcea1.2,98,0.0018716573965512995
target,Tcea1.3,70249,1.3416536780646147
target,Tcea1.4,34346,0.6559586218566421
target,Tdg.1,205,0.0039152016968675134
target,Tdg.2,3058,0.05840335019034565
target,Tdg.3,292,0.005576775099928361
target,Tdg.4,29284,0.5592817877613088
target,Tet1.1,337,0.006436209618752938
target,Tet1.2,1217,0.023242929097989095
target,Tet1.3,17888,0.3416347705052004
target,Tet1.4,17038,0.32540100737184735
target,Tet2.1,19,0.00036287235239259886
target,Tet2.2,225024,4.297630959199587
target,Tet2.3,16322,0.3117264492501052
target,Tet2.4,1108,0.02116118770794734
target,Tet3.1,4133,0.07893428591782163
target,Tet3.3,15786,0.30148962920366135
target,Tet3.4,337,0.006436209618752938
target,Trim24.1,569,0.010867072026915196
target,Trim24.2,23382,0.4465621759812498
target,Trim24.3,29689,0.5670166984307299
target,Trim24.4,3976,0.075935814374367
target,Trim28.1,624,0.011917491994367457
target,Trim28.2,3708,0.07081740435114509
target,Trim28.3,227,0.0043353696838484175
target,Trim28.4,5623,0.10739111776334649
target,Trim33.1,2627,0.05017187735449248
target,Trim33.2,1699,0.03244842772184345
target,Trim33.3,738,0.01409472610872305
target,Trim33.4,4711,0.08997324484850175
target,Trim66.1,71606,1.3675704034433913
target,Trim66.3,509,0.009721159335149096
target,Trim66.4,477,0.009110005899540509
target,Ube2a.1,13834,0.2642092696315375
target,Ube2b.1,4967,0.09486247233337045
target,Ube2b.2,120,0.0022918253835322033
target,Ube2b.3,1213,0.023166534918538022
target,Ube2b.4,4303,0.08218103854449225
target,Ube2e1.1,6881,0.13141708720070908
target,Ube2e1.3,16282,0.31096250745559445
target,Ube2e1.4,2700,0.05156607112947458
target,Ube2i.1,451,0.00861344373310853
target,Ube2i.2,37138,0.7092817591134915
target,Ube2i.3,1546,0.029526350357839886
target,Ube2i.4,12968,0.24766992978038008
target,Uhrf1.1,25878,0.4942321439587196
target,Uhrf1.2,407,0.007773107759146723
target,Uhrf1.4,1622,0.03097783976741028
target,Usp22.1,32212,0.6152023271194944
target,Usp22.2,10985,0.20979751531751042
target,Usp22.3,2686,0.051298691501395814
target,Usp22.4,61573,1.1759547028352362
target,Usp27x.1,10393,0.19849117675875158
target,Usp27x.2,10121,0.19329637255607857
target,Usp27x.3,2478,0.04732619416994
target,Usp27x.4,33273,0.6354658832188916
target,Usp51.1,2837,0.054182571775673836
target,Usp51.2,11723,0.22389224142623348
target,Usp51.3,1403,0.02679525844246401
target,Usp51.4,1161,0.02217341058567407
target,Wbp7.1,3985,0.07610770127813192
target,Wbp7.2,39,0.0007448432496479661
target,Wbp7.3,141259,2.6978413487697956
target,Wbp7.4,19,0.00036287235239259886
target,Wdr5.1,11816,0.22566840609847097
target,Wdr5.2,15069,0.2877959725370564
target,Wdr5.3,7294,0.13930478622903245
target,Wdr5.4,110343,2.1073907357924493
target,Wdr82.1,0,0.0
target,Wdr82.2,8510,0.16252861678215874
target,Wdr82.3,926,0.017685252542923503
target,Wdr82.4,13564,0.25905266251859005
target,Whsc1.1,50796,0.9701296848491816
