shRNA,nbPctg_Q4,nbPctg_Q3,nbPctg_Q2,nbPctg_Q1,q3minusOther_nbPctg
Nsd1.4,59.46162552535764,88.1799617494871,71.44469632773703,42.881415685917275,30.25071590314979
Orc1.1,50.295430839159025,88.58275490479855,50.45825637802057,55.25102809774073,36.58118313315844
Orc1.2,52.167791155509,91.8956194835315,59.01679048832399,60.2129269990751,34.76311660256214
Orc1.3,46.29739601085211,90.39086863256803,15.728370176145779,58.601415411578095,50.181808099709365
Orc1.4,26.17816625167151,87.09797703695945,12.906790406588106,29.01665055073716,64.3974413006272
Padi1.1,72.9692078256989,91.53180419561558,92.79506659225396,88.31504939235931,6.838696258844848
Padi1.2,47.84802292013165,92.85243972512883,5.12354574400409,29.237701123229826,65.44934979600697
Padi1.3,3.9926072745451964,74.86100769587748,13.774121895610003,8.67039275086234,66.04863372220497
Padi1.4,78.09755131780034,92.80508142192316,79.87923498813963,64.39659497476343,18.680620995022025
Padi2.1,0.3486551083337658,74.86100769587748,0.5705532502331762,0.5019793149466327,74.38727847137295
Padi2.2,3.0458176635552805,74.86100769587748,2.4595591183690995,2.0555235207471454,72.34070759498697
Padi2.3,1.9947731291849267,74.86100769587748,0.5705532502331762,0.5019793149466327,73.83857246442257
Padi3,5.689052638903533,74.86100769587748,7.286735066243599,7.669491760650379,67.97924787394497
Padi4.1,44.67904086624414,86.37213443848806,25.061608667759078,33.23818624110187,52.04585584678637
Padi4.2,67.70785296508002,93.07409130861855,53.570492425504,46.548612729375726,37.13177193529864
Padi4.3,52.019190584997034,93.03441325013657,67.83943898447245,61.65222233996411,32.530795946992036
Padi4.4,74.15533575086292,92.09911533718744,73.89867627577509,54.367741949530604,24.62519734513124
Padi6.1,85.58646544878926,92.58986483017894,79.01708192881576,61.54212650202281,17.20797353696966
Padi6.2,0.3486551083337658,74.86100769587748,0.5705532502331762,0.5019793149466327,74.38727847137295
Padi6.3,49.418757553260576,87.81384172260289,12.25902146007984,30.225314945361497,57.179477069702244
Padi6.4,70.2277200330105,92.63307702546561,97.63257604697148,95.72061680851142,4.772772729301138
Paf1.1,0.3486551083337658,74.86100769587748,0.5705532502331762,0.5019793149466327,74.38727847137295
Paf1.2,0.3486551083337658,74.86100769587748,0.5705532502331762,1.5730847583132903,74.03024332358406
Paf1.3,51.50268233767253,92.55223508269493,0.5705532502331762,30.93588566863262,64.88252799718217
Parp1.1,56.711218053586066,91.66348672605648,65.33946461953725,72.78193206248591,26.719281814186743
Parp1.2,56.270717417051706,89.24134218049335,48.41952395739368,44.47622122179746,39.51918798174574
Parp1.4,33.77359911687048,88.94539408078289,51.467609200715955,31.527863250422573,50.02237022477989
Parp2.1,8.187970125102309,83.3237095203194,11.198197569672711,11.612903545567104,72.99068577353869
Parp2.2,2.4804390261654916,74.86100769587748,1.891079541194613,2.4103871375133026,72.60037246091967
Parp2.3,2.4804390261654916,74.86100769587748,1.891079541194613,2.9705163407708914,72.41366272650048
Paxip1.1,63.92538076557939,92.60945941966895,32.262834918820396,60.897946175656095,40.24740546631699
Paxip1.2,62.46160139135068,88.21220957420385,39.335411748769786,18.882652488094003,47.985654364799025
Paxip1.3,1.2585002144799824,74.86100769587748,11.937009078300754,21.245753537664122,63.38058675239586
Paxip1.4,98.07106712082172,95.32745385237673,92.43504386710343,93.22997013228431,0.7487601456402473
Pbrm1.1,51.77445278779891,90.31417118548501,60.0978742452595,41.53801290602217,39.17739120579148
Pbrm1.3,0.3486551083337658,74.86100769587748,0.5705532502331762,0.5019793149466327,74.38727847137295
Pbrm1.4,58.62774383585535,88.63284507152275,38.702284518426254,38.86504523360516,43.23448720889383
Pcgf1.1,86.96528748415815,91.48543781034911,76.56914883905365,62.04709881616124,16.29159276389143
Pcgf1.2,48.075952672512464,92.4218369169677,50.243853585037456,54.761969441110466,41.39457835074758
Pcgf1.3,36.723957627030565,90.67315733067561,57.23103412518614,59.84251050743493,39.40732324412507
Pcgf1.4,67.84980776908854,87.54546251736049,43.214735424894826,31.833465756400898,39.9127928672324
