Plate,Well,Percentage
3,D04,36.75373134
3,D05,37.81588448
3,D06,35.05700326
3,D07,30.81761006
3,D08,26.72018349
3,D09,28.83668056
3,D10,19.78987993
3,D11,25.99866844
3,E02,39.03345725
3,E03,39.96101365
3,E04,38.53521127
3,E05,33.18584071
3,E06,36.67763158
3,E07,30.414568
3,E08,31.82762201
3,E09,25.49425287
3,E10,25.84134615
3,E11,26.49191299
3,F02,38.92568065
3,F03,35.28658341
3,F04,35.60548363
3,F05,36.953125
3,F06,41.80201083
3,F07,35.09833585
3,F08,34.97229917
3,F09,36.27510651
3,F10,33.21845175
3,F11,27.42241925
3,G02,27.98301486
3,G03,33.31360947
3,G04,47.36842105
3,G05,37.67605634
3,G06,35.21126761
3,G07,28.19116757
3,G08,26.7833109
3,G09,28.48387956
3,G10,27.56855576
3,G11,31.5258512
control3,B02,48.27586207
control3,B03,47.48677249
control3,B04,45.73459716
control3,B05,44.86891386
control3,B06,48.20261438
control3,B07,51.18534483
control3,B08,49.96260284
control3,B09,46.12005857
control3,B10,45.79207921
control3,B11,52.53256151
control3,C02,44.20677362
control3,C03,42.27146814
control3,C04,48.86164623
control3,C05,27.84982935
control3,C06,38.22222222
control3,C07,34.45378151
control3,C08,42.31103388
control3,C09,34.60639127
control3,C10,47.09066306
control3,C11,64.51319381
control3,D02,22.00725514
control3,D03,12.5
control3,D04,29.18192918
control3,D05,30.80524345
control3,D06,45.20166898
control3,D07,51.60098522
control3,D08,43.62549801
control3,D09,53.59922179
control3,D10,42.76315789
control3,D11,50.75376884
control3,E02,32.17115689
control3,E03,29.73977695
control3,E04,32.50708215
control3,E05,36.04060914
control3,E06,38.51617995
control3,E07,43.3442623
control3,E08,43.33333333
control3,E09,42.06198608
control3,E10,46.43823264
control3,E11,59.10364146
control3,F02,34.83580167
control3,F03,45.07936508
control3,F04,44.49404762
control3,F05,42.10526316
control3,F06,39.22077922
control3,F07,31.97513812
control3,F08,41.90301921
control3,F09,42.0487106
control3,F10,20.68965517
control3,F11,41.17647059
control3,G02,51.72413793
control3,G03,30.42168675
control3,G04,32.11169284
control3,G05,39.0625
control3,G06,38.84803922
control3,G07,36.44067797
control3,G08,28.95586652
control3,G09,29.78723404
control3,G10,50
control3,G11,33.33333333
15,B02,52.27963526
15,B03,33.41003221
15,B04,47.33557369
15,B05,39.77541371
15,B06,46.49796656
15,B07,48.4186314
15,B08,46.74054759
15,B09,47.78506973
15,B10,46.33093525
15,B11,51.60462131
15,C02,42.47434436
15,C03,44.23076923
15,C04,53.55329949
15,C05,43.32801701
15,C06,59.75696926
15,C07,39.72795497
15,C08,47.52385279
15,C09,42.07836457
15,C10,45.99217986
15,C11,61.44104803
15,D02,27.94117647
15,D03,37.14710253
15,D04,35.65505804
15,D05,47.46621622
15,D06,39.11392405
15,D07,35.0877193
15,D08,43.29205366
15,D09,50.58139535
15,D10,33.89830508
15,D11,38.40078973
15,E02,42.61682243
15,E03,55.50416281
15,E04,41.10275689
15,E05,35.15950069
15,E06,38.68023868
15,E07,29.10394265
15,E08,41.94433555
15,E09,48.89502762
15,E10,22.15302491
15,E11,41.29089302
15,F02,39.95215311
15,F03,45.13018322
15,F04,43.13815188
15,F05,39.38893476
15,F06,43.47826087
15,F07,40.8993576
15,F08,31.50289017
15,F09,34.3220339
15,F10,31.2522686
15,F11,53.33333333
15,G02,38.70836718
15,G03,36.83920705
15,G04,36.91446029
15,G05,39.92805755
15,G06,39.88439306
15,G07,42.65785609
15,G08,65.38461538
15,G09,26.20468105
15,G10,24.65753425
15,G11,36.81776133
16,B02,35.35165347
16,B03,57.06650831
16,B04,41.42287234
16,B05,33.88189739
16,B06,42.75092937
16,B07,42.22309505
16,B08,36.37333333
16,B09,41.03663289
16,B10,37.69633508
16,B11,43.97905759
16,C02,41.67674325
16,C03,44.08124405
16,C04,37.78110945
16,C05,34.84992101
16,C06,28.26086957
16,C07,43.832021
16,C08,40.13239553
16,C09,36.97723663
16,C10,46.66272888
16,C11,33.28655627
16,D02,45.68256579
16,D03,39.02900378
16,D04,53.4034034
16,D05,58.31578947
16,D06,40.04570848
16,D07,29.54545455
16,D08,33.03210464
16,D09,40.96455549
16,D10,40.43109079
16,D11,35.78313253
16,E02,41.62763466
16,E03,30
16,E04,38.02322441
16,E05,51.64835165
16,E06,30.01194743
16,E07,40.00571919
16,E08,37.80880773
16,E09,24.47928331
16,E10,25.48840606
16,E11,34.21052632
16,F02,51.2773047
16,F03,46.11819235
16,F04,41.10325318
16,F05,51.85185185
16,F06,39.17763158
16,F07,37.16789921
16,F08,37.87570046
16,F09,55.01535312
16,F10,43.14697926
16,F11,36.54463712
16,G02,38.51269649
16,G03,40.47005795
16,G04,48.13813814
16,G05,41.18795315
16,G06,49.89648033
16,G07,45.67933368
16,G08,45.33375514
16,G09,61.78061977
16,G10,43.81317532
16,G11,33.73141055
17,B02,35.55686159
17,B03,47.06502636
17,B04,43.80165289
17,B05,41.14339269
17,B06,35.72463768
17,B07,38.09310654
17,B08,50.89700997
17,B09,36.52644731
17,B10,37.59484067
17,B11,34.57721318
17,C02,50.58324496
17,C03,39.76700252
17,C04,39.27723556
17,C05,42.94781382
17,C06,44.12360689
17,C07,42.9192229
17,C08,61.23672024
17,C09,43.52348993
17,C10,46.24145786
17,C11,34.13631022
17,D02,38.92473118
17,D03,46.27224627
17,D04,55.25227461
17,D05,42.97188755
17,D06,50.501002
17,D07,38.87264026
17,D08,48.86720112
17,D09,28.58112695
17,D10,27.43834081
17,D11,38.03448276
17,E02,30.20134228
17,E03,45.80048926
17,E04,32.73132113
17,E05,44.57142857
17,E06,42.63750541
17,E07,34.80703468
17,E08,31.5732172
17,E09,32.55416192
17,E10,42.15584416
17,E11,27.51937984
17,F02,45.46077424
17,F03,47.68029398
17,F04,44.41896024
17,F05,42.82907662
17,F06,41.92771084
17,F07,37.3970346
17,F08,44.04558405
17,F09,37.40779768
17,F10,43.33333333
17,F11,32.65895954
17,G02,40.64615385
17,G03,36.93579148
17,G04,43.11103291
17,G05,38.81163085
17,G06,39.4340857
17,G07,41.8079096
17,G08,43.27245621
17,G09,34.5700193
17,G10,26.98711063
17,G11,35.10512639
18,B02,35.84352078
18,B03,43.79105411
18,B04,41.6
18,B05,47.9143798
18,B06,44.7146402
18,B07,47.81038375
18,B08,46.11054248
18,B09,37.56410256
18,B10,37.30056059
18,B11,43.00856095
18,C02,51.18876081
18,C03,49.15662651
18,C04,46.11928105
18,C05,43.05335446
18,C06,46.04361371
18,C07,60
18,C08,41.9527897
18,C09,22.72727273
18,C10,40.51724138
18,C11,34.31974017
18,D02,45.48319328
18,D03,46.69811321
18,D04,48.15714864
18,D05,45.45454545
18,D06,43.19830713
18,D07,37.47758518
18,D08,36.90369037
18,D09,57.55045233
18,D10,42.08235688
18,D11,43.16009558
18,E02,46.00158353
18,E03,52.63157895
18,E04,38.09657496
18,E05,38.05607477
18,E06,38.00377834
18,E07,37.84250802
18,E08,38.86748844
18,E09,38.92589509
18,E10,64.81481481
18,E11,32.94930876
18,F02,29.19937206
18,F03,45.99921167
18,F04,42.4366872
18,F05,38.71610845
18,F06,46.39874739
18,F07,43.80165289
18,F08,35.93890386
18,F09,41.61490683
18,F10,36.17278966
18,F11,28.1986532
18,G02,31.76299174
18,G03,57.83176215
18,G04,41.1380597
18,G05,62.26685796
18,G06,49.87032234
18,G07,51.2195122
18,G08,46.43423138
18,G09,34.80422623
18,G10,33.04653891
18,G11,49.47916667
19,B02,48.2252142
19,B03,49.24990853
19,B04,49.7756018
19,B05,53.1239213
19,B06,44.38325991
19,B07,49.16499666
