Pool,shRNA
pool1-7|bc1_3_17_20,Hells.2
pool1-7|bc1_3_17_20,Jmjd1c.3
pool1-7|bc1_3_17_20,Ino80.2
pool1-7|bc1_3_17_20,Hltf.2
pool1-7|bc1_3_17_20,Hdac7.3
pool1-7|bc1_3_17_20,Jmjd4.2
pool1-7|bc1_3_17_20,Ing2.2
pool1-7|bc1_3_17_20,Ing3.2
pool1-7|bc1_3_17_20,Hdac7.4
pool1-7|bc1_3_17_20,Jarid2.3
pool1-7|bc1_3_17_20,Ing5.3
pool1-7|bc1_3_17_20,Hira.2
pool1-7|bc1_3_17_20,Hdac8.3
pool1-7|bc1_3_17_20,Jhdm1d.3
pool1-7|bc1_3_17_20,Ino80.3
pool1-7|bc1_3_17_20,Hltf.3
pool1-7|bc1_3_17_20,Hdac9.3
pool1-7|bc1_3_17_20,Jmjd4.3
pool1-7|bc1_3_17_20,Ing5.4
pool1-7|bc1_3_17_20,Hira.3
pool1-7|bc1_3_17_20,Hells.3
pool1-7|bc1_3_17_20,Jarid2.4
pool1-7|bc1_3_17_20,Ing3.3
pool1-7|bc1_3_17_20,Ing2.3
pool1-7|bc1_3_17_20,Hells.4
pool1-7|bc1_3_17_20,Jhdm1d.4
pool1-7|bc1_3_17_20,Ino80.4
pool1-7|bc1_3_17_20,Ing2.4
pool1-7|bc1_3_17_20,Hdac8.4
pool1-7|bc1_3_17_20,Jmjd4.4
pool1-7|bc1_3_17_20,Jmjd1c.4
pool1-7|bc1_3_17_20,Hira.4
pool1-7|bc1_3_17_20,Ing4.4
pool1-7|bc1_3_17_20,Hltf.4
pool1-7|bc1_3_17_20,Ing3.4
pool1-7|bc1_3_17_20,Bcl6 
pool1-7|bc1_3_17_20,Bcl6.2
pool1-7|bc1_3_17_20,Bcl6.3
pool1-7|bc1_3_17_20,Ccnt1
pool1-7|bc1_3_17_20,Ccnt1.2
pool1-7|bc1_3_17_20,Ccnt1.3
pool1-7|bc1_3_17_20,Ccnt1.4
pool1-7|bc1_3_17_20,Cd14
pool1-7|bc1_3_17_20,Cd14.2
pool1-7|bc1_3_17_20,Cd19
pool1-7|bc1_3_17_20,Cd19.3
pool1-7|bc1_3_17_20,Cd19.4
pool1-7|bc1_3_17_20,CDK9.1
pool1-7|bc1_3_17_20,CDK9.2
pool1-7|bc1_3_17_20,CDK9.3
pool1-7|bc1_3_17_20,CD4.1
pool1-7|bc1_3_17_20,CD4.2
pool1-7|bc1_3_17_20,CD4.3
pool1-7|bc1_3_17_20,CD4.4
pool1-7|bc1_3_17_20,Cd4.5
pool1-7|bc1_3_17_20,Fosb
pool1-7|bc1_3_17_20,Fosb.2
pool1-7|bc1_3_17_20,Hes1
pool1-7|bc1_3_17_20,Hes1.2
pool1-7|bc1_3_17_20,Hes1.3
pool1-7|bc1_3_17_20,Hes6
pool1-7|bc1_3_17_20,Hes6.3
pool1-7|bc1_3_17_20,Id2
pool1-7|bc1_3_17_20,Id2.2
pool1-7|bc1_3_17_20,Id2.3
pool1-7|bc1_3_17_20,Id2.4
pool1-7|bc1_3_17_20,Id2.5
pool1-7|bc1_3_17_20,Id3
pool1-7|bc1_3_17_20,Id3.2
pool1-7|bc1_3_17_20,Id3.3
pool1-7|bc1_3_17_20,Id3.4
pool1-7|bc1_3_17_20,Id3.5
pool1-7|bc1_3_17_20,Klf12
pool1-7|bc1_3_17_20,Klf12.4
pool1-7|bc1_3_17_20,Klf12.5
pool1-7|bc1_3_17_20,Klf2
pool1-7|bc1_3_17_20,Klf2.2
pool1-7|bc1_3_17_20,Klf2.3
