Position,Pool,shRNA,GeoMean
14_D04,2,Rbbp4.3,477.1286504
14_D05,2,Prmt6.1,310.5919749
14_D06,2,Prmt5.2,359.123204
14_D07,2,Rnf217.3,581.2257946
14_D08,2,Rbbp7.2,740.9706176
14_D09,2,Prmt7.2,396.4446232
14_D10,2,Prmt1.3,731.7051393
14_D11,2,Rnf40.2,243.9362482
14_E02,2,Prmt8.2,661.5984473
14_E03,2,Psip1.2,396.0625624
14_E04,2,Prmt1.4,534.519599
14_E05,2,Ring1.3,1026.185998
14_E06,2,Rbbp5.3,502.9429813
14_E07,2,Prmt6.2,360.4970495
14_E08,2,Prmt2.3,687.8248661
14_E09,2,Rnf20.3,877.1299033
14_E10,2,Rbbp7.3,394.4903835
14_E11,2,Prmt7.3,203.3977881
14_F02,2,Prmt3.3,440.0188998
14_F03,2,Rnf40.3,1312.102405
14_F04,2,Rbbp5.4,394.2876295
14_F05,2,Prmt6.3,584.846916
14_F06,2,Prmt5.3,306.912471
14_F07,2,Ring1.4,147.602083
14_F08,2,Psip1.3,191.189177
14_F09,2,Prmt8.3,379.9864558
14_F10,2,Prmt5.4,453.4112691
14_F11,2,Rnf20.4,559.2578865
14_G02,2,Rbbp7.4,81.27130981
14_G03,2,Prmt8.4,527.8265195
14_G04,2,Prmt2.4,705.4784944
14_G05,2,Rnf40.4,
14_G06,2,Rnf217.4,
14_G07,2,Prmt6.4,
14_G08,2,Prmt3.4,
14_G09,2,Rbbp4.4,
14_G10,2,Prmt7.4,
14_G11,2,Psip1.4,
13_B02,2,Prdm10.1,638.8622406
13_B03,2,Prdm5.1,723.6510938
13_B04,2,Prdm6.1,595.5564366
13_B05,2,Prdm4.1,758.5038509
13_B06,2,Prdm12.1,816.1278572
13_B07,2,Prkcd.1,619.1158816
13_B08,2,Prdm9.1,526.6599996
13_B09,2,Prdm15.1,837.4648249
13_B10,2,Prdm11.1,263.8681346
13_B11,2,Prkaa1.1,619.097096
13_C02,2,Prdm9.2,629.0210651
13_C03,2,Prdm13.1,498.9755095
13_C04,2,Prdm10.2,437.469191
13_C05,2,Prkaa1.2,508.9934386
13_C06,2,Prdm8.1,306.6743771
13_C07,2,Prdm6.2,353.1834279
13_C08,2,Prdm12.2,507.2731037
13_C09,2,Prkaa2.1,475.3671608
13_C10,2,Prdm5.2,342.8490494
13_C11,2,Prdm2.1,235.8452647
13_D02,2,Prdm11.2,603.1515794
13_D03,2,Prkaa2.2,439.4838794
13_D04,2,Prdm5.3,515.5817547
13_D05,2,Prdm14.1,487.2317048
13_D06,2,Prdm13.2,218.362177
13_D07,2,Prkaa2.3,540.2483107
13_D08,2,Prdm8.2,362.9940159
13_D09,2,Prdm15.2,899.3713199
