gene_name,gene_name2,interation
AURKB,CBX5,pp
PHC1,SCMH1,pp
KMT2C,KMT2D,pp
ARID1A,CHD4,pp
BRCA1,SMARCD2,pp
EHMT2,UHRF1,pp
DNMT1,HDAC1,pp
DMAP1,H2AFZ,pp
HDAC10,NCOR2,pp
BRCA1,CARM1,pp
HDAC2,PHF20L1,pp
BRD1,ING5,pp
CBX1,RING1,pp
BMI1,PHC2,pp
HDAC2,PRDM6,pp
CBX8,GTF3C4,pp
CREBBP,PCMT1,pp
EED,HDAC1,pp
ASXL1,BMI1,pp
RNF2,SMARCE1,pp
BRD4,KDM6A,pp
CHAF1A,CHD4,pp
CHAF1A,MTA1,pp
CHD5,HDAC1,pp
HDAC1,MBD2,pp
DNMT3B,EHMT2,pp
BAZ2A,SIRT7,pp
ACTL6A,DMAP1,pp
HDAC6,UBE2E1,pp
EZH2,NCOA1,pp
SMARCB1,SMARCE1,pp
H2AFZ,ING3,pp
PCGF5,PCGF5,pp
ACTL6A,ARID1A,pp
BRD2,POLR2B,pp
KDM3B,PRMT5,pp
DNMT3A,TRIM28,pp
BRD2,BRD7,pp
MBD3,RBBP7,pp
MBD3,SMARCA4,pp
EP300,SETD1A,pp
PCGF2,UBE2I,pp
EED,SMARCC1,pp
BRCA1,SMARCA5,pp
CBX7,PHC1,pp
CECR2,EZH2,pp
CBX6,PCGF2,pp
KDM6B,KMT2A,pp
ACTB,ACTB,pp
NCOR1,ZMYND11,pp
DMAP1,MORF4L1,pp
HDAC1,PRMT5,pp
ARID1B,SMARCD2,pp
HCFC1,RBBP7,pp
CBX6,PHC2,pp
PCGF1,RING1,pp
EZH2,MECP2,pp
SMARCA2,SMARCC1,pp
HDAC1,SIN3B,pp
ATRX,HDAC4,pp
BAZ1A,NCOR1,pp
PARP1,UBE2I,pp
CHAF1A,KDM1A,pp
MTA1,RNF2,pp
CHD4,HDAC2,pp
KAT8,PHF20,pp
ATR,ATR,pp
PHF19,SUZ12,pp
ACTL6A,ACTL6A,pp
BRD8,RNF2,pp
TRIM24,TRIM24,pp
EP400,ING3,pp
KAT8,MSL3,pp
SMARCA2,SMARCE1,pp
ACTL6A,CBX5,pp
HDAC2,HDAC9,pp
CHD1,NCOR1,pp
EED,SUZ12,pp
AFF1,KMT2A,pp
BRD4,KDM3A,pp
L3MBTL1,MECOM,pp
MBD2,PRMT1,pp
HDAC2,WDR5,pp
KDM5B,RBBP4,pp
PARP1,SMARCA1,pp
MTA1,SIRT1,pp
CHAF1B,TRIM28,pp
KDM4B,PBRM1,pp
BAZ1A,SATB1,pp
NCOR1,SMARCB1,pp
CBX1,CHAF1B,pp
L3MBTL3,MORF4L1,pp
BRCA1,PRMT5,pp
ARID1B,SMARCA1,pp
HDAC1,MTA2,pp
ARID1B,SMARCB1,pp
EHMT2,KDM1B,pp
HDAC9,SIN3A,pp
PARP2,TRIM28,pp
DPY30,PAXIP1,pp
KAT8,SIRT1,pp
EZH2,MTA3,pp
RNF2,RNF2,pp
KDM1A,PRMT5,pp
L3MBTL3,PRMT2,pp
HDAC1,SMARCA5,pp
ARID1B,KDM4A,pp
EP400,SUZ12,pp
ING4,JADE1,pp
DNMT3B,SIRT1,pp
EED,SUPT16,pp
NCOA1,NCOA3,pp
ATM,SETD2,pp
KMT2A,TAF1,pp
EZH2,NAP1L1,pp
EHMT2,EHMT2,pp
ASH2L,KDM4B,pp
PHF10,SMARCE1,pp
RNF2,SSRP1,pp
ARID1A,SMARCC1,pp
ARID1B,SMARCA2,pp
HDAC3,MBD1,pp
ASH2L,BRCA1,pp
CARM1,DOT1L,pp
EP300,PRMT5,pp
PARP1,PRKAA1,pp
PHF10,SMARCD1,pp
BMI1,WDR5,pp
SIRT7,SMARCA2,pp
H2AFZ,KAT5,pp
CBX8,KAT7,pp
EHMT2,HDAC2,pp
CHD3,MTA3,pp
SMARCC2,SUZ12,pp
CBX4,KDM3A,pp
DMAP1,RNF2,pp
PHF19,RBBP4,pp
KDM2B,RING1,pp
NCOR1,SMARCC2,pp
CHD3,RBBP4,pp
L3MBTL2,MBD3,pp
ATM,KDM2A,pp
MTA2,MTA3,pp
EED,TRIM28,pp
NAP1L2,SP110,pp
KDM6A,KDM6A,pp
ASXL1,EZH2,pp
ACTB,SMARCE1,pp
PCGF1,RNF2,pp
DNMT3B,UBE2I,pp
SIRT7,SMARCC2,pp
PARP1,PRMT1,pp
CBX3,KDM6B,pp
ATM,UHRF1,pp
BMI1,RING1,pp
MECP2,SIRT1,pp
HDAC3,HDAC4,pp
CREBBP,RBBP4,pp
ACTB,KAT2B,pp
NCOA1,PPARGC1A,pp
ACTB,CHD4,pp
BRCA1,NCOA1,pp
BPTF,SIRT7,pp
PHF1,RBBP7,pp
CBX6,PCGF1,pp
ACTL6A,ARID1B,pp
CARM1,NCOA1,pp
ORC1,PHIP,pp
SMARCA2,SMARCD1,pp
CBX3,HDAC9,pp
CBX2,PCGF2,pp
BRD4,KMT2A,pp
EED,EZH2,pp
EZH2,KMT2A,pp
DNMT3B,EZH2,pp
CHD3,TRIM28,pp
KAT6A,KMT2A,pp
SMARCC1,TRIM28,pp
UBE2E1,UBE2E1,pp
SMARCA2,TAF1,pp
PHIP,SSRP1,pp
CBX4,SATB1,pp
BMI1,EED,pp
MTF2,NAP1L2,pp
PCGF1,PCGF5,pp
MTA3,RBBP7,pp
NAP1L1,NAP1L1,pp
WDR5,WDR82,pp
DNMT3B,HELLS,pp
EZH2,PSIP1,pp
HDAC1,KAT5,pp
BAZ1A,EED,pp
CBX7,RNF2,pp
CBX6,DNMT1,pp
CBX1,RBBP4,pp
L3MBTL3,SP100,pp
GTF2B,NCOR1,pp
ING5,PRMT5,pp
BRD7,SMARCC1,pp
EED,RBBP7,pp
RBBP4,RBBP4,pp
HDAC1,SMARCA4,pp
ATAD2,NCOA3,pp
KMT2D,RBBP5,pp
KMT2B,PAXIP1,pp
DNMT1,SIRT1,pp
EZH2,PHIP,pp
PARP1,TRIM28,pp
MTA1,SIN3A,pp
AURKB,BMI1,pp
UBE2B,UBE2B,pp
CHD7,WDR5,pp
ARID1A,SIRT7,pp
CHD4,MTA3,pp
CHD2,SUZ12,pp
RNF2,SETDB1,pp
EHMT2,SUZ12,pp
HDAC6,KAT5,pp
CXXC1,EP300,pp
HDAC4,TRIM28,pp
ACTL6A,KAT2A,pp
MTF2,SUV39H2,pp
EED,HELLS,pp
DNMT3A,SP100,pp
DNMT1,PARP1,pp
EP300,KAT2A,pp
CHD4,SMARCA4,pp
KDM5A,SIN3B,pp
KAT7,ORC1,pp
RNF40,RNF40,pp
BMI1,ING3,pp
KDM1A,RBBP7,pp
CBX8,RNF2,pp
DNMT1,MBD3,pp
ATM,ATR,pp
BRCA1,RBBP5,pp
CHAF1A,KAT7,pp
FBXL19,RNF20,pp
CBX5,CHAF1B,pp
CBX5,SIRT1,pp
HCFC1,PHF8,pp
KMT2C,RBBP5,pp
ING3,KDM6A,pp
ING3,KAT5,pp
ATM,RNF20,pp
BRD9,SMARCD1,pp
ARID1A,SMARCD3,pp
CLOCK,KDM1A,pp
ATM,RNF40,pp
DNMT3B,UHRF1,pp
ACTB,MORF4L1,pp
SUZ12,TAF3,pp
ARID2,PBRM1,pp
BMI1,PHC1,pp
ING2,SIRT1,pp
HDAC4,NCOR1,pp
ING5,KAT6A,pp
SUZ12,UHRF1,pp
CBX5,TRIM28,pp
CBX4,CBX8,pp
CBX3,HDAC2,pp
CHD3,KMT2A,pp
KAT8,PHF20L1,pp
EZH2,SMARCD1,pp
KDM4C,PBRM1,pp
EP300,KDM1A,pp
POLR2B,WDR82,pp
DPY30,WDR82,pp
KDM1A,SIN3A,pp
MTA1,ZMYND8,pp
MTA2,TRIM28,pp
ACTL6A,CHAF1A,pp
CHD4,CHD4,pp
DNMT3B,SETDB1,pp
KAT8,WDR5,pp
PHF20L1,RBBP7,pp
HDAC2,PHC2,pp
ARID2,SMARCC1,pp
BMI1,CBX4,pp
CHD3,SMARCB1,pp
EZH1,MTF2,pp
CHD7,PBRM1,pp
CBX3,TRIM66,pp
ATRX,CBX5,pp
CBX3,UHRF1,pp
L3MBTL3,PHC2,pp
KDM1A,PRDM1,pp
MBD2,SIN3A,pp
CHAF1A,CHAF1B,pp
CXXC1,KMT2A,pp
EED,PCGF5,pp
PPARGC1A,PRKAA1,pp
PRMT5,SMARCA4,pp
ING5,KAT6B,pp
SMARCA2,SMARCC2,pp
RBBP7,SIN3A,pp
SMARCA5,SMARCC2,pp
HDAC3,HDAC9,pp
ARID1B,SMARCC1,pp
EZH2,PRDM12,pp
CXXC1,RBBP5,pp
HCFC1,PPARGC1A,pp
KDM5C,L3MBTL2,pp
PRDM14,PRDM6,pp
SMARCA1,SMARCA4,pp
HDAC2,SMARCA5,pp
ATM,SIRT7,pp
CBX4,CBX4,pp
ACTL6A,SMARCD1,pp
RNF2,TRIM24,pp
PRMT5,PRMT6,pp
CHD7,EED,pp
SMARCC1,SMARCC1,pp
AFF1,CARM1,pp
MBD3,ZMYND8,pp
CXXC1,MEN1,pp
DNMT1,RBBP4,pp
KAT8,KMT2A,pp
CREBBP,EP300,pp
CHD3,SMARCA2,pp
CHAF1A,SIRT1,pp
HDAC7,NCOR1,pp
PHC1,PHC2,pp
PHC2,PRKAA1,pp
CHD1,PHIP,pp
KDM1A,KDM5B,pp
BPTF,SUZ12,pp
TRIM33,UBE2I,pp
PCGF2,RING1,pp
SIRT7,SMARCA4,pp
EPC1,PHC2,pp
NCOA1,SMARCA4,pp
CBX4,RING1,pp
HDAC2,JARID2,pp
SMARCA1,SMARCC1,pp
HAT1,PRKAA2,pp
BRCA1,PRKAA2,pp
EED,MTA2,pp
ACTB,HDAC6,pp
CBX5,TRIM66,pp
KDM5A,KDM6A,pp
PRMT1,PRMT8,pp
PBRM1,SMARCC2,pp
BRCA1,TRIM24,pp
GADD45A,GADD45A,pp
CHD3,PCMT1,pp
RNF20,UBE2E1,pp
HDAC1,SATB1,pp
ASXL1,EED,pp
HDAC1,MECOM,pp
BRD4,BRD9,pp
MBD3,PHF20L1,pp
MEN1,POLR2B,pp
HDAC2,MTA3,pp
EHMT1,SUV39H2,pp
ACTL6B,ATM,pp
HDAC1,SMARCD1,pp
CBX4,CBX6,pp
ACTL6A,PAF1,pp
ARID1B,SMARCD1,pp
SATB1,SIN3A,pp
ELP3,PAF1,pp
BRD3,KDM4C,pp
CBX5,PARP2,pp
CBX1,EHMT2,pp
HDAC2,SIRT6,pp
TRIM24,TRIM28,pp
HDAC2,HELLS,pp
EHMT2,RNF2,pp
BRCA1,CHD9,pp
KMT2A,SIRT7,pp
HDAC1,PRDM1,pp
SIRT1,SUV39H1,pp
MBD3,MBD3,pp
JMJD6,SSRP1,pp
PARP1,SSRP1,pp
KMT2A,PAF1,pp
SMARCD2,SUZ12,pp
ASH2L,KMT2E,pp
PHC2,SCMH1,pp
NCOR1,TRIM28,pp
CREBBP,SMARCB1,pp
KMT2A,PSIP1,pp
PAF1,UBE2E1,pp
MTA2,RBBP4,pp
EP300,KAT5,pp
JADE1,UBE2E1,pp
BOP1,EED,pp
KDM4A,PRMT5,pp
CHD4,SMARCC2,pp
RNF2,SMARCC1,pp
MTA2,RBBP7,pp
DNMT1,EZH2,pp
CHD4,MTA2,pp
CECR2,SMARCA5,pp
AFF1,BRD4,pp
MTA2,SIN3A,pp
MBD3,SIN3A,pp
HDAC1,L3MBTL2,pp
TAF1,TAF1,pp
BRD2,CHD4,pp
HAT1,RBBP7,pp
KMT2A,SIN3A,pp
CBX3,L3MBTL1,pp
MBD3,SMARCA2,pp
CHD2,EZH2,pp
RNF2,SMARCC2,pp
EED,JARID2,pp
RBBP4,SUZ12,pp
HDAC11,PHIP,pp
SIN3A,SMARCA5,pp
CBX5,CBX5,pp
CREBBP,KAT2A,pp
PRMT5,SIRT7,pp
NCOR1,SMARCE1,pp
CBX3,SUZ12,pp
KDM6B,KDM7A,pp
AFF1,DOT1L,pp
BRD8,KAT5,pp
HDAC1,SUZ12,pp
SP100,SP100,pp
EP300,WDR82,pp
BMI1,RNF2,pp
BRD7,CHD7,pp
ING2,RBBP4,pp
