shRNA_names,Q4,Q1,Q2,Q3
Dnmt1.4_repP1-7_rep2,47.21,46.52,68.43,57.23
Dnmt3a.1_repP1-7_rep2,47.39,52.49,46.53,68.47
Dnmt3a.2_repP1-7_rep2,52.28,48.39,43.36,49.76
Dnmt3a.3_repP1-7_rep2,47.97,43.60,45.43,73.85
Dnmt3a.4_repP1-7_rep2,66.01,66.80,59.48,49.40
Dnmt3b.1_repP1-7_rep2,48.09,75.17,48.42,49.03
Dnmt3b.2_repP1-7_rep2,72.68,74.61,50.13,61.71
Dnmt3b.3_repP1-7_rep2,46.19,46.23,46.33,73.59
Dnmt3b.4_repP1-7_rep2,50.51,44.28,46.56,50.07
Dnmt3l.1_repP1-7_rep2,46.62,44.95,47.97,49.02
Dnmt3l.2_repP1-7_rep2,72.48,45.46,46.11,47.57
Dnmt3l.3_repP1-7_rep2,46.69,61.66,46.54,45.62
Dnmt3l.4_repP1-7_rep2,50.39,66.41,47.63,61.49
Dot1l.1_repP1-7_rep2,49.92,26.80,46.04,59.55
Dot1l.2_repP1-7_rep2,57.53,76.96,44.98,59.10
Dot1l.3_repP1-7_rep2,56.69,45.62,69.82,73.72
Dot1l.4_repP1-7_rep2,51.31,53.70,46.73,66.85
Dpy30.1_repP1-7_rep2,48.44,46.84,57.71,49.82
Dpy30.2_repP1-7_rep2,58.83,45.48,59.36,46.72
Dpy30.3_repP1-7_rep2,50.06,47.32,46.81,46.98
Dub2a.1_repP1-7_rep2,47.39,29.28,46.56,48.10
Dub2a.2_repP1-7_rep2,31.63,46.15,54.48,50.18
Dub2a.3_repP1-7_rep2,67.24,73.95,47.56,46.75
Dub2a.4_repP1-7_rep2,53.06,46.84,74.36,47.43
Eaf1.1_repP1-7_rep2,47.40,64.88,48.56,50.53
Eaf1.2_repP1-7_rep2,47.39,51.21,65.30,46.71
Eaf1.3_repP1-7_rep2,58.73,53.39,46.56,49.78
Eed.1_repP1-7_rep2,47.39,45.48,41.18,46.80
Eed.2_repP1-7_rep2,69.79,45.48,46.80,55.32
Eed.3_repP1-7_rep2,72.85,68.46,47.92,54.76
Eed.4_repP1-7_rep2,48.42,45.48,47.37,49.67
Ehmt1.1_repP1-7_rep2,46.54,53.40,46.26,46.69
Ehmt1.2_repP1-7_rep2,47.40,46.74,46.03,46.36
Ehmt1.3_repP1-7_rep2,69.48,73.97,52.58,44.39
Ehmt1.4_repP1-7_rep2,54.35,55.64,66.71,50.13
Ehmt2.1_repP1-7_rep2,47.39,43.70,53.28,46.63
Ehmt2.2_repP1-7_rep2,60.75,46.87,53.65,46.71
Ehmt2.3_repP1-7_rep2,35.28,54.98,49.14,46.73
Ehmt2.4_repP1-7_rep2,48.33,45.73,47.09,48.14
