Position,Pool,shRNA,Percentage
control1_E07,1,Klf2.2,1.105408606
control1_E08,1,Klf2.3,0.973882249
control1_E09,1,Klf2.4,1.185552798
control1_E10,1,Cd4.4,1.614114114
control1_E11,1,Cd4.4,2.014218009
control1_F02,1,Runx3.1,0.861793808
control1_F03,1,Runx3.2,1.617954071
control1_F04,1,Runx3.3,1.105311636
control1_F05,1,Empty,12.5
control1_F06,1,Sp140.1,0.876753507
control1_F07,1,Sp140.2,2.501157943
control1_F08,1,Sp140.3,1.283101283
control1_F09,1,Sp140.4,2.891791045
control1_F10,1,Empty,0
control1_F11,1,Empty,0
control1_G02,1,Smarce1.1,0.670337563
control1_G03,1,Smarce1.2,2.825745683
control1_G04,1,Smarce1.3,2.719821162
control1_G05,1,Smarce1.4,1.176866174
control1_G06,1,Wdr82.1,1.360946746
control1_G07,1,Wdr82.2,1.491547895
control1_G08,1,Wdr82.3,1.450151057
control1_G09,1,Wdr82.4,3.271861987
control1_G10,1,Empty,33.33333333
control1_G11,1,Empty,0
4_B02,1,Chd3.1,0.998751561
4_B03,1,Cxxc1.1,1.366742597
4_B04,1,Dmap1.1,0.606060606
4_B05,1,Ctsl.1,0.819672131
4_B06,1,Chd5.1,1.300479124
4_B07,1,Dot1l.1,0.684150513
4_B08,1,Dnmt3a.1,0.975292588
4_B09,1,Chd9.1,0.543970988
4_B10,1,Chd4.1,3.914590747
4_B11,1,Dnmt3b.1,0.963149079
4_C02,1,Dnmt3a.2,1.355206847
4_C03,1,Chd6.1,0.208333333
4_C04,1,Chd3.2,0.993377483
4_C05,1,Dnmt3b.2,0.524475524
4_C06,1,Dnmt1.1,1.326259947
4_C07,1,Dmap1.2,3.003754693
4_C08,1,Chd5.2,0.932090546
4_C09,1,Dnmt3l.1,1.065162907
4_C10,1,Cxxc1.2,0
4_C11,1,Crebbp.1,2.344454463
4_D02,1,Chd4.2,1.289566237
4_D03,1,Dnmt3l.2,1.40562249
4_D04,1,Cxxc1.3,1.703163017
4_D05,1,Chd8.1,0.628019324
4_D06,1,Chd6.2,0.605449041
4_D07,1,Dnmt3l.3,1.501976285
4_D08,1,Dnmt1.2,1.788375559
4_D09,1,Chd9.2,1.517241379
4_D10,1,Chd3.3,0.658761528
4_D11,1,Dot1l.2,3.247631935
4_E02,1,Crebbp.2,2.040816327
4_E03,1,Ctsl.2,3.784693019
4_E04,1,Chd3.4,2.12244898
4_E05,1,Dnmt3a.3,0.428571429
4_E06,1,Dmap1.3,1.035196687
4_E07,1,Chd8.2,0.488599349
4_E08,1,Chd4.3,1.605758583
4_E09,1,Dnmt3b.3,1.542207792
4_E10,1,Dnmt1.3,0.41958042
4_E11,1,Chd9.3,1.521164021
4_F02,1,Chd5.3,0.713386488
4_F03,1,Dot1l.3,0.411946447
4_F04,1,Dmap1.4,0.751445087
4_F05,1,Chd8.3,0.689061154
4_F06,1,Chd6.3,2.063492063
4_F07,1,Dnmt3a.4,0.725952813
4_F08,1,Ctsl.3,1.729399797
4_F09,1,Crebbp.3,0.717547293
4_F10,1,Chd6.4,0.942408377
4_F11,1,Dnmt3b.4,0.847457627
4_G02,1,Dnmt1.4,3.838383838
4_G03,1,Crebbp.4,0.926705981
4_G04,1,Chd4.4,2.891566265
4_G05,1,Dot1l.4,2.276867031
4_G06,1,Dnmt3l.4,0.43956044
4_G07,1,Chd8.4,0.535475234
4_G08,1,Chd5.4,0.73664825
4_G09,1,Cxxc1.4,3.868031854
4_G10,1,Chd9.4,0.686498856
4_G11,1,Ctsl.4,0.535782625
13_B02,2,Prdm10.1,5.101214575
13_B03,2,Prdm5.1,3.300455235
13_B04,2,Prdm6.1,1.667181229
13_B05,2,Prdm4.1,2.292526364
13_B06,2,Prdm12.1,2.153846154
13_B07,2,Prkcd.1,1.856017998
13_B08,2,Prdm9.1,2.281502282
13_B09,2,Prdm15.1,1.305970149
13_B10,2,Prdm11.1,0
13_B11,2,Prkaa1.1,2.395964691
13_C02,2,Prdm9.2,1.697571167
13_C03,2,Prdm13.1,1.202034212
13_C04,2,Prdm10.2,2.351247601
13_C05,2,Prkaa1.2,1.64305949
13_C06,2,Prdm8.1,0.876095119
13_C07,2,Prdm6.2,1.601671309
13_C08,2,Prdm12.2,1.119177253
13_C09,2,Prkaa2.1,1.497299951
13_C10,2,Prdm5.2,1.173222912
13_C11,2,Prdm2.1,2.114803625
13_D02,2,Prdm11.2,2.839295855
13_D03,2,Prkaa2.2,1.490066225
13_D04,2,Prdm5.3,5.859375
13_D05,2,Prdm14.1,1.746724891
13_D06,2,Prdm13.2,1.617795753
13_D07,2,Prkaa2.3,1.101783841
13_D08,2,Prdm8.2,0.859291085
13_D09,2,Prdm15.2,1.308411215
13_D10,2,Prdm10.3,3.052250388
13_D11,2,Prkcd.2,1.940545004
13_E02,2,Prdm2.2,2.505219207
13_E03,2,Prdm4.2,0.905660377
13_E04,2,Prdm10.4,2.045520023
13_E05,2,Prdm9.3,1.667257893
13_E06,2,Prdm6.3,1.185277604
13_E07,2,Prdm14.2,1.051939513
13_E08,2,Prdm11.3,0.883607556
13_E09,2,Prkaa1.3,4.623287671
13_E10,2,Prdm8.3,5.85106383
13_E11,2,Prdm15.3,1.269451269
13_F02,2,Prdm12.3,2.051551815
13_F03,2,Prkcd.3,1.749095296
13_F04,2,Prdm6.4,1.748351963
13_F05,2,Prdm14.3,1.149425287
13_F06,2,Prdm13.3,20
13_F07,2,Prdm9.4,1.322678424
13_F08,2,Prdm4.3,2.252401457
13_F09,2,Prdm2.3,1.746842247
13_F10,2,Prdm13.4,11.59874608
13_F11,2,Prkaa1.4,2.096869462
13_G02,2,Prdm8.4,1.848739496
13_G03,2,Prdm2.4,3.641207815
13_G04,2,Prdm11.4,2.071881607
13_G05,2,Prkcd.4,7.967032967
13_G06,2,Prkaa2.4,2.177751619
13_G07,2,Prdm14.4,3.709743172
13_G08,2,Prdm12.4,3.404255319
13_G09,2,Prdm5.4,4.049844237
13_G10,2,Prdm15.4,2.294792586
13_G11,2,Prdm4.4,2.479338843
8_B02,2,Jmjd5.1,2.429514097
8_B03,2,Kdm2b.1,4.444444444
8_B04,2,Kdm3a.1,2.935903182
8_B05,2,Kdm2a.1,4.132009659
8_B06,2,Kat2a.1,4.876483799
8_B07,2,Kdm5a.1,1.99803472
8_B08,2,Kdm4a.1,2.562801319
8_B09,2,Kdm1a.1,10.01788909
8_B10,2,Jmjd6.1,1.225490196
8_B11,2,Kdm4c.1,2.335279399
8_C02,2,Kdm4a.2,1.441641253
