Position,Pool,shRNA,GeoMean
control1_C09,1,Brd8.4,172.80302909577
control1_C10,1,Cd4.2,244.928585500265
control1_C11,1,Cd4.2,195.897486995761
control1_D02,1,Ncor1.1,326.207859995899
control1_D03,1,Ncor1.2,342.114873684581
control1_D04,1,Ncor1.3,363.264327236023
control1_D05,1,Ncor1.4,149.392611644328
control1_D06,1,Cxxcl.1,230.32889759846
control1_D07,1,Cxxcl.2,159.406283714767
control1_D08,1,Cxxcl.3,221.49024752928
control1_D09,1,Cxxcl.4,167.501842668134
control1_D10,1,Cd4.3,307.090310435491
control1_D11,1,Cd4.3,224.986627470019
control1_E02,1,Smarca4.1,168.096666547348
control1_E03,1,Smarca4.2,83.0886387248472
control1_E04,1,Smarca4.3,198.995895070792
control1_E05,1,Smarca4.4,294.589368732778
control1_E06,1,Klf2.1,386.291916630758
control1_E07,1,Klf2.2,379.953244858087
control1_E08,1,Klf2.3,330.69837886033
control1_E09,1,Klf2.4,304.171199131621
control1_E10,1,Cd4.4,481.00727639234
control1_E11,1,Cd4.4,279.132442506101
control1_F02,1,Runx3.1,55.3887169873763
control1_F03,1,Runx3.2,117.178756351214
control1_F04,1,Runx3.3,95.3020671107422
control1_F05,1,Empty,300.148757935313
control1_F06,1,Sp140.1,437.407813253104
control1_F07,1,Sp140.2,323.354724495969
control1_F08,1,Sp140.3,287.971838768261
control1_F09,1,Sp140.4,243.620631433557
control1_F10,1,Empty,67.3476507430809
control1_F11,1,Empty,57.236442147835
control1_G02,1,Smarce1.1,328.417258355156
control1_G03,1,Smarce1.2,160.644240953406
control1_G04,1,Smarce1.3,122.561236898602
control1_G05,1,Smarce1.4,215.233096158755
control1_G06,1,Wdr82.1,205.289479809131
control1_G07,1,Wdr82.2,160.455684423409
control1_G08,1,Wdr82.3,161.903390293476
control1_G09,1,Wdr82.4,240.006477933649
control1_G10,1,Empty,93.0405388921078
control1_G11,1,Empty,679.240613232529
10_B02,2,Mll1.1,869.036061841457
10_B03,2,Mta3.1,443.524391668953
10_B04,2,Mtf2.1,378.84082357241
10_B05,2,Mta2.1,309.9054412657
10_B06,2,Mll3.1,211.53479248722
10_B07,2,Nap1l1.1,404.725490760615
10_B08,2,Myst2.1,660.685727775018
10_B09,2,Msl3.1,323.257836276888
10_B10,2,Mll2.1,421.451228308047
10_B11,2,Myst3.1,679.303817900648
10_C02,2,Myst2.2,540.987405936525
10_C03,2,Mll5.1,350.787847286855
10_C04,2,Mll1.2,356.512271398774
10_C05,2,Myst3.2,567.804571454233
10_C06,2,Myst1.1,284.488654847236
10_C07,2,Mtf2.2,354.659316671376
10_C08,2,Mll3.2,95.8013164941776
10_C09,2,Myst4.1,322.866836489162
10_C10,2,Mta3.2,516.126230324326
10_C11,2,Mta1.1,642.05030790648
10_D02,2,Mll2.2,333.249062399265
10_D03,2,Myst4.2,392.988244065948
10_D04,2,Mta3.3,414.21317824372
10_D05,2,Morf4l1.1,123.587761953399
10_D06,2,Mll5.2,268.01256878966
10_D07,2,Myst4.3,403.293882134374
10_D08,2,Myst1.2,373.957824827967
10_D09,2,Msl3.2,337.776391009541
10_D10,2,Mll1.3,804.494387427016
10_D11,2,Nap1l1.2,343.906731717057
10_E02,2,Mta1.2,701.988648820198
10_E03,2,Mta2.2,257.612684022704
10_E04,2,Mll1.4,877.786915817843
10_E05,2,Myst2.3,441.367051474862
10_E06,2,Mtf2.3,301.730833387425
10_E07,2,Morf4l1.2,189.081904662157
10_E08,2,Mll2.3,250.517035467759
10_E09,2,Myst3.3,579.033721285389
10_E10,2,Myst1.3,282.963705242938
10_E11,2,Msl3.3,327.281507633612
10_F02,2,Mll3.3,66.2963206015709
10_F03,2,Nap1l1.3,411.072686155678
10_F04,2,Mtf2.4,332.019126642012
10_F05,2,Morf4l1.3,254.786032256235
10_F06,2,Mll5.3,190.827087616126
10_F07,2,Myst2.4,311.537225913138
10_F08,2,Mta2.3,348.99934288434
10_F09,2,Mta1.3,345.403984217895
10_F10,2,Mll5.4,552.616203444922
10_F11,2,Myst3.4,871.861952390554
10_G02,2,Myst1.4,579.736306523811
10_G03,2,Mta1.4,280.10991426632
10_G04,2,Mll2.4,636.497956027209
10_G05,2,Nap1l1.4,413.879588105722
10_G06,2,Myst4.4,429.020766253848
10_G07,2,Morf4l1.4,401.197679747912
10_G08,2,Mll3.4,125.652839557079
10_G09,2,Mta3.4,347.744562796251
10_G10,2,Msl3.4,398.214529804146
10_G11,2,Mta2.4,196.975599081228
11_B02,2,Nap1l2.1,516.23005628697
11_B03,2,Padi1.1,447.73376405871
11_B04,2,Padi4.1,598.082356066746
11_B05,2,Orc1.1,483.151723939345
11_B06,2,Ncoa1.1,505.697121761771
11_B07,2,Pcgf1.1,478.260604388704
11_B08,2,Parp1.1,395.610335559195
11_B09,2,Ncor2.1,507.958358393649
11_B10,2,Nap1l3.1,599.104195013857
11_B11,2,Paxip1.1,306.11242027892
11_C02,2,Parp1.2,489.295984601163
11_C03,2,Ncoa3.1,420.442879375164
11_C04,2,Nap1l2.2,122.98833350448
11_C05,2,Paxip1.2,289.556906482014
11_C06,2,Padi6.1,345.2857212982
11_C07,2,Padi4.2,310.760339137777
11_C08,2,Ncoa1.2,339.552194756772
11_C09,2,Pbrm1.1,422.976331827748
11_C10,2,Padi1.2,320.131128400373
11_C11,2,Nsd1.1,266.255779441768
11_D02,2,Nap1l3.2,601.968793775264
11_D03,2,Pbrm1.2,465.849756816852
11_D04,2,Padi1.3,287.357770542896
11_D05,2,Ncor1.1,293.470785720797
11_D06,2,Ncoa3.2,385.843746055866
11_D07,2,Pbrm1.3,488.347295954749
11_D08,2,Padi6.2,433.261481275187
11_D09,2,Ncor2.2,388.493956648477
11_D10,2,Nap1l2.3,380.769093461803
11_D11,2,Pcgf1.2,318.973735416048
11_E02,2,Nsd1.2,359.93876653437
11_E03,2,Orc1.2,448.240473628856
11_E04,2,Nap1l2.4,331.979349497136
11_E05,2,Parp1.3,306.775261153042
11_E06,2,Padi4.3,323.963109082491
11_E07,2,Ncor1.2,219.994922496019
11_E08,2,Nap1l3.3,310.499950270675
11_E09,2,Paxip1.3,387.427386569731
11_E10,2,Padi6.3,536.730176304871
11_E11,2,Ncor2.3,701.606145969751
11_F02,2,Ncoa1.3,395.951116304281
11_F03,2,Pcgf1.3,410.140691382055
11_F04,2,Padi4.4,388.786972424313
11_F05,2,Ncor1.3,340.374560026202
11_F06,2,Ncoa3.3,332.137133354296
11_F07,2,Parp1.4,408.175730727058
11_F08,2,Orc1.3,286.246733887213
11_F09,2,Nsd1.3,156.067158290266
11_F10,2,Ncoa3.4,484.637146971957
11_F11,2,Paxip1.4,345.909483705493
