type,shRNA,count,ZScore,nbRawCount
target,Kdm4d.1,10261,-0.19083934683872014,75.29532290537968
target,Kdm4d.2,11081,-0.18000946842377422,75.88907096289323
target,Kdm4d.3,8013,-0.22052906229823044,73.40546364484959
target,Kdm4d.4,5769,-0.2501659490825459,70.94641314194747
target,Kdm5a.1,11221,-0.1781604647919542,75.98629205277254
target,Kdm5a.2,53584,0.38133482702799015,88.27949066809882
target,Kdm5a.3,37999,0.17550110130002394,85.61391587231284
target,Kdm5a.4,657,-0.3176809959815746,56.41370427023573
target,Kdm5b.1,4,-0.32630527720713526,33.23328366732301
target,Kdm5b.2,3831,-0.2757614422144547,67.97395721481786
target,Kdm5b.3,84542,0.7902023586985951,91.6290982159341
target,Kdm5b.4,1338,-0.30868691402965004,60.8334287232119
target,Kdm5c.1,57711,0.43584081266028507,88.84238394337069
target,Kdm5c.2,298569,3.6168930751810735,98.33832156251876
target,Kdm5c.3,3781,-0.2764218006543904,67.8803226369493
target,Kdm5c.4,11973,-0.16822867385532084,76.48971042688937
target,Kdm5d.1,91065,0.8763527207726101,92.14445802837388
target,Kdm5d.2,2973,-0.28709319304375175,66.18651554503585
target,Kdm5d.3,2078,-0.29891360911860126,63.73326493830175
target,Kdm5d.4,78,-0.3253279467160304,44.999244939720676
target,Kdm6a.1,2209,-0.2971834700059697,64.14603051924944
target,Kdm6a.2,50501,0.3406171256215532,87.82615300311654
target,Kdm6a.3,592,-0.3185394619534911,55.79325313269432
target,Kdm6a.4,765,-0.31625462175131347,57.332328895429775
target,Kdm6b.1,3496,-0.28018584376202404,67.3240697947802
target,Kdm6b.2,15592,-0.1204319299727729,78.55672490232767
target,Kdm6b.3,11955,-0.16846640289369771,76.47801349284649
target,Kdm6b.4,12077,-0.16685512830025453,76.55696900409721
control,Klf12,32306,0.10031268932894202,84.33316272343984
control,Klf12.4,12334,-0.1634608859189849,76.72085447466478
control,Klf12.5,16947,-0.10253621625051469,79.21382843712857
control,Klf2,78669,0.7126366563437445,91.12034207848987
control,Klf2.2,12665,-0.15908931304661036,76.92722976307131
control,Klf2.3,3472,-0.2805028158131932,67.27536487931496
control,Klf2.4,7,-0.3262656557007391,35.069297463715145
control,Klf2.5,339,-0.32188087565956586,52.58610840967231
control,Klf2.6,22536,-0.028721349834499088,81.47301006903977
control,Klf2.7,54283,0.3905666380182916,88.37821102063235
target,L3mbtl1.1,6261,-0.24366802203357832,71.55304617305657
target,L3mbtl1.2,22246,-0.03255142878612631,81.37009297500346
target,L3mbtl1.3,36378,0.15409228067730765,85.27085399538251
target,L3mbtl1.4,4292,-0.26967293739824727,68.78843094907779
target,L3mbtl2.1,248,-0.3230827280202489,50.869392480511365
target,L3mbtl2.3,3364,-0.28192919004345435,67.05233726830768
target,L3mbtl2.4,5302,-0.25633369691154556,70.32494151088495
target,L3mbtl3.1,41223,0.21808101350707965,86.25237954018236
target,L3mbtl3.2,4059,-0.27275020772834774,68.38731169581744
target,L3mbtl3.3,921,-0.314194303418714,58.47232652864106
target,L3mbtl3.4,5582,-0.2526356896479055,70.70330275507195
target,L3mbtl4.1,18439,-0.08283112040283258,79.88103390463162
target,L3mbtl4.2,13736,-0.1449444352631871,77.56157487230362
target,L3mbtl4.3,9184,-0.20506346763493571,74.44398466538482
target,L3mbtl4.4,559,-0.31897529852384865,55.454528804726024
target,Mbd1.1,27646,0.038767282726932244,83.09744744285537
target,Mbd1.2,38380,0.1805330326123342,85.69230733746907
target,Mbd1.3,25711,0.013211411101419596,82.52076247322748
target,Mbd1.4,15755,-0.11827916145858243,78.63861924189305
target,Mbd2.2,79143,0.7188968543543353,91.16312859532611
target,Mbd2.3,15551,-0.1209734238935202,78.53599624723313
