type,shRNA,count,ZScore,nbRawCount
target,Kdm5a.2,318344,6.687356881440741,99.73739278033779
target,Kdm5a.3,14007,-0.16676231199690203,68.95707551957499
target,Kdm5a.4,2871,-0.41756149625028427,48.76661310566141
target,Kdm5b.1,275,-0.47602725436107635,28.42725646870074
target,Kdm5b.2,10256,-0.2512403777417329,64.6077179018383
target,Kdm5b.3,18092,-0.07476207244274734,72.61227921103236
target,Kdm5b.4,4829,-0.3734644414040089,54.81641954722141
target,Kdm5c.1,148138,2.8540661168007286,97.36573033640583
target,Kdm5c.2,101783,1.8100829822761655,94.66579793281625
target,Kdm5c.3,9965,-0.25779412797680246,64.21352431893783
target,Kdm5c.4,3638,-0.4002875222630048,51.446532113831665
target,Kdm5d.1,31927,0.23682258220394298,80.76243507546036
target,Kdm5d.2,1544,-0.44744749818134016,42.33202330434149
target,Kdm5d.3,26535,0.11538677028815301,78.12780423982471
target,Kdm5d.4,74,-0.48055407153375324,20.987222746453902
target,Kdm6a.1,5298,-0.3629018680010962,55.95787851578932
target,Kdm6a.2,10878,-0.2372320181327527,65.41832314174233
target,Kdm6a.3,1709,-0.4437314542336203,43.32843605997203
target,Kdm6a.4,3792,-0.3968192145784663,51.9286918883354
target,Kdm6b.1,4292,-0.3855584753429516,53.39199972697204
target,Kdm6b.2,1428,-0.45005998968397953,41.58027907114133
target,Kdm6b.3,7064,-0.32312893702125844,59.61805579075128
target,Kdm6b.4,552,-0.4697888048246012,33.39975747111825
control,Klf12,53,-0.4810270225816448,19.435528114380258
control,Klf12.4,13,-0.481927881720486,14.133042761788309
control,Klf12.5,1,-0.48219813946213835,8.638498558565196
control,Klf2,921,-0.4614783792687914,37.58971464353651
control,Klf2.2,2,-0.4821756179836673,9.64287396682878
control,Klf2.3,0,-0.4822206609406094,7.0087147077449705
control,Klf2.4,1,-0.48219813946213835,8.638498558565196
control,Klf2.5,0,-0.4822206609406094,7.0087147077449705
control,Klf2.6,1,-0.48219813946213835,8.638498558565196
control,Klf2.7,2,-0.4821756179836673,9.64287396682878
target,L3mbtl1.1,288,-0.47573447514095296,28.732795677468264
target,L3mbtl1.2,15048,-0.14331745290856052,69.97509427840647
