Protein1,Protein2,Score
27154|BRPF3|Q9ULD4,84289|ING5|Q8WYH8,51.23084531
58508|MLL3|Q8NEZ4,11091|WDR5|P61964,51.15055509
57332|CBX8|Q9HC52,80012|PHC3|Q8NDX5,51.06799559
6603|SMARCD2|Q92925,55193|PBRM1|Q86U86,50.9578479
10902|BRD8|Q9H0E9,10933|MORF4L1|Q9UBU8,50.91703349
8932|MBD2|Q9UBB5,9219|MTA2|O94776,50.81565057
57504|MTA3|Q9BTC8,53615|MBD3|O95983,50.74844156
8208|CHAF1B|Q13112,5928|RBBP4|Q09028,50.503778
5929|RBBP5|Q15291,9739|SETD1A|O15047,50.33592924
84333|PCGF5|Q86SE9,84108|PCGF6|Q9BYE7,49.74812145
6604|SMARCD3|Q6STE5,55193|PBRM1|Q86U86,49.70135865
196528|ARID2|Q68CP9,6602|SMARCD1|Q96GM5,49.43777051
6015|RING1|Q06587,6045|RNF2|Q99496,49.38912061
648|BMI1|P35226,84108|PCGF6|Q9BYE7,48.90190685
9070|ASH2L|Q9UBL3,3054|HCFC1|P51610,48.68881275
57332|CBX8|Q9HC52,1911|PHC1|P78364,48.62995642
79960|PHF17|Q6IE81,51147|ING4|Q9UNL4,48.59650276
84759|PCGF1|Q9BSM1,84108|PCGF6|Q9BYE7,48.55507735
6602|SMARCD1|Q96GM5,55193|PBRM1|Q86U86,48.21002067
53615|MBD3|O95983,1108|CHD4|Q14839,48.09236416
6595|SMARCA2|P51531,55193|PBRM1|Q86U86,47.81972943
6603|SMARCD2|Q92925,196528|ARID2|Q68CP9,47.55935809
84661|DPY30|Q9C005,30827|CXXC1|Q9P0U4,46.98151945
57504|MTA3|Q9BTC8,5928|RBBP4|Q09028,46.83091806
1108|CHD4|Q14839,5928|RBBP4|Q09028,46.62236049
53615|MBD3|O95983,8932|MBD2|Q9UBB5,46.46793142
7703|PCGF2|P35227,84108|PCGF6|Q9BYE7,46.39058638
10036|CHAF1A|Q13111,10951|CBX1|P83916,45.97986506
23522|KAT6B|Q8WYB5,7994|KAT6A|Q92794,45.91041593
57504|MTA3|Q9BTC8,9112|MTA1|Q13330,45.88976805
7862|BRPF1|P55201,23522|KAT6B|Q8WYB5,45.84151906
27154|BRPF3|Q9ULD4,23522|KAT6B|Q8WYB5,45.73023268
196528|ARID2|Q68CP9,6605|SMARCE1|Q969G3,45.64328127
8289|ARID1A|O14497,55193|PBRM1|Q86U86,45.31826928
84108|PCGF6|Q9BYE7,10951|CBX1|P83916,45.21868018
196528|ARID2|Q68CP9,6604|SMARCD3|Q6STE5,45.08129035
9070|ASH2L|Q9UBL3,4221|MEN1|O00255,45.05067585
86|ACTL6A|O96019,29117|BRD7|Q9NPI1,45.04024888
6601|SMARCC2|Q8TAQ2,29117|BRD7|Q9NPI1,44.99575624
8932|MBD2|Q9UBB5,5928|RBBP4|Q09028,44.59250365
1912|PHC2|Q8IXK0,648|BMI1|P35226,44.44983896
1911|PHC1|P78364,80012|PHC3|Q8NDX5,44.37566537
1108|CHD4|Q14839,9112|MTA1|Q13330,44.32421757
8932|MBD2|Q9UBB5,2186|BPTF|Q12830,44.27882907
6015|RING1|Q06587,84678|KDM2B|Q8NHM5,44.26251208
5931|RBBP7|Q16576,9219|MTA2|O94776,44.22366962
57504|MTA3|Q9BTC8,2186|BPTF|Q12830,44.12491416
648|BMI1|P35226,80012|PHC3|Q8NDX5,43.86210539
196528|ARID2|Q68CP9,6595|SMARCA2|P51531,43.83569926
84661|DPY30|Q9C005,22992|KDM2A|Q9Y2K7,43.54134308
8208|CHAF1B|Q13112,10951|CBX1|P83916,43.40515956
6015|RING1|Q06587,11335|CBX3|Q13185,43.07172872
11335|CBX3|Q13185,11091|WDR5|P61964,42.93940148
23512|SUZ12|Q15022,9219|MTA2|O94776,42.82583718
6599|SMARCC1|Q92922,55193|PBRM1|Q86U86,42.65500212
23774|BRD1|O95696,84661|DPY30|Q9C005,42.50763536
53615|MBD3|O95983,3066|HDAC2|Q92769,42.49453183
6597|SMARCA4|P51532,55193|PBRM1|Q86U86,42.48362375
11335|CBX3|Q13185,8208|CHAF1B|Q13112,42.32763961
5931|RBBP7|Q16576,8520|HAT1|O14929,42.2484863
8289|ARID1A|O14497,196528|ARID2|Q68CP9,42.17612258
7703|PCGF2|P35227,84678|KDM2B|Q8NHM5,42.13406257
10036|CHAF1A|Q13111,5928|RBBP4|Q09028,42.04572197
8932|MBD2|Q9UBB5,9112|MTA1|Q13330,41.95907596
8085|MLL2|O14686,84661|DPY30|Q9C005,41.83664293
9219|MTA2|O94776,2186|BPTF|Q12830,41.81945726
55274|PHF10|Q8WUB8,29117|BRD7|Q9NPI1,41.74547547
196528|ARID2|Q68CP9,55274|PHF10|Q8WUB8,41.73477918
3275|PRMT2|P55345,56981|PRDM11|Q9NQV5,41.49742308
1911|PHC1|P78364,648|BMI1|P35226,41.41725587
84678|KDM2B|Q8NHM5,84333|PCGF5|Q86SE9,41.29364575
196528|ARID2|Q68CP9,57492|ARID1B|Q8NFD5,41.04580346
57332|CBX8|Q9HC52,84759|PCGF1|Q9BSM1,40.80856286
3066|HDAC2|Q92769,5928|RBBP4|Q09028,40.74402298
23512|SUZ12|Q15022,5931|RBBP7|Q16576,40.6676663
22955|SCMH1|Q96GD3,1912|PHC2|Q8IXK0,39.72944049
1108|CHD4|Q14839,11335|CBX3|Q13185,39.41925137
10036|CHAF1A|Q13111,11335|CBX3|Q13185,39.41147536
22976|PAXIP1|Q6ZW49,11091|WDR5|P61964,39.298663
57504|MTA3|Q9BTC8,8726|EED|O75530,39.29371437
6601|SMARCC2|Q8TAQ2,55193|PBRM1|Q86U86,39.16505094
22823|MTF2|Q9Y483,57504|MTA3|Q9BTC8,39.16433524
23028|KDM1A|O60341,51460|SFMBT1|Q9UHJ3,38.76181198
6015|RING1|Q06587,1912|PHC2|Q8IXK0,38.56807906
57492|ARID1B|Q8NFD5,55193|PBRM1|Q86U86,38.51244842
27154|BRPF3|Q9ULD4,79960|PHF17|Q6IE81,38.502473
53615|MBD3|O95983,2186|BPTF|Q12830,38.14692901
84108|PCGF6|Q9BYE7,6045|RNF2|Q99496,38.11841381
7403|KDM6A|O15550,30827|CXXC1|Q9P0U4,38.02322829
5928|RBBP4|Q09028,2186|BPTF|Q12830,37.90753264
