type,shRNA,count,pctg
target,Atr.1,2082,0.059486547097373645
target,Cbx5.1,2001,0.05717222898263433
target,Cbx3.3,1952,0.055772209382359925
target,Ing5.3,1937,0.055343631953704495
target,Chd9.1,1933,0.05522934463939638
target,Asxl3.3,1925,0.05500077001078015
target,Crebbp.1,1921,0.05488648269647204
target,Atad2.1,1911,0.05460076441070175
target,Dmap1.4,1899,0.05425790246777741
target,Gtf2f1.3,1874,0.05354360675335169
target,Carm1.2,1871,0.05345789126762061
target,Ino80.2,1839,0.052543592753155684
target,Chd5.4,1804,0.05154357875295968
target,Brpf1.3,1782,0.05091499852426506
target,Ep400.1,1758,0.050229274638416366
target,Ep400.2,1731,0.04945783526683659
target,Ing4.3,1728,0.04937211978110551
target,Ash2l.2,1727,0.04934354795252848
target,Crebbp.2,1709,0.048829255038141964
target,Cbx1.2,1695,0.04842924943806356
target,Actl6b.4,1678,0.04794352835225407
target,Ing4.1,1626,0.04645779326624858
target,Hdac6.2,1622,0.04634350595194047
target,Hdac8.1,1605,0.045857784866130985
target,Dnmt3b.3,1586,0.04531492012316744
target,Atm.2,1558,0.04451490892301064
target,Elp4.2,1529,0.0436863258942768
target,Fbxl19.2,1527,0.04362918223712275
target,Ehmt2.2,1494,0.0426863118940808
target,Chd4.2,1476,0.04217201897969428
target,Jarid2.3,1475,0.04214344715111726
target,Dnmt3b.1,1467,0.04191487252250103
target,Chd3.2,1463,0.041800585208192916
target,Ing2.4,1398,0.03994341635068605
target,Dnmt3a.2,1380,0.03942912343629954
target,Baz1b.3,1378,0.03937197977914548
target,Jmjd4.4,1368,0.03908626149337519
target,Chaf1b.4,1366,0.039029117836221136
target,Bmi1.1,1343,0.038371965778949475
target,Ehmt1.4,1336,0.038171962978910276
target,Hells.1,1335,0.038143391150333245
target,Brwd1.4,1327,0.03791481652171702
target,Ing2.3,1311,0.03745766726448456
target,Cbx1.1,1297,0.037057661664406154
target,Ing3.1,1289,0.03682908703578993
target,Asxl2.3,1278,0.03651479692144261
target,Dot1l.4,1274,0.0364005096071345
target,Hells.2,1271,0.03631479412140341
target,Hdac4.4,1270,0.03628622229282638
target,Ezh1.4,1249,0.03568621389270878
target,Chd8.1,1225,0.0350004900068601
target,Atm.1,1193,0.03408619149239518
target,Ing3.2,1156,0.033029033835045116
target,Baz2a.1,1140,0.03257188457781266
target,Chd9.3,1138,0.0325147409206586
target,Asxl1.1,1133,0.03237188177777346
target,Chd6.1,1125,0.03214330714915723
target,Actl6b.3,1114,0.03182901703480992
target,Jhdm1d.2,1109,0.03168615789192477
target,Chd1l.3,1108,0.031657586063347745
target,Cbx2.1,1103,0.031514726920462595
target,Brwd1.3,1101,0.031457583263308546
target,Chaf1a.1,1097,0.031343295949000434
target,Cbx6.4,1095,0.03128615229184637
target,Dnmt3l.2,1094,0.03125758046326934
target,Brpf3.3,1073,0.030657572063151742
target,Atrx.1,1057,0.03020042280591928
target,Jmjd4.1,1049,0.029971848177303053
target,Gtf3c4.2,1020,0.02914326514856922
target,Atm.4,1018,0.029086121491415165
target,Ash1l.4,988,0.02822896663410431
