shRNA,Q1,Q2,Q3,Q4,exp
Cbx3.2,-4.288785923,-2936.044973,-28897.36613,-3937.778067,P1-7_rep1
Cbx3.3,-707075.4633,-715194.3561,15002.84943,-721689.3985,P1-7_rep1
Cbx3.4,24657.37471,82729.09308,1016578.819,6537.234154,P1-7_rep1
Cbx4.1,-3949.951988,1562.947648,-8631.251915,-6427.023214,P1-7_rep1
Cbx4.2,-41688.55317,107609.7396,13774.84147,-7841.280631,P1-7_rep1
Cbx4.3,1650.612366,-1726.731608,-6553.359213,-2060.271202,P1-7_rep1
Cbx4.4,-4742.693721,-2506.599063,63106.84584,-11042.6356,P1-7_rep1
Cbx5.1,24264.65903,37466.87354,91470.98629,59494.12989,P1-7_rep1
Cbx5.2,17141.6589,17839.32683,-1087.441023,44143.26292,P1-7_rep1
Cbx5.3,919.0890229,1387.191751,-29027.25762,1327.369622,P1-7_rep1
Cbx5.4,-209289.4583,-207179.1579,-7200.349929,-209132.6892,P1-7_rep1
Cbx6.1,-121.2762337,446.8287207,-2719.329145,2922.94891,P1-7_rep1
Cbx6.2,1427.373674,-4673.554754,2438.727757,-4547.047949,P1-7_rep1
Cbx6.3,-7275.669345,-8516.34864,-33105.44852,-8400.213019,P1-7_rep1
Cbx6.4,0,0,-54473.91462,0,P1-7_rep1
Cbx7.1,27266.79504,19325.77537,155897.5452,-3396.524752,P1-7_rep1
Cbx7.2,328.1663583,22921.23184,-4263.29448,5264.965242,P1-7_rep1
Cbx7.3,17348.26722,18921.4785,51180.0738,4790.87097,P1-7_rep1
Cbx7.4,-2934.505814,6719.928372,-2583.60153,-1073.809256,P1-7_rep1
Cbx8.1,2941.998489,1094.361928,-8530.421069,5915.228867,P1-7_rep1
Cbx8.2,-108188.538,-108510.0816,65493.06966,-112453.339,P1-7_rep1
Cbx8.3,4042.179685,10709.42758,34508.90856,-3673.861494,P1-7_rep1
Cbx8.4,-26591.60604,-27817.03042,-348.142314,-26180.80534,P1-7_rep1
Ccnt1,-40184.92152,-32660.63723,2971793.329,-852.984912,P1-7_rep1
Ccnt1.2,-87181.21022,-133727.0382,1284345.913,-127106.2654,P1-7_rep1
Ccnt1.3,23192.73223,-3435.032242,479655.759,9973.927736,P1-7_rep1
Ccnt1.4,-100134.1459,-118468.1577,442351.5585,-112250.9039,P1-7_rep1
Cd14,-1691.90813,-1692.428549,-6.022877397,-1692.428549,P1-7_rep1
Cd14.2,17111.70729,-3260.639841,31786.23734,-4333.957907,P1-7_rep1
Cd19,2374.353849,-4703.867247,221576.0634,-2144.01562,P1-7_rep1
Cd19.3,-3191.514595,-2536.737378,-107757.733,-4218.007726,P1-7_rep1
Cd19.4,8482.025059,39074.53988,213277.2828,1416.835717,P1-7_rep1
Cd4.5,317.1512364,2.136200829,-57.45163765,2215.41846,P1-7_rep1
Cecr2.1,0,0,-355.3497665,0,P1-7_rep1
Cecr2.2,112.4105402,1.649810492,-1672.051385,0,P1-7_rep1
Cecr2.3,-9.443658958,-8.746133811,-10440.65797,-11.35033191,P1-7_rep1
Chaf1a.1,291.8684299,5468.228454,-11840.97696,-12391.89206,P1-7_rep1
Chaf1a.2,-20.44857542,-20.79188861,-3288.491059,-20.61439518,P1-7_rep1
Chaf1a.3,-17067.94877,-14641.41949,-2397.105204,-13517.45828,P1-7_rep1
Chaf1a.4,-16214.16491,-16996.51773,1743.485038,-12565.53458,P1-7_rep1
Chaf1b.1,7215.258568,16006.14216,88862.6879,-5200.153199,P1-7_rep1
Chaf1b.2,319.0546097,5733.497617,-6838.10906,-1278.023508,P1-7_rep1
Chaf1b.3,-16776.16961,-16460.99518,3222.604536,-15857.82925,P1-7_rep1
Chaf1b.4,-54377.74229,-46727.93411,0,-40605.53294,P1-7_rep1
Chd1.1,-16393.1521,-6251.908732,2422167.201,-678.6239671,P1-7_rep1
Chd1.2,-333.3551442,-684.609482,-807821.4769,3872.697688,P1-7_rep1
Chd1.3,48515.93539,75590.92607,574176.003,34051.32164,P1-7_rep1
Chd1.4,-127694.5611,-139234.1321,91674.93039,-143052.9403,P1-7_rep1
Chd1l.1,-8070.716091,15742.36994,-4250.614803,-849.3958748,P1-7_rep1
Chd1l.2,-10300.57435,-7.295684504,-5964.08893,-9574.943097,P1-7_rep1
Chd1l.3,-83074.86644,-84696.51302,2516.790861,-70936.37781,P1-7_rep1
Chd2.1,-3249.216008,-7281.861054,47674.7116,-1686.930244,P1-7_rep1
Chd2.2,9777.252111,26726.16731,3132.495677,6771.835246,P1-7_rep1
Chd2.3,-9815.752278,-5969.22801,-284467.2253,-11701.85023,P1-7_rep1
Chd2.4,-7615.577661,-1686.894437,62340.67257,-40.59433804,P1-7_rep1
Chd3.1,-491631.4425,-520161.1812,303712.6446,-539446.1841,P1-7_rep1
