gene_name,gene_name2,interation,source_appearance,source_appearance_sqrt
KDM6A,RNF2,pp,18,4.242640687119285
HDAC1,TRIM28,pp,91,9.539392014169456
PHC1,PHC3,pp,20,4.47213595499958
MBD4,UHRF1,pp,6,2.449489742783178
ATM,MTA3,pp,23,4.795831523312719
CBX3,KDM2B,pp,38,6.164414002968976
KAT2A,SIRT1,pp,9,3.0
KMT2A,WDR82,pp,40,6.324555320336759
HDAC2,SUV39H1,pp,78,8.831760866327848
MEN1,RNF20,pp,19,4.358898943540674
KDM1A,SMARCD1,pp,49,7.0
CBX8,PCGF2,pp,26,5.0990195135927845
HDAC2,MBD2,pp,78,8.831760866327848
EZH2,NCOR1,pp,105,10.246950765959598
PCGF6,WDR5,pp,18,4.242640687119285
EED,SMARCD1,pp,87,9.327379053088816
BAZ1A,EZH2,pp,13,3.605551275463989
KAT2B,WDR5,pp,17,4.123105625617661
EZH2,SMARCC2,pp,105,10.246950765959598
DNMT3B,HDAC1,pp,33,5.744562646538029
HDAC3,L3MBTL2,pp,31,5.5677643628300215
KAT8,PAF1,pp,14,3.7416573867739413
NCOA1,NCOR1,pp,16,4.0
KAT2A,USP22,pp,9,3.0
CBX3,KDM5C,pp,38,6.164414002968976
CBX1,SUV39H1,pp,28,5.291502622129181
HDAC1,HDAC5,pp,91,9.539392014169456
HDAC1,SUV39H1,pp,91,9.539392014169456
CBX7,PCGF5,pp,14,3.7416573867739413
MBD1,PRMT5,pp,9,3.0
DNMT3A,EED,pp,19,4.358898943540674
PPARGC1A,UBE2I,pp,9,3.0
EAF1,GTF2F1,pp,4,2.0
BRPF1,KAT6A,pp,6,2.449489742783178
ATAD2,HDAC11,pp,4,2.0
ACTL6A,EP400,pp,33,5.744562646538029
CBX5,UBE2B,pp,39,6.244997998398398
CBX4,PHC1,pp,26,5.0990195135927845
BRCA1,HDAC1,pp,56,7.483314773547883
CBX7,PCGF2,pp,14,3.7416573867739413
HDAC9,NCOR1,pp,11,3.3166247903554
ARID1B,HDAC3,pp,20,4.47213595499958
EED,EPC2,pp,87,9.327379053088816
HDAC1,MTA1,pp,91,9.539392014169456
RNF20,SIRT6,pp,9,3.0
HDAC3,RBBP4,pp,31,5.5677643628300215
HDAC1,SMARCB1,pp,91,9.539392014169456
GTF2F1,GTF2H1,pp,10,3.1622776601683795
PRDM1,PRMT5,pp,6,2.449489742783178
EZH2,SUV39H1,pp,105,10.246950765959598
SIN3A,TET1,pp,47,6.855654600401044
HDAC3,KDM1A,pp,31,5.5677643628300215
KDM6A,WDR82,pp,18,4.242640687119285
AURKB,FKBP5,pp,12,3.4641016151377544
EP300,WDR5,pp,58,7.615773105863909
PHF8,PRMT5,pp,6,2.449489742783178
ACTB,EED,pp,18,4.242640687119285
ARID1A,SMARCC2,pp,26,5.0990195135927845
KDM6B,PRMT5,pp,16,4.0
PCGF2,PHC3,pp,15,3.872983346207417
CBX8,PHC2,pp,26,5.0990195135927845
EED,SIRT2,pp,87,9.327379053088816
PRKAA1,PRKAA2,pp,11,3.3166247903554
CBX7,EED,pp,14,3.7416573867739413
NCOR1,RBBP4,pp,34,5.830951894845301
CBX3,CHD3,pp,38,6.164414002968976
EED,GTF3C4,pp,87,9.327379053088816
KAT2A,WDR5,pp,9,3.0
DNMT1,HDAC2,pp,40,6.324555320336759
CBX7,PCGF6,pp,14,3.7416573867739413
CHD1,HDAC1,pp,8,2.8284271247461903
EP300,PPARGC1A,pp,58,7.615773105863909
L3MBTL2,RING1,pp,27,5.196152422706632
ATR,HDAC1,pp,9,3.0
SETD1A,WDR5,pp,15,3.872983346207417
ACTL6A,CXXC1,pp,33,5.744562646538029
HDAC2,KMT2A,pp,78,8.831760866327848
CHD1L,HLTF,pp,10,3.1622776601683795
L3MBTL2,RBBP4,pp,27,5.196152422706632
EED,SMYD3,pp,87,9.327379053088816
DNMT1,HDAC3,pp,40,6.324555320336759
KDM5C,NCOR1,pp,13,3.605551275463989
SMARCC2,SMARCE1,pp,41,6.4031242374328485
KMT2A,RBBP7,pp,40,6.324555320336759
HDAC1,SMYD1,pp,91,9.539392014169456
CBX8,EED,pp,26,5.0990195135927845
BMI1,MBD2,pp,57,7.54983443527075
CARM1,SMARCD1,pp,24,4.898979485566356
CREBBP,NCOA1,pp,38,6.164414002968976
BRCA1,EED,pp,56,7.483314773547883
EHMT2,L3MBTL2,pp,35,5.916079783099616
BRD8,ING3,pp,7,2.6457513110645907
PHF20,WDR5,pp,4,2.0
ERCC5,GTF2H1,pp,2,1.4142135623730951
L3MBTL2,PARP1,pp,27,5.196152422706632
RNF2,WDR5,pp,74,8.602325267042627
CHD1L,SSRP1,pp,10,3.1622776601683795
HDAC5,SUV39H1,pp,25,5.0
CBX3,MECP2,pp,38,6.164414002968976
ARID2,SMARCD1,pp,10,3.1622776601683795
ACTL6B,SMARCA2,pp,6,2.449489742783178
MBD2,MTA3,pp,22,4.69041575982343
HDAC10,HDAC3,pp,5,2.23606797749979
EED,MTA3,pp,87,9.327379053088816
ATM,BRCA1,pp,23,4.795831523312719
CHD4,SSRP1,pp,60,7.745966692414834
CHD4,MBD2,pp,60,7.745966692414834
CBX4,MBD1,pp,26,5.0990195135927845
BRD8,EP400,pp,7,2.6457513110645907
BRCA1,CBX3,pp,56,7.483314773547883
BRD7,SMARCD1,pp,16,4.0
HDAC3,SUV39H1,pp,31,5.5677643628300215
EP300,PRKAA1,pp,58,7.615773105863909
CBX7,HDAC2,pp,14,3.7416573867739413
BRD9,SMARCC2,pp,9,3.0
CXXC1,SETD1A,pp,16,4.0
EP400,H2AFZ,pp,23,4.795831523312719
KMT2A,MBD3,pp,40,6.324555320336759
DNMT1,KAT5,pp,40,6.324555320336759
ARID1B,SMARCC2,pp,20,4.47213595499958
BRD2,CARM1,pp,10,3.1622776601683795
DNMT1,MTA2,pp,40,6.324555320336759
CREBBP,HDAC1,pp,38,6.164414002968976
HDAC3,NCOR1,pp,31,5.5677643628300215
GTF2F1,PARP1,pp,10,3.1622776601683795
DNMT1,SUZ12,pp,40,6.324555320336759
L3MBTL3,SFMBT1,pp,11,3.3166247903554
HDAC3,NCOR2,pp,31,5.5677643628300215
RING1,WDR5,pp,24,4.898979485566356
ASH2L,KMT2A,pp,27,5.196152422706632
DNMT1,KDM1A,pp,40,6.324555320336759
BRPF1,ING5,pp,6,2.449489742783178
NAP1L1,SIRT7,pp,9,3.0
ING2,SMARCC2,pp,14,3.7416573867739413
HCFC1,KMT2A,pp,32,5.656854249492381
HDAC1,KDM5C,pp,91,9.539392014169456
SMARCD1,SMARCE1,pp,30,5.477225575051661
EP300,ING2,pp,58,7.615773105863909
EP400,RNF2,pp,23,4.795831523312719
BRD2,BRPF1,pp,10,3.1622776601683795
BPTF,BRCA1,pp,11,3.3166247903554
NCOA1,SMARCC1,pp,16,4.0
CXXC1,PRMT2,pp,16,4.0
KMT2A,SMARCC2,pp,40,6.324555320336759
CHD4,DNMT1,pp,60,7.745966692414834
BPTF,EZH2,pp,11,3.3166247903554
L3MBTL3,PRKAA2,pp,11,3.3166247903554
GTF2B,MECP2,pp,8,2.8284271247461903
BAZ1B,SIRT7,pp,15,3.872983346207417
CARM1,KAT2B,pp,24,4.898979485566356
EZH2,UHRF1,pp,105,10.246950765959598
PHC3,RNF2,pp,14,3.7416573867739413
IWS1,RNF40,pp,4,2.0
TRIM28,UBE2E1,pp,48,6.928203230275509
SMARCC2,SMARCD3,pp,41,6.4031242374328485
EED,NAP1L1,pp,87,9.327379053088816
KDM2B,WDR5,pp,15,3.872983346207417
CBX3,EHMT1,pp,38,6.164414002968976
HDAC1,MTA3,pp,91,9.539392014169456
DNMT1,PRMT5,pp,40,6.324555320336759
EED,KDM2B,pp,87,9.327379053088816
CHD3,HDAC1,pp,51,7.14142842854285
JADE1,KAT7,pp,6,2.449489742783178
CBX7,PHC2,pp,14,3.7416573867739413
L3MBTL3,L3MBTL4,pp,11,3.3166247903554
RNF20,UBE2A,pp,9,3.0
CBX3,DNMT3B,pp,38,6.164414002968976
EED,FKBP1A,pp,87,9.327379053088816
EED,PCGF6,pp,87,9.327379053088816
