,,Experiment: 100U p1_1,Analysis: Analysis 1,User: Admin,Plate: 5,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:25:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
F02,Ehmt1.3,F02,Sample,14216,315,318,3707,4433.841414,3272.857351,2752.247732,2191.142901,6815.602719,7622.412122,2244.595769,13.01587302,33.64779874,32.04747774,18.31529178,89.61248652,18.66840246,22.01309142,117.9478591,15.23809524,5.031446541,1.861343404,16.511136,0.634920635,0.943396226,0.458591853,1.169590643,47.30852113,82.23810205,60.17842965,37.35785227
F03,Fbxo44.3,F03,Sample,13799,1061,1086,3252,4175.806226,2860.870186,2987.650714,2384.983812,8284.775194,7195.739667,2021.795606,17.24787936,30.20257827,30.13530135,19.10030572,100.5683344,25.5370685,24.98442843,144.9854051,15.92836946,5.064456722,1.752767528,18.06667637,1.036757776,0.920810313,0.338253383,1.848886301,46.29139375,68.27576034,57.47652481,38.69548513
F04,Epc2.4,F04,Sample,15347,3982,4793,1129,3955.064075,2582.351077,2763.022983,1973.19095,7693.819084,6048.367152,1900.188841,18.55851331,34.55038598,38.52967228,24.25608656,163.9814971,29.11921118,25.03334454,174.6021715,22.62682069,3.609430419,1.417183348,19.74752029,1.757910598,0.646776549,0,1.142170123,42.81492322,61.39825781,52.21062063,38.56644995
F05,Elp3.3,F05,Sample,16251,30,45,5313,1528.230008,2258.415625,3066.301992,662.033969,6988.215352,7550.107113,2484.184828,33.33333333,53.33333333,34.34970826,20.60058799,167.9974318,36.42242495,25.11926593,146.3049365,30,13.33333333,2.936194241,18.98362033,0,4.444444444,0.527009223,0.90298194,34.73765516,152.9510635,60.10085228,40.16071285
F06,Ehmt2.3,F06,Sample,12783,1222,1640,2912,4095.326045,3214.666266,3145.865844,2235.50963,7323.20029,7298.535726,2112.029763,20.9492635,39.75609756,38.46153846,21.44986955,126.5239738,27.52392564,22.43990711,132.6530417,20.1309329,5.243902439,1.54532967,18.44949683,1.47299509,0.792682927,0.51510989,1.024972046,43.44369361,87.71665962,59.18458804,43.1567113
F07,Ezh1.4,F07,Sample,14680,2663,3093,2418,3754.200409,2276.719766,2856.239245,2381.275308,7410.822443,6726.77924,1991.740797,26.66165978,39.89654058,40.81885856,25.87746625,105.9915424,22.10103921,22.04691162,155.8090789,16.89823507,3.524086647,1.736972705,20.26998962,0.75103267,0.549628193,0.289495451,1.204569055,36.23459429,60.34050247,54.24027809,38.9317035
F08,Ep400.3,F08,Sample,18164,14,29,5767,3582.6146,3182.673098,3118.718767,1751.851879,7594.887708,6803.148439,2231.553641,50,44.82758621,38.56424484,22.01843404,46.25696604,47.66564045,25.8331807,119.2479837,28.57142857,6.896551724,3.190567019,16.00409645,7.142857143,0,0.364140801,0.726189368,114.3004263,105.8230068,62.26295344,45.40744056
F09,Ep300.3,F09,Sample,15085,926,1452,3480,2026.196702,1063.327531,3092.122536,1390.854292,2174.560831,7010.839274,1982.498634,23.54211663,32.30027548,37.21264368,23.3832212,386.644913,46.11657668,29.83326902,129.3755701,36.60907127,9.090909091,1.522988506,16.20211451,2.159827214,1.101928375,0.316091954,0.631607854,33.3473537,43.57069409,62.72873696,44.75796655
F10,Ehmt2.4,F10,Sample,16293,3053,2839,2225,4434.181089,2667.787933,3034.92218,1757.537775,5583.268143,7564.245264,2130.029465,21.1922699,37.68932723,39.5505618,23.50237978,67.80969892,32.58938212,24.99454525,103.0308659,10.21945627,3.698485382,1.483146067,12.85081241,0.851621356,0.493131384,0.314606742,0.672903332,52.73422942,75.88608209,65.13984453,48.18540859
F11,Ezh2.4,F11,Sample,18618,3629,3170,2666,5776.368827,3310.035134,3330.522041,3629.773756,10569.53652,7567.248472,2336.805193,23.86332323,35.93059937,40.58514629,26.48,64.20598678,25.85524521,28.75479053,109.2429456,8.266740149,2.365930599,1.500375094,14.52,0.854229815,0.441640379,0.600150038,0.826666667,51.93739262,80.28785758,70.15343628,51.77482997
