source,target,color,edge
ATM,RNF20,1,pp
DNMT1,DNMT1,4,pp
CHD5,HDAC2,3,pp
CHD5,HDAC1,3,pp
KDM2B,SIN3A,6,pp
CBX5,DNMT1,5,pp
CBX5,DNMT3A,5,pp
CBX1,CHD4,1,pp
CBX1,CHAF1A,1,pp
CBX3,CHD4,2,pp
WDR5,HDAC3,4,pp
MECP2,CBX5,4,pp
KMT2B,WDR5,4,pp
MECP2,CBX1,4,pp
MECP2,CBX3,4,pp
SIRT7,BAZ1B,3,pp
SIRT7,CHD4,3,pp
SIRT7,BOP1,3,pp
SIRT7,SMARCA4,3,pp
SIRT7,HCFC1,3,pp
SIRT7,KMT2A,3,pp
SIRT7,ATAD2,3,pp
SIRT7,DNMT1,3,pp
SIRT7,PRMT5,3,pp
SIRT7,BPTF,3,pp
SIRT7,CBX3,3,pp
SIRT7,CHD7,3,pp
SIRT7,RBBP7,3,pp
SIRT7,NSD1,3,pp
SIRT7,SMARCC1,3,pp
SIRT7,ATAD2B,3,pp
SIRT7,HDAC2,3,pp
SIRT7,NAP1L1,3,pp
SIRT7,ARID1A,3,pp
SIRT7,ATM,3,pp
CHD4,CHD4,5,pp
CBX3,EHMT2,2,pp
EP400,EPC1,2,pp
H2AFZ,EP400,3,pp
H2AFZ,EPC1,3,pp
H2AFZ,ING3,3,pp
SETD7,SMARCA4,4,pp
UHRF1,SUV39H1,4,pp
SUV39H1,UHRF1,4,pp
PCGF5,RING1,5,pp
PCGF6,RING1,1,pp
PCGF6,CBX3,1,pp
PCGF6,WDR5,1,pp
PCGF6,HDAC1,1,pp
PHC1,PCGF2,6,pp
PHC1,RING1,6,pp
PHC1,PHC3,6,pp
PHC1,CBX6,6,pp
PHC1,HDAC2,6,pp
PHC2,PCGF2,3,pp
PHC2,RING1,3,pp
PHC2,PHC3,3,pp
PHC2,CBX4,3,pp
PHC2,CBX6,3,pp
PHC2,SCML2,3,pp
PHC2,HDAC2,3,pp
PHC3,PCGF2,4,pp
PHC3,RING1,4,pp
PHC3,PHC1,4,pp
PHC3,PHC2,4,pp
PHC3,CBX4,4,pp
PHC3,CBX6,4,pp
CBX4,PCGF2,1,pp
CBX4,PHC2,1,pp
CBX4,PHC3,1,pp
CBX6,RING1,5,pp
CBX6,PHC1,5,pp
CBX6,PHC2,5,pp
CBX6,PHC3,5,pp
CBX6,CBX4,5,pp
RING1,WDR5,6,pp
RING1,PCGF2,6,pp
PCGF2,CBX7,6,pp
EHMT2,DNMT3A,1,pp
SMARCD3,SMARCA4,2,pp
DNMT1,CHD4,4,pp
DNMT1,HDAC3,4,pp
HDAC3,DNMT1,4,pp
CHD4,DNMT1,5,pp
KDM4C,HDAC1,5,pp
KDM4C,HDAC3,5,pp
KDM2B,KDM2B,6,pp
UBE2E1,RNF20,4,pp
RNF20,UBE2E1,1,pp
UBE2E1,PAF1,4,pp
PAF1,UBE2E1,4,pp
PAF1,RNF20,4,pp
TRIM24,CBX5,1,pp
TRIM24,CBX1,1,pp
TRIM24,CBX3,1,pp
DOT1L,KMT2A,3,pp
NCOR1,NCOR2,2,pp
BCL6,BCL6,3,pp
MEN1,POLR2B,5,pp
MEN1,KMT2D,5,pp
MEN1,TAF1,5,pp
PCGF2,PCGF2,6,pp
ZMYND11,ZMYND11,1,pp
HCFC1,HCFC1,6,pp
GTF2F1,GTF2H1,2,pp
RNF20,UBE2B,1,pp
CHAF1A,CHAF1B,4,pp
SMARCC1,SMARCD1,6,pp
ARID1A,SMARCE1,5,pp
ARID1A,SMARCD1,5,pp
ARID1A,ARID1B,5,pp
BAZ1B,SMARCC1,1,pp
BAZ1B,SMARCA4,1,pp
ARID1A,SMARCD2,5,pp
SMARCC1,SMARCD2,6,pp
ARID1B,SMARCE1,3,pp
ARID1A,SMARCD3,5,pp
HDAC1,SMARCC1,2,pp
TAF1,TAF3,6,pp
HDAC1,SMARCA5,2,pp
SMARCA5,SMARCC1,5,pp
HDAC1,SMARCD1,2,pp
SMARCA1,SMARCA5,6,pp
HAT1,RBBP7,6,pp
SMARCA1,SMARCC1,6,pp
BAZ1B,SMARCD2,1,pp
SMARCA1,SMARCA4,6,pp
HDAC3,SMARCD1,4,pp
NCOR1,SMARCE1,2,pp
BPTF,NCOR1,1,pp
BPTF,SMARCD2,1,pp
NCOR1,SMARCD1,2,pp
EHMT2,DNMT3B,1,pp
DNMT3B,EHMT2,5,pp
DNMT3A,EHMT2,3,pp
BRD2,BRD7,2,pp
BRD7,BRD2,4,pp
CBX5,EHMT2,5,pp
CBX5,RBBP7,5,pp
CBX5,TRIM24,5,pp
CBX1,TRIM24,1,pp
TET2,HDAC2,6,pp
TET2,RBBP7,6,pp
TET2,HDAC1,6,pp
TET2,SIN3A,6,pp
BOP1,BOP1,3,pp
KDM6B,WDR5,6,pp
KDM6B,ASH2L,6,pp
EHMT2,HDAC2,1,pp
HDAC2,MBD2,2,pp
HDAC2,EHMT2,2,pp
HDAC2,SIN3B,2,pp
CBX4,KDM3A,1,pp
CBX4,PARP1,1,pp
CBX6,BPTF,5,pp
CBX6,CHAF1B,5,pp
CBX6,DNMT1,5,pp
CBX6,ELP4,5,pp
CBX6,NCOR2,5,pp
CBX6,PCGF2,5,pp
CBX6,PCGF5,5,pp
CBX6,PCGF6,5,pp
CBX7,PCGF5,1,pp
CBX4,CBX4,1,pp
NAP1L2,NAP1L1,5,pp
NAP1L1,NAP1L2,4,pp
SMARCA5,SMARCA5,5,pp
PCGF5,PRMT6,5,pp
HDAC1,EHMT2,2,pp
