,,Experiment: 10 U panel 1,Analysis: Analysis 2,User: Admin,Plate: 14,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:13:05 AM,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean APC-A of Amet+,GeoMean APC-A of Amet+GFP+,GeoMean APC-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L+ as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,Count of live cells,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,Count of Region Set 1 UR
E07,Prmt6.2,E07,Sample,98.18256919,70.80521817,61.73913043,66.50144568,47.14349978,35.36231884,10327.03607,2008.589276,1257.989008,731.7051393,294.4678095,187.5639811,933.8462401,781.5890965,653.802786,40.10739364,39.81106613,41.73913043,1833.461384,1229.119286,1152.738553,1089.949165,382.5432632,320.753815,11183,7653,2421,2223,345,5544
E08,Prmt2.3,E08,Sample,98.37869137,73.85348422,70.63492063,50.95541401,39.54734961,37.03703704,9682.521015,2068.981605,1679.628395,243.9362482,157.4031408,183.8942296,932.8679606,1188.242298,776.6743405,43.02258251,44.25253127,39.41798942,1982.900696,1342.363848,988.8941849,1111.409799,402.6919279,198.3738995,12206,8047,1727,1679,756,5775
E09,Rnf20.3,E09,Sample,97.84263959,75.97725657,74.42273535,64.4035533,56.14783227,38.72113677,9822.259631,2457.748704,1836.337736,661.5984473,559.3411404,200.7679049,735.4807744,1124.657887,1124.285638,37.94416244,43.07036247,38.36589698,1708.322869,1599.394416,1378.017462,1304.846128,515.5807577,239.2547634,11222,7302,1576,1407,563,5259
E10,Rbbp7.3,E10,Sample,99.18819188,78.22311289,72.06477733,57.04797048,34.86973948,35.42510121,11010.46976,2133.29483,1767.604045,396.0625624,144.877537,196.6176767,896.3760243,1292.318545,1010.330307,33.13653137,32.73213093,37.24696356,1694.368906,992.9570929,1019.082443,1150.277799,343.0277958,260.3290621,10881,7052,1355,1497,494,5177
E11,Prmt7.3,E11,Sample,98.74664279,73.19502075,67.33067729,62.48880931,45.47717842,40.23904382,9345.315754,2128.535104,1574.749581,534.519599,272.9465271,227.6432802,950.2889634,1837.845978,858.946504,36.61593554,35.18672199,25.29880478,1821.021579,1423.412736,974.9138967,1453.864754,500.5553207,358.5063256,9911,6743,1117,1205,502,4913
F02,Prmt3.3,F02,Sample,98.7434555,75.58221595,76.67560322,71.44851658,58.71559633,37.80160858,10303.21291,2162.293127,2191.788312,1026.185998,650.2729592,242.9987789,809.7687648,959.8427751,880.1120756,34.2408377,39.52011291,41.01876676,1289.442103,1064.15845,1085.964066,874.6343577,296.3493589,173.2097121,13188,9636,2865,1417,373,6754
F03,Rnf40.3,F03,Sample,96.84579439,64.79007634,64.44043321,58.11915888,44.84732824,32.49097473,7612.199683,1184.809119,1316.328678,502.9429813,298.9981271,161.367331,608.6427271,799.2711915,855.9384022,41.82242991,38.26335878,38.44765343,1606.276412,1201.202428,932.9163679,1158.669395,379.8835047,295.03879,11008,7964,1712,1048,554,5664
F04,Rbbp5.4,F04,Sample,97.14652132,74.25320057,70.80103359,53.73517153,41.10953058,32.2997416,7779.677992,2191.148525,1833.719803,360.4970495,243.9458375,172.0907261,941.8220741,1642.499534,1097.825113,42.54568772,43.9544808,43.41085271,1587.230586,1232.635147,1151.216236,1031.397167,470.2660979,262.9392187,13137,8901,3119,1406,387,6540
F05,Prmt6.3,F05,Sample,98.3310153,69.39811458,67.4457429,65.43810848,45.25018129,35.22537563,9975.50864,2008.569903,1721.266561,687.8248661,264.9895504,173.6811301,929.9211734,1473.748045,1161.324977,45.68845619,50.18129079,46.41068447,1774.606189,1146.016143,1128.539813,1268.049192,303.0163616,269.054664,11238,7821,1438,1379,599,5624
F06,Prmt5.3,F06,Sample,98.58525689,70.05263158,67.65578635,69.32241251,49.68421053,38.27893175,10638.70347,1873.507999,1546.986657,877.1299033,407.9679601,192.3209001,1068.213551,1519.764683,813.9789539,45.49516009,44.05263158,42.13649852,1514.393269,1037.635861,1149.018546,1102.007013,374.8686267,305.3303463,12326,8323,2686,1900,337,6160
F07,Ring1.4,F07,Sample,97.8021978,69.00726392,69.32021467,56.8986569,40.79903148,35.15205725,9432.921448,1865.554561,1658.777168,394.4903835,229.1074949,159.190256,802.3969509,1990.662327,808.6420143,52.13675214,50.4842615,39.53488372,1819.465046,1434.560707,1096.148646,1114.279901,379.7763895,255.0295228,12202,8429,819,826,1118,6343
F08,Psip1.3,F08,Sample,98.74008399,77.89072427,67.65676568,45.87027531,33.1639136,37.62376238,12027.18901,2638.94044,1830.278878,203.3977881,117.8812966,250.3247588,1122.080511,1385.406946,903.786721,38.45076995,42.63024142,33.00330033,2149.583436,1243.137753,955.1198551,923.0192209,418.2757057,235.8930676,10220,7134,2143,1574,303,5503
F09,Prmt8.3,F09,Sample,99.04076739,80.76923077,78.38125666,56.83453237,42.12454212,39.61661342,11594.82503,2875.055259,2362.040321,440.0188998,268.5231478,234.2190067,810.2815285,1148.226849,955.7193816,42.20623501,47.8021978,36.9542066,1914.680089,1583.387305,1113.189984,947.6919393,605.6579082,261.2782165,10324,6807,417,546,939,5000
F10,Prmt5.4,F10,Sample,98.91657638,74.81751825,74.51523546,77.24810401,60.82725061,42.10526316,13707.13453,2412.59681,2004.537245,1312.102405,643.7944011,206.6834557,811.329049,917.6539266,1080.702941,27.51895991,28.83211679,25.34626039,2082.18534,1386.648539,1141.893846,1043.90156,319.8087645,254.3321189,10517,7150,923,822,722,5190
F11,Rnf20.4,F11,Sample,98.10366625,75.13227513,77.00453858,54.55120101,38.42592593,34.03933434,9112.65014,1963.379759,2049.437105,394.2876295,179.8674483,162.945836,604.7602882,957.1758084,944.0602413,35.90391909,35.11904762,34.64447806,1643.651694,1363.375887,1167.115141,941.6161033,405.0112424,331.9566433,11626,8108,1582,1512,661,5787
G02,Rbbp7.4,G02,Sample,99.13275517,74.08312958,67.44186047,63.24216144,44.98777506,35.31976744,11832.78405,2196.769452,1426.128691,584.846916,268.7702233,162.8647742,614.9516983,784.2169297,770.052792,35.95730487,42.62428688,40.26162791,1501.043821,795.6449502,1030.228437,851.7445684,316.0203435,263.673485,13678,9938,1499,1227,688,6586
G03,Prmt8.4,G03,Sample,98.93483709,73.42715232,71.22302158,53.88471178,37.00331126,34.17266187,10652.52922,2179.392585,1609.482701,306.912471,167.1744677,158.8321359,676.299049,955.7380706,545.3433634,38.4085213,39.98344371,30.21582734,1945.758834,1122.667286,876.287485,1071.129087,414.7423883,347.8384376,10573,7069,1596,1208,278,5015
G04,Prmt2.4,G04,Sample,99.20098341,68.83171658,63.06818182,38.19913952,23.15478701,40.90909091,14649.60408,1881.638727,1403.081485,147.602083,78.99170987,247.3506932,437.8102799,669.5771653,636.8051358,21.88076214,27.24588781,42.04545455,998.261009,392.4364267,907.6623514,623.261521,257.4364798,243.3628922,13589,9725,3254,2371,176,6408
G05,Rnf40.4,G05,Sample,98.54906453,73.63145721,75,39.28980527,26.6769468,38.19444444,11481.34197,1789.53904,2162.100546,191.189177,109.6048496,201.3310724,574.0799417,966.7241018,801.1423092,22.22222222,27.91056284,34.72222222,1711.702285,1252.278895,1228.850431,675.4117163,407.4944896,289.4910637,13781,9761,2619,1297,576,7061
G06,Rnf217.4,G06,Sample,98.98167006,76.3117284,75.80645161,55.532926,39.58333333,34.86352357,10256.91121,2424.307311,2100.360603,379.9864558,198.4792348,178.1043641,853.1656676,1582.317818,955.660169,40.80108622,42.82407407,35.23573201,1862.972071,1429.225445,1106.5517,1099.915247,427.261395,236.2033157,13002,8586,1473,1296,806,6281
G07,Prmt6.4,G07,Sample,98.69240349,73.41085271,74.46300716,57.84557908,42.24806202,31.50357995,9693.209417,2049.162512,1891.930074,453.4112691,244.856945,179.2187374,707.4760855,698.1664251,1172.644939,29.5765878,37.13178295,35.68019093,1851.2651,1248.846998,991.9525382,1068.737348,446.5638797,292.3101568,13714,8968,1606,1290,838,6466
G08,Prmt3.4,G08,Sample,98.88080582,70.0628053,68.34415584,64.46558478,44.45219819,43.34415584,10696.47813,1659.583951,1660.972036,559.2578865,228.2704588,242.2787812,755.8417193,1151.122083,712.1738896,43.42473419,46.33635729,38.63636364,1748.41007,1283.866958,962.3446751,1248.601237,387.1548811,323.6317409,11579,7846,1787,1433,616,5935
G09,Rbbp4.4,G09,Sample,50,22.22222222,79.62835513,20,16.66666667,39.229181,489.0557733,128.5180163,2543.106047,81.27130981,74.6623109,176.0077765,53.16314836,320.2061842,1038.853277,50,55.55555556,38.26565726,629.2562272,522.7155266,1163.638315,155.488192,252.6631406,316.3223035,11292,7414,10,18,1453,5560
G10,Prmt7.4,G10,Sample,98.11594203,69.611891,66.62857143,62.31884058,46.82080925,41.48571429,7672.986297,1780.436634,1628.471754,527.8265195,261.236757,237.2064019,940.3122355,1482.161968,1137.534929,32.97101449,36.82906689,32.68571429,1661.517152,1286.474167,993.4115566,1110.139406,304.4451741,244.3437317,13043,8903,1380,1211,875,6321
G11,Psip1.4,G11,Sample,98.81320949,75,73.22695035,65.58307534,49.64200477,43.79432624,9502.933576,2227.051773,1827.878523,705.4784944,332.072735,261.6464824,627.2093631,1194.369496,653.6795506,28.94736842,38.54415274,32.62411348,1826.461128,1371.786296,875.4502482,794.5705188,315.2908627,269.6122105,11895,8328,1938,1676,564,5638
