NA,NA,Experiment: 100U p1_1,Analysis: Analysis 1,User: Admin,Plate: 2,Plate Type: 96 Well,Plate Order: Row,Export Date: 12/21/2015,Export Time: 5:15:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
,,F03,Sample,7265,1324,1410,1026,4566.259562,2861.966753,3068.596356,2282.282636,6934.448236,6024.340945,1872.190063,15.63444109,31.06382979,31.18908382,20.78482104,95.44701693,21.62840835,23.59238622,102.2732783,13.51963746,3.120567376,1.949317739,14.10090556,0.755287009,0.283687943,0.194931774,0.862440707,43.04899458,63.77805866,61.27480698,36.37866159
,,F04,Sample,7362,32,53,2483,4371.634126,2715.803182,2866.947267,1363.116533,9116.443005,6268.48589,1783.548153,9.375,28.30188679,31.09142167,16.89049587,110.7833438,26.58552895,20.43064559,80.12687665,21.875,3.773584906,1.812323802,10.58884298,0,0,0.402738623,0.852272727,39.63711935,94.06919511,67.39952146,38.55138218
,,F05,Sample,8213,549,673,2211,4639.938531,3096.640999,3161.128053,2046.944436,7511.214092,7461.532241,2101.046017,20.03642987,32.98662704,33.15241972,20.93313373,100.6740756,30.53726908,21.64011856,84.10452405,14.02550091,3.714710253,1.492537313,12.2754491,1.821493625,1.040118871,0.271370421,0.873253493,47.89641678,76.1317774,65.53296539,41.01420717
,,F06,Sample,5143,682,1002,994,4263.249623,3135.975051,3237.57484,1311.5311,7997.004871,7525.984858,1609.557942,13.19648094,29.14171657,34.60764588,19.44745395,111.2392035,28.42569986,24.84514266,100.6412089,17.88856305,4.590818363,1.710261569,16.41386782,2.785923754,0.898203593,0.402414487,1.19176598,51.55040671,90.54492067,76.5134633,40.82581396
,,F07,Sample,7640,2156,1708,807,3565.928048,1995.660033,2935.443239,1175.272292,5403.164768,6029.251871,1689.754377,12.61595547,25.17564403,31.97026022,20.66077245,55.21708942,20.7460114,18.21392427,78.01703653,8.858998145,1.990632319,1.610904585,10.65611913,0.60296846,0.351288056,0.123915737,0.744532341,30.78267717,49.88416644,51.28864441,33.61429827
,,F08,Sample,9013,1448,1845,1563,3870.13912,2675.2553,2773.799621,1802.096564,5074.908057,5641.766494,1537.685742,20.5801105,35.17615176,36.91618682,22.70471464,89.03330266,23.90916749,22.43123638,97.26528597,12.22375691,2.384823848,0.831733845,12.77915633,0.759668508,0.27100271,0.255918106,0.651364764,33.97671665,48.98249821,50.98516164,32.01285861
,,F09,Sample,10832,1113,1168,2432,4263.461621,3018.744176,2869.340693,2187.033731,6838.988247,6090.0038,1667.793684,22.55166217,32.70547945,36.30756579,23.32730561,36.94615063,16.15548519,17.2027633,48.73128772,6.558849955,2.311643836,0.986842105,7.253365481,0.628930818,0.342465753,0.164473684,0.482218204,35.34812928,69.09552312,59.09570848,35.45030947
,,F10,Sample,9797,1499,1257,1689,4750.054813,2890.984801,2849.02469,1814.043064,6712.523594,6090.439314,1710.475313,16.87791861,24.10501193,29.18886915,21.04912203,66.72026823,17.69947714,17.59910695,62.55112887,12.47498332,2.863961814,1.420959147,9.468770838,1.134089393,0.397772474,0.651272943,1.089130918,40.6587661,70.40446518,55.2475222,35.98656507
,,F11,Sample,13321,1888,1906,2088,4787.333238,2785.163486,2880.197715,1491.489166,4537.859924,6457.312586,1719.519054,25.37076271,35.99160546,37.7394636,27.45724788,34.29489837,14.61043865,16.44800763,51.33000987,6.091101695,1.259181532,0.431034483,8.502477226,0.264830508,0.314795383,0.239463602,0.447498801,38.94785873,53.43345476,57.59160829,36.00541243
,,G02,Sample,5391,169,222,1025,1601.744031,1402.601432,3189.138912,1488.33458,2547.43661,6895.79686,2198.012254,23.66863905,40.54054054,31.12195122,18.17014446,161.0707644,29.90940746,31.37362232,138.7786767,21.89349112,9.009009009,1.658536585,16.3081862,4.733727811,8.558558559,0.292682927,1.252006421,36.10680503,56.26103317,63.84669801,42.17999284
,,G03,Sample,7196,1717,1788,690,4871.166966,3396.766902,3237.803862,2043.526714,5926.313937,8075.083795,2398.698467,17.06464764,33.83668904,31.73913043,20.17232641,100.8999855,22.3121666,21.83592185,120.1225595,13.51193943,3.41163311,0.724637681,14.24227065,0.757134537,0.447427293,0.289855072,0.91231627,39.79289948,69.52291519,64.17038646,38.34821893
,,G04,Sample,7321,894,1128,1341,4327.167875,2665.842431,2953.645757,1821.586784,8921.458702,7068.829309,1949.409886,18.90380313,26.41843972,30.57419836,20.84148728,76.44919385,21.32170322,22.04982595,108.6332846,12.63982103,3.191489362,1.043997017,16.34050881,2.013422819,1.063829787,0.149142431,1.076320939,37.49711653,65.03831152,61.75828693,39.60327719
,,G05,Sample,6169,1122,1190,886,4683.57756,2849.57742,3083.683329,2507.677338,8274.05842,7540.509315,2089.866413,17.37967914,30,31.6027088,20.9765625,95.83846602,22.23606187,22.04686125,97.88331721,13.99286988,3.193277311,1.015801354,13.6328125,0.713012478,0.504201681,0.451467269,0.8984375,44.13273857,68.21289747,56.35186041,38.04002963
,,G06,Sample,7249,365,442,1875,4257.47506,2898.566941,3300.311959,2342.373685,7731.929915,7901.844987,2192.706363,12.60273973,27.60180995,29.70666667,19.60426972,70.00188745,27.98928459,31.38209208,90.58078114,8.219178082,2.262443439,1.386666667,12.52278053,0.821917808,0.678733032,0.426666667,0.702941942,43.579008,75.93165186,69.12268159,39.43908685
,,G07,Sample,10026,1222,1419,1812,4849.35737,2653.963162,3358.745078,2196.239061,7242.279908,7312.392395,1936.768613,20.04909984,34.24947146,33.22295806,21.46000518,83.13586028,20.34288588,21.16553961,85.02267166,13.09328969,2.889358703,1.158940397,13.07274139,0.900163666,0.704721635,0.386313466,0.957804815,54.87519606,79.87132767,60.99736477,39.04574872
,,G08,Sample,4534,750,606,801,4954.229381,3214.626164,3193.294446,2255.607091,8898.393602,7273.236625,1919.672067,18.66666667,33.82838284,35.83021223,23.95833333,52.87091652,18.44305053,20.45282142,70.43254077,9.6,1.650165017,0.74906367,11.04166667,0.133333333,0,0.124843945,1.09375,37.37497649,64.30083558,64.37502492,39.6723928
,,G09,Sample,9134,1524,1456,1366,2881.964889,1449.753169,3101.645828,1912.013379,6263.655951,7460.997262,1871.233531,18.04461942,31.38736264,33.1625183,23.35747543,69.54886212,20.26714411,18.09574959,55.08822616,11.48293963,2.884615385,1.171303075,9.855147439,0.984251969,0.549450549,0.439238653,0.724262804,37.78776482,54.92044033,61.98279737,40.73410506
,,G10,Sample,9155,470,507,2140,4867.323964,2699.870667,2899.560192,1807.72089,6945.81004,7177.423184,1835.85547,26.80851064,33.92504931,31.58878505,21.48251192,37.51405185,16.23921528,17.08162363,48.20232448,7.446808511,1.57790927,0.841121495,7.511923688,0.638297872,0.394477318,0.280373832,0.49682035,43.51101918,74.79196327,60.64140758,37.20887375
,,G11,Sample,11378,470,446,2776,5139.18376,2992.086413,2801.423124,2034.879448,7744.193999,7043.462723,1999.127528,13.61702128,20.85201794,23.81123919,16.06069712,27.53324741,22.34367366,17.62203058,51.11715147,5.531914894,3.139013453,0.720461095,8.458533654,0.425531915,0.224215247,0.504322767,0.931490385,41.43778041,74.41324129,60.86499568,39.05648878
