NA,,Experiment: 100U p1_1,Analysis: Analysis 1,User: Admin,Plate: control,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:23:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,GeoMean PerCP-Cy5-5-A of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean PE-Cy7-A of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,GeoMean PE-A of untransduced
,Sp140.3,F08,Sample,18364,3663,4309,2455,2431.559093,1433.720805,1812.704097,2451.336398,6593.323869,6313.597794,2079.600799,27.76412776,40.17173358,39.67413442,26.81505826,193.6657692,23.06086669,22.63634317,168.5474285,20.74802075,2.1118589,1.181262729,18.44935763,1.283101283,0.324901369,0.407331976,1.224977592,35.12377777,32.37440209,40.69167561,38.0744573
,Sp140.4,F09,Sample,18019,2144,3369,3470,2541.772392,1727.852616,1863.406399,1040.066366,4007.319151,6258.41103,1979.349982,26.5391791,37.07331552,36.02305476,24.90108151,219.2307228,26.69851319,23.25807523,162.6293256,24.81343284,3.502523004,2.017291066,18.02954366,2.891791045,0.801424755,0.403458213,1.398048008,44.07363328,47.35255838,41.99578859,37.27972305
,empty,F10,Sample,19455,2,7,5631,5438.221537,500.0626253,1744.165028,2159.986445,4559.579787,6238.367706,2354.234017,50,42.85714286,34.00816906,24.19978606,2.962409708,37.55035311,23.26791436,151.3573314,0,0,2.575031078,17.78161771,0,0,0.42621204,0.970953674,48.12821921,43.38076612,41.2726099,37.4353364
,empty,F11,Sample,22455,1,4,11735,675.866394,1508.405591,2691.732616,1297.922729,2857.095783,2657.918574,2481.013118,100,50,21.58500213,22.53202713,15.89254761,105.6766673,173.9787617,235.0778881,0,0,18.76438006,23.00929415,0,0,0.945888368,1.419241397,1,70.1969236,40.5074823,37.56759955
,Smarce1.1,G02,Sample,25677,4177,4432,4071,2461.752703,1295.884528,1552.535992,2238.935859,6740.720947,6639.82134,2167.656628,27.53172133,44.47202166,46.37681159,33.00330033,79.28750868,23.25297535,22.09181114,117.7427361,10.84510414,2.910649819,1.694915254,14.65734809,0.670337563,0.631768953,0.343895849,0.883323626,39.62489412,46.33291997,43.08699828,41.19989413
,Smarce1.2,G03,Sample,19679,2548,3421,3290,1858.349977,824.8954647,1487.75456,3057.160399,5791.938014,6831.192371,2321.391046,22.21350078,39.1990646,46.68693009,32.43210622,281.6460664,29.74240621,26.62900394,118.5179726,30.45525903,2.776965799,1.580547112,14.02534701,2.825745683,0.964630225,0.425531915,1.074230537,130.7057855,125.8012153,46.31690396,43.04804203
,Smarce1.3,G04,Sample,21834,2684,4176,3664,1603.505763,682.8998424,1288.213172,3262.024902,6019.024969,6974.654627,2497.372991,24.55290611,43.60632184,45.52401747,34.18243315,280.562554,20.47424421,20.87136301,116.1875307,32.86140089,2.538314176,0.873362445,14.55448684,2.719821162,0.574712644,0.354803493,0.708170384,128.5845863,114.2094097,43.28722566,42.4254197
,Smarce1.4,G05,Sample,21317,2974,4639,3295,2427.393091,1017.635694,1524.544178,2385.317547,4879.182789,7092.921366,2280.197675,24.6805649,38.8230222,44.24886191,33.64934901,312.1311581,29.93574527,27.43589743,187.1054747,32.64963013,3.255011856,1.729893778,19.95954999,1.176866174,0.344901919,0.364188164,1.074453293,98.86909626,65.53208586,42.9977828,44.47144128
,Wdr82.1,G06,Sample,17059,1690,1499,3385,1169.871019,856.0694651,1787.157683,1196.365953,3118.596117,5937.659199,1988.077526,11.12426036,25.81721147,40.64992614,30.71988596,109.7349977,30.21750566,23.99931276,148.1243892,4.437869822,2.535023349,1.29985229,17.64076978,1.360946746,0.667111408,0.35450517,0.962223806,39.06294243,55.77834207,41.0658976,39.04484355
,Wdr82.2,G07,Sample,16326,3017,2093,2139,1115.325795,848.5777931,1752.163754,1258.197322,2371.880071,5137.083642,2061.134696,8.617832284,23.93693263,40.15895278,29.37765752,136.1683393,24.80265817,21.50983888,178.0684964,6.032482599,1.815575729,1.355773726,19.71395439,1.491547895,0.71667463,0.280504909,0.785981188,38.8914895,42.16197473,30.77650692,36.23287915
,Wdr82.3,G08,Sample,17801,1655,1589,3447,1703.195469,1439.409992,1789.118282,1110.751833,5085.44544,5917.848848,2030.62389,15.95166163,33.79483952,38.99042646,29.55136174,123.3183873,29.24784649,24.04824632,173.7306583,9.546827795,3.083700441,1.624601102,19.61803594,1.450151057,0.692259283,0.319118074,1.039665499,39.7008693,54.61526137,37.87780123,36.44567102
,Wdr82.4,G09,Sample,14844,1681,1621,2223,1288.548282,1008.058878,1610.018002,1396.808348,1767.782934,4816.211633,2094.953509,11.89767995,23.13386798,34.59289249,24.00344488,155.2439664,24.65579478,26.29765227,207.3254135,10.88637716,2.776064158,1.979307242,21.13681102,3.271861987,0.493522517,0.359874044,0.92273622,44.6040123,40.94166074,36.91595659,39.96180944
,empty,G10,Sample,22492,3,6,5852,1943.429441,1402.012134,1654.970114,1354.724735,5143.723005,6525.394273,2412.691764,0,16.66666667,37.62816131,25.73469388,58.23101948,35.64771897,21.27531416,148.3248615,0,0,2.529049897,18.12244898,33.33333333,0,0.393028025,0.884353741,50.73447675,112.7344937,35.79481489,33.94790637
,empty,G11,Sample,25244,1,1,12518,2833.043213,2590.853271,2611.311109,16198.33301,4897.955078,2423.04081,2188.714573,0,100,22.22399744,22.85528596,44.09969711,3958.478271,142.2398283,201.1156609,0,100,17.07940566,20.52642981,0,0,1.014539064,0.866551127,134.7329559,186.1967163,35.83969246,33.5619757
