"Experiment: Panel 2 100U 3-24-15","Analysis: panel2","User: Admin","Plate: Plate 0005","Plate Type: 96 Well","Plate Order: Row","Export Date: 7/10/2015","Export Time: 6:31:09 PM"
"Well ID","Well Type","Count of live cells","Count of Amet+","Count of Amet+GFP+","Count of GFP+","GeoMean BV605-A - PD-1 of Amet+","GeoMean BV605-A - PD-1 of Amet+GFP+","GeoMean BV605-A - PD-1 of GFP+","GeoMean PerCP-Cy5-5-A - Lag3 of Amet+","GeoMean PerCP-Cy5-5-A - Lag3 of Amet+GFP+","GeoMean PerCP-Cy5-5-A - Lag3 of GFP+","Amet+Tim3+ as % of Amet+","Amet+GFP+Tim3+ as % of Amet+GFP+","GFP+ as % of GFP+Tim3+","GFP+Tim3+ as % of GFP+","GeoMean PE-A - Tim3 of Amet+","GeoMean PE-A - Tim3 of Amet+GFP+","GeoMean PE-A - Tim3 of GFP+"
"D06","Sample",22450,2300,2007,2740,364.850034271715,1416.59501128266,1511.66407708322,2359.66224463492,3764.71928451576,4183.33836358597,59.7826086956522,87.6930742401594,112.664473684211,88.7591240875912,331.125395642996,1273.03044347143,1303.31781682796
"D07","Sample",25609,1581,1602,4518,503.507546980986,2032.33642158487,1519.14962346129,2742.21398076662,4208.03920307021,4334.78159563646,61.7330803289058,90.3245942571785,113.063063063063,88.4462151394422,366.001231393066,1574.606711858,1263.22640664535
"D08","Sample",26484,1405,1349,4688,446.450179111909,1658.57711353208,1454.33488200987,2950.18732337655,3909.31376248689,3950.34776632602,61.2099644128114,89.3995552260934,113.018322082932,88.481228668942,393.576018119464,1450.41064589644,1283.33785084524
"D09","Sample",23300,2604,2683,2569,307.967321660296,1295.25315781021,1260.69464811864,1831.11310889795,2818.44998603558,2960.84550401315,41.1674347158218,84.718598583675,114.585191793042,87.2713117944726,159.332835052333,1045.53859846392,1175.6024796884
"D10","Sample",30313,3071,2147,4178,383.759829544899,1308.05321642851,1342.62573558336,1766.15683707204,3089.90969353659,3926.73649617825,65.613806577662,91.8490917559385,111.562082777036,89.6361895643849,419.193070202075,1829.3207989797,1490.48018018161
"D11","Sample",33067,5483,4092,3419,317.62073033725,1171.18436488835,1143.4887309292,2167.1830469199,3353.90866757497,3347.28580013657,62.6299471092468,89.3450635386119,115.079097946819,86.8967534366774,385.247960306833,1428.06869796428,1213.08183147505
"E02","Sample",30254,2053,1616,4457,294.00085336468,1145.26540591103,1405.19217157426,3090.45673751237,4442.65647508904,3801.90442775883,33.6580613735996,77.5990099009901,111.788312014046,89.4547902176352,109.117087961266,696.999068240048,1420.10104076482
"E03","Sample",28086,238,213,6423,321.631351322981,1697.90214936344,1562.53028745046,2756.05187446902,3671.84921227665,3500.00555530194,61.344537815126,95.7746478873239,111.182274536957,89.9423945196948,400.496027336535,1729.58232267237,1339.48515295911
"E04","Sample",26905,1164,1444,5106,470.264333559117,1350.00549080102,1722.2075939124,3540.50800074528,3767.58873713012,4025.51406325843,58.2474226804124,87.4653739612188,112.640635340834,88.7779083431257,323.005077759751,1332.74975526705,1332.31729398311
"E05","Sample",22639,922,895,4583,503.89732064432,1904.00461630886,1445.61791847646,2872.34200756612,3231.13220880776,3712.09542982213,60.1952277657267,89.0502793296089,115.995950392306,86.2099061749945,327.80534410026,1356.96806787288,1082.94325484459
"E06","Sample",27898,5180,4746,2426,327.372478836544,1718.58595015245,1594.95189762025,3471.22183718567,4805.84974228193,4563.16890587688,53.3204633204633,85.1875263379688,116.076555023923,86.1500412201154,249.209635722779,1138.9422542523,1092.34286943306
"E07","Sample",26587,1958,2099,4404,319.425045281102,1360.69354512992,1504.81404079625,2497.27961289749,3546.44005242915,3621.82529472986,55.7711950970378,85.5645545497856,113.827862496769,87.8519527702089,268.663576799085,1149.32787874002,1191.82417126487
"E08","Sample",28771,2620,2413,4580,559.137899395619,2091.79871839873,1551.28309510084,3078.62908970756,3917.56064940616,4467.6845000111,68.0916030534351,92.9962702030667,112.475442043222,88.9082969432314,535.589043531782,2027.22438176429,1369.78406892447
"E09","Sample",28520,3443,3243,3908,382.067547709668,1382.16788946821,1283.57144086394,2235.30836034386,3511.23526449276,4296.81741487337,61.9227417949463,90.5334566759174,115.280235988201,86.7451381780962,355.06033409792,1756.95159634849,1198.77936259
"E10","Sample",31393,2103,2295,5441,355.011151201894,1201.87510351759,1063.00697288928,1982.02709553109,2824.26093010386,3512.51114241382,69.0917736566809,90.6753812636166,115.129073212019,86.8590332659438,486.719234619385,1486.4246957371,1185.4409047389
"E11","Sample",34838,4604,3420,3697,240.190501985057,923.944843327607,946.306692103728,2235.14100584155,3579.04972177153,3560.3966325962,62.4674196350999,88.4502923976608,115.603502188868,86.5025696510684,383.58998492491,1347.90650538802,1200.2122118278
"F02","Sample",31825,591,590,5919,527.619559307078,1471.58408958191,1402.27311927379,2433.61540677877,3055.40712909404,3240.38912295985,63.9593908629442,92.0338983050847,111.573986804901,89.6266261192769,371.077781891556,1510.87816345928,1319.29173793656
"F03","Sample",30520,1889,1834,5013,612.385376668864,1841.31841673844,1724.06211182372,3159.40023317251,4085.77633205854,4020.14392107351,64.6373742721016,90.5125408942203,110.515873015873,90.4847396768402,397.059556903535,1491.08305797047,1484.7630873519
