shRNA,count,adjPctg,nbPctg
Smarcd3.2,3432,4.011615383202446,73.94045414291219
Smarcd3.3,5570,6.510692798495811,76.29285780099721
Smarcd3.4,1914,2.2372470406321336,71.19229784619532
Smarce1.1,2160,2.524792898519022,71.75332141241913
Smarce1.2,6178,7.221375244004869,76.80458423552962
Smarce1.3,13581,15.87463534943835,80.78642099632448
Smarce1.4,5770,6.744469918729054,76.46677806058078
Smyd1.1,5190,6.0665162700526505,75.94551786815929
Smyd1.2,2006,2.3447845159394247,71.40963149678547
Smyd1.3,24219,28.30924037464453,83.79769797797691
Smyd2.1,3702,4.327214495517324,74.30398187261812
Smyd2.2,6571,7.680747285263191,77.11059236374913
Smyd2.3,628,0.7340601575323823,66.21703631009903
Smyd2.4,276,0.322612425921875,62.7670310978515
Smyd3.1,986,1.152521202749887,68.18885403550884
Smyd3.2,557,0.6510692798495811,65.7021323981882
Smyd3.3,1,0.001168885601166214,43.52760027023404
Smyd3.4,2817,3.2927507384852244,73.00021137296908
Smyd4.1,105306,123.0906671164093,91.48654435059527
Smyd4.2,36426,42.5778269080805,85.94962743882043
Smyd4.3,3954,4.621773667011209,74.62142531652145
Smyd4.4,14647,17.120667400281533,81.17617732208706
Smyd5.1,13817,16.150492351313574,80.87517469252576
Smyd5.2,275,0.3214435403207088,62.75219983241036
Smyd5.3,7586,8.867166170446898,77.82725969656578
Smyd5.4,2068,2.4172554232117305,71.5508820492842
Sp100.1,427325,499.49403951835234,97.53243481134992
Sp100.2,6782,7.927382147109263,77.26781551049827
Sp100.3,5074,5.930925540317369,75.8346963158595
Sp100.4,5069,5.925081112311538,75.82986633204247
Sp110.1,23418,27.372963008110396,83.62110646811965
Sp110.2,1760,2.0572386580525364,70.80555223156982
Sp110.3,3010,3.518345659510304,73.3144996015338
Sp110.4,4111,4.805288706394305,74.80970050917722
Sp140.1,139971,163.61008648083612,92.89573074442391
Sp140.2,2398,2.802987671596581,72.24169135127497
Sp140.3,23026,26.914759852453237,83.53252798771685
Sp140.4,1469,1.7170929481131683,69.97910052335709
Ssrp1.1,2317,2.7083079379021173,72.0808006165305
Ssrp1.2,3692,4.315525639505662,74.29096933513544
Ssrp1.3,1023,1.1957699699930369,68.3523864273246
Ssrp1.4,5084,5.942614396329032,75.84434365340132
Supt16h.1,5386,6.2956178478812275,76.12756221528421
Supt16h.2,1456,1.7018974352980072,69.93869491040292
Supt16h.3,759,0.8871841712851565,67.03825985648612
Supt16h.4,108047,126.29458254920591,91.61596883473554
Suv39h1.1,5359,6.26405793664974,76.10285951502436
Suv39h1.2,44865,52.44205249632218,87.0507820338282
Suv39h1.3,6060,7.083446743067256,76.70910573287092
Suv39h1.4,26055,30.455314338385705,84.18186202283361
Suv39h2.1,33954,39.68834170199763,85.57830208988916
Suv39h2.2,14936,17.45847533901857,81.27715487363261
Suv39h2.3,34269,40.056540666364974,85.62708560096463
Suv39h2.4,4788,5.596624258383831,75.55090863837425
Suv420h1.1,413,0.4827497532816463,64.4355371240859
Suv420h1.2,18409,21.518015031868835,82.36236116843676
Suv420h1.3,6421,7.50541444508826,76.99589078678694
