NA,NA,Experiment: 10 U p1,Analysis: Analysis 3,User: Admin,Plate: 15,Plate Type: 96 Well,Plate Order: Row,Export Date: 6/2/2015,Export Time: 2:02:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,Amet+CD103+ as % of Amet+
,,F07,Sample,386,1881,1868,6309,173.4618088,393.4904058,92.30422109,56.62820547,572.4036624,663.9647866,1167.336596,902.9688704,36.52849741,39.34689507,43.06220096,46.89655172,43.52331606,104.2682927,52.94432548,95.90643275,34.45595855,108.6400799,147.4182078,531.3102919,80.53707197,141.2630944,760.4606193,356.115192,590.2376976,5425.57521,40.8993576,60.92503987
,,F08,Sample,1240,365,346,6481,1637.95667,2263.613028,646.8360649,232.8446466,828.4452561,760.287265,1888.38411,1464.634049,33.70967742,43.06358382,35.61643836,30.04235045,35.24193548,109.2814371,44.79768786,91.50684932,20.48387097,35.2339245,67.68881452,283.175591,72.87447237,101.9658768,267.0841651,249.872847,354.1688365,4790.618505,31.50289017,47.67123288
,,F09,Sample,280,3546,2832,8678,123.5259417,783.8160507,95.39399495,60.12709899,554.3319613,441.7350093,1049.433806,839.3144799,43.57142857,32.09745763,39.62210942,43.21295143,45,106.2312762,48.69350282,94.13423576,47.85714286,254.0211645,96.56096472,532.5183992,147.8092713,149.4486511,759.3946995,415.0554785,543.5706034,5887.1961,34.3220339,60.18048505
,,F10,Sample,530,3853,2755,9964,357.8905454,1293.553846,184.0297715,94.13987339,633.0083586,1066.511343,1927.649294,1179.111986,35.09433962,45.48094374,41.11082274,41.76362523,41.32075472,102.9938519,51.47005445,97.09317415,23.58490566,82.1890335,94.75105974,277.4252001,73.25389838,148.4534823,689.151879,317.3912856,740.4539639,7259.784688,31.2522686,44.84817026
,,F11,Sample,4130,11,15,13327,275.8468303,240.0105836,64.43813828,88.12026356,714.2102915,933.5992978,824.2637801,1182.168818,40.89588378,53.33333333,63.63636364,41.96292534,50.26634383,122.2222222,60,81.81818182,38.28087167,140.6484794,377.9767647,1312.878924,106.713014,338.6686938,1565.657481,507.2587243,809.3523869,2565.725193,53.33333333,72.72727273
,,G02,Sample,487,2795,2462,8668,245.355621,617.117838,221.0448147,105.6117491,516.9852554,815.4543825,1369.24286,1057.375786,39.63039014,39.48009748,41.75313059,43.66485014,41.47843943,103.749072,57.02680747,96.38640429,35.93429158,118.536586,140.7671813,285.3737607,98.52272857,164.0338563,728.5088282,326.7145535,792.7755673,5740.879828,38.70836718,46.2254025
,,G03,Sample,219,3192,1816,7229,67.82185715,688.7566991,88.16154557,48.30349101,766.6151561,453.7943477,1066.185571,922.6100386,40.63926941,36.94933921,38.90977444,44.90384615,52.51141553,107.0422535,52.75330396,93.42105263,51.59817352,318.175385,106.4281619,431.2267138,142.6621678,172.7300111,759.7431194,664.830598,778.5886362,5432.931217,36.83920705,55.67042607
,,G04,Sample,194,2203,1964,6051,166.8912477,873.0972246,260.0452235,73.10205896,503.6999376,788.6511817,1334.53052,938.6579149,40.72164948,38.69653768,43.16840672,43.18885449,47.42268041,105.6088207,55.65173116,94.68906037,37.11340206,127.7277468,125.9897934,478.79916,126.9811731,180.114291,796.2208502,432.9961414,705.6208678,4945.157202,36.91446029,58.19337267
,,G05,Sample,1393,1579,1946,9435,198.2853972,563.9444989,160.6663415,71.30265196,656.541156,713.5055612,1063.374979,1019.523042,41.99569275,52.004111,48.95503483,49.6013289,46.59009332,106.2584118,53.08324769,94.11019633,39.62670495,148.0569718,134.6045892,388.3342207,108.4160594,163.1538016,804.8542902,445.0536778,600.8056824,4688.923491,39.92805755,53.89487017
,,G06,Sample,912,932,865,5878,252.4798175,509.7286506,176.936079,108.1567677,589.342867,632.6377929,1000.116981,1030.221132,34.97807018,37.34104046,39.05579399,39.37558248,43.96929825,109.5182139,51.67630058,91.30901288,36.62280702,109.3853101,143.7500457,287.660682,75.94719802,193.3704451,963.2865716,377.0640304,481.4990416,3774.050465,39.88439306,49.35622318
,,G07,Sample,508,2080,1362,7070,150.0462115,310.8929623,79.30858268,70.72190787,589.1444637,849.9798919,1010.15371,920.1214473,45.07874016,46.989721,49.23076923,47.01240135,48.03149606,104.6804227,59.61820852,95.52884615,36.81102362,115.8706212,175.6698952,362.4330909,111.1191509,256.9822864,1051.521433,435.924654,831.3936199,4848.153777,42.65785609,53.84615385
,,G08,Sample,4735,15,26,14553,323.7662321,1294.470547,283.6196889,77.6205182,761.5050099,1642.490756,1034.268056,1258.254443,43.97043295,76.92307692,40,47.92721138,49.7782471,107.1428571,69.23076923,93.33333333,37.9936642,128.3342336,449.8697136,393.0190246,108.080672,639.1298499,743.673006,459.7987397,1891.801325,4365.407931,65.38461538,60
