plate_well,shRNA,GeoMean
11_G08,Ncoa1.4,2633.219131
4_G05,Dot1l.4,1903.929599
20_B09,Iws1.1,1660.053979
16_G11,Smarca4.4,1261.115132
1_B11,Atr.1,1907.317572
21_F05,Smarcd2.1,1267.538435
8_D02,Jmjd6.2,2649.55657
16_F08,Smarca4.3,1279.709771
11_G06,Pbrm1.4,2654.839475
3_B06,Carm1.1,1915.435015
5_B11,Ezh2.1,1916.459939
2_B09,Bop1.1,1916.883213
8_D09,Kdm1a.2,2660.237755
11_G10,Ncor2.4,2660.985026
8_G07,Kat5.4,2664.19153
3_B08,Chaf1b.1,1922.747013
7_C09,Jmjd1c.1,1924.753751
10_D02,Mll2.2,2676.277177
8_C07,Kdm3a.2,2689.321536
control3_F03,Runx3.2,1327.335015
5_C09,Fbxl19.1,1939.339172
7_D08,Ino80.2,1940.985242
19_C11,Zmynd8.1,2197.953709
control2_E11,shCd4.4+pMig,2703.412386
10_B11,Myst3.1,2704.531255
3_G11,Cbx6.4,1944.883707
3_C11,Cbx5.1,1945.846462
11_D10,Nap1l2.3,2709.004205
8_G06,Kdm4d.4,2710.084978
control1_D03,Ncor1.2,1949.216482
1_F05,Ash1l.3,1950.672561
11_G05,Pcgf1.4,2714.869122
2_C10,Brd2.2,1953.557142
8_E07,Kat5.2,2719.767392
14_B06,Prmt3.1,2720.237577
9_E02,L3mbtl2.2,2727.28127
2_B06,Baz2a.1,1959.727209
11_F11,Paxip1.4,2732.760186
2_D10,Baz1a.3,1962.334744
2_F02,Baz2a.3,1962.350224
11_E06,Padi4.3,2737.286063
6_B06,Gadd45a.1,1965.260049
10_B07,Nap1l1.1,2742.497902
20_B04,Paf1.1,1778.115583
6_C08,Gadd45a.2,1970.395902
8_B08,Kdm4a.1,2758.389755
5_D03,Fbxl19.2,1976.843745
13_E10,Prdm8.3,2763.050098
8_B10,Jmjd6.1,2764.423662
1_G10,Ash2l.4,1981.288428
5_E10,Ercc5.3,1982.027096
control2_F08,Sp140.3,2774.839234
11_C10,Padi1.2,2780.836733
12_F11,Polr2b.4,2782.690414
14_D10,Prmt1.3,2784.553182
9_G06,Mecom.4,2786.054487
8_B04,Kdm3a.1,2787.583429
3_F03,Chd2.3,1993.751236
11_C07,Padi4.2,2788.173136
8_C11,Kdm1b.1,2790.100734
20_E07,Hdac5.1,1830.074478
1_F08,Asxl2.3,1997.665566
20_B03,Padi2.1,1831.38168
19_F04,Brdt.2,2289.823122
3_B05,Cbx6.1,2002.283418
14_C03,Prmt5.1,2802.533281
6_G11,Hat1.4,2008.970451
5_C04,Dub2a.2,2013.137823
8_C03,Kat2b.1,2829.395275
11_F05,Ncor1.3,2832.274549
control3_G09,Wdr82.4,1500.872965
4_E03,Ctsl.2,2025.744356
11_F08,Orc1.3,2842.141734
control2_D05,Ncor1.4,2847.471714
11_B07,Pcgf1.1,2849.316892
9_G02,Mbd2.4,2853.629348
12_C11,Phf19.1,2860.64119
11_E08,Nap1l3.3,2866.941683
8_C09,Kdm4d.1,2867.076628
3_F02,Carm1.3,2041.522924
3_G02,Chaf1a.4,2042.748908
14_G11,Psip1.4,2871.582528
15_G06,Sin3a.4,1549.156362
15_F11,Sfmbt2.4,1549.547639
1_C07,Atad2.2,2045.264233
1_B08,Atm.1,2045.826806
5_B10,Eed.1,2054.858869
20_E06,Paf1.3,1943.087487
6_G09,Hcfc1.4,2060.924623
8_D06,Kat2b.2,2909.613464
20_E02,Jmjd8.3,1957.923413
8_G08,Kat2a.4,2912.713801
2_B02,Baz1a.1,2070.199434
control2_D10,shCd4.3+Runx3,2917.074531
6_C02,Hdac2.2,2073.991636
control2_F09,Sp140.4,2925.679687
5_B04,Epc2.1,2076.244411
19_F03,Eaf1.3,2414.458413
3_D02,Brwd3.2,2079.85026
10_G09,Mta3.4,2933.619645
5_C02,Ezh1.2,2081.777005
control2_B11,shCd4.1+pMig,2949.058769
15_D08,Setmar.2,1646.847521
15_B03,Setdb1.1,1647.815579
19_G06,Dpy30.3,2436.351735
11_C06,Padi6.1,2957.727497
5_B02,Dub2a.1,2095.851729
1_B06,Aff4.1,2097.043961
16_C08,Sirt4.2,1662.568097
2_G09,Brd2.4,2099.819886
8_F03,Kdm5a.3,2967.309825
control2_G02,Smarce1.1,2968.559375
20_B07,Rnf2.2,2022.327653
15_G04,Scml2.4,1668.573953
20_F02,Gtf2h1.3,2034.66435
6_F09,Gtf3c4.3,2107.870232
11_E07,Ncor1.2,2981.90558
control1_F09,Sp140.4,2110.92618
control1_D06,Cxxcl.1,2111.226933
5_D02,Eed.2,2113.904369
7_D04,Ing4.3,2115.934544
6_G08,Gadd45a.4,2117.282223
7_E04,Hdac7.4,2119.416627
11_C08,Ncoa1.2,3006.752695
13_G11,Prdm4.4,3007.83098
11_F07,Parp1.4,3008.822209
3_G08,Carm1.4,2125.590233
13_F06,Prdm13.3,3011.333051
16_G09,Smarca5.4,1720.81128
8_E10,Kdm3b.3,3018.817619
11_C04,Nap1l2.2,3021.022951
12_G04,Pcgf5.4,3022.401005
10_F06,Mll5.3,3022.432844
6_B08,Hdac2.1,2132.671961
19_D03,Dpy30.1,2501.290773
1_G03,Asxl1.4,2136.209447
15_F04,Setdb2.4,1741.813744
5_B05,Ep400.1,2143.617072
2_F05,Bmi1.3,2144.110968
control1_B05,Bptf.4,2145.93857
control1_D09,Cxxcl.4,2146.212943
8_D10,Jmjd5.3,3048.426354
4_G06,Dnmt3l.4,2149.500062
6_G10,Gtf2f1.4,2149.837816
15_D02,Scml2.2,1773.801062
4_C07,Dmap1.2,2152.850338
control2_G07,Wdr82.2,3060.634773
6_D03,Hdac4.2,2155.362203
11_E11,Ncor2.3,3071.013132
3_B02,Brwd1.1,2163.275114
3_D10,Brwd1.3,2163.479554
20_D06,H2afz.3,2143.436012
5_D11,Fbxo44.2,2167.183047
15_G09,Setdb1.4,1807.606301
