Position,Pool,shRNA,GeoMean
control2_C08,2,Brd8.3,5309.5030057212
control2_C09,2,Brd8.4,5513.88033941962
control2_C10,2,Cd4.2,5162.76077560724
control2_C11,2,Cd4.2,457.626790313493
control2_D02,2,Ncor1.1,4193.55494583056
control2_D03,2,Ncor1.2,2882.07050816649
control2_D04,2,Ncor1.3,6355.87957173099
control2_D05,2,Ncor1.4,5632.08409966614
control2_D06,2,Cxxcl.1,5155.47427354416
control2_D07,2,Cxxcl.2,3985.50587031798
control2_D08,2,Cxxcl.3,4742.07141053086
control2_D09,2,Cxxcl.4,3778.31260014708
control2_D10,2,Cd4.3,4724.10808543755
control2_D11,2,Cd4.3,413.453593858038
control2_E02,2,Smarca4.1,2297.84237655654
control2_E03,2,Smarca4.2,2252.3986313947
control2_E04,2,Smarca4.3,2733.43214772831
control2_E05,2,Smarca4.4,4555.26067324654
control2_E06,2,Klf2.1,6911.6672313137
control2_E07,2,Klf2.2,5241.0040377657
control2_E08,2,Klf2.3,6171.56102090569
control2_E09,2,Klf2.4,4974.57342640663
control2_E10,2,Cd4.4,6060.79936673431
control2_E11,2,Cd4.4,739.376281906733
control2_F02,2,Runx3.1,5281.77001127698
control2_F03,2,Runx3.2,1149.67565617905
control2_F04,2,Runx3.3,1225.61732000345
control2_F05,2,Empty,10221.4087933276
control2_F06,2,Sp140.1,4600.57611543925
control2_F07,2,Sp140.2,2992.03357908921
control2_F08,2,Sp140.3,4128.33215313046
control2_F09,2,Sp140.4,4764.12211504488
control2_F10,2,Empty,5305.62679211883
control2_F11,2,Empty,2211.81195514951
control2_G02,2,Smarce1.1,5962.61439579199
control2_G03,2,Smarce1.2,1083.18566447008
control2_G04,2,Smarce1.3,1156.33937907223
control2_G05,2,Smarce1.4,3670.93489194763
control2_G06,2,Wdr82.1,5636.73852688206
control2_G07,2,Wdr82.2,5705.7298622727
control2_G08,2,Wdr82.3,5749.03687626602
control2_G09,2,Wdr82.4,6011.46585078364
control2_G10,2,Empty,4030.499649821
control2_G11,2,Empty,3474.31829979076
13_B02,2,Prdm10.1,5460.61406080641
13_B03,2,Prdm5.1,6997.03474018715
13_B04,2,Prdm6.1,5769.9711982561
13_B05,2,Prdm4.1,6083.80535817111
13_B06,2,Prdm12.1,6840.45488795861
13_B07,2,Prkcd.1,6724.43831084254
13_B08,2,Prdm9.1,5937.04818761392
13_B09,2,Prdm15.1,6875.60836734776
13_B10,2,Prdm11.1,6542.45457522665
13_B11,2,Prkaa1.1,6133.11132879949
13_C02,2,Prdm9.2,6486.47119914849
13_C03,2,Prdm13.1,7195.9732914872
13_C04,2,Prdm10.2,6926.99608200444
13_C05,2,Prkaa1.2,6490.41192261291
13_C06,2,Prdm8.1,5825.4304040332
13_C07,2,Prdm6.2,5307.7053014281
13_C08,2,Prdm12.2,7478.59760698298
13_C09,2,Prkaa2.1,6052.75569372386
13_C10,2,Prdm5.2,5212.15905868036
13_C11,2,Prdm2.1,5054.64118611537
13_D02,2,Prdm11.2,5139.20295091911
13_D03,2,Prkaa2.2,7925.6929684055
13_D04,2,Prdm5.3,7963.64587040037
13_D05,2,Prdm14.1,7736.66604892465
13_D06,2,Prdm13.2,6082.23547959762
13_D07,2,Prkaa2.3,6900.79245044321
13_D08,2,Prdm8.2,9039.03565085447
13_D09,2,Prdm15.2,7480.38588079983
13_D10,2,Prdm10.3,5310.97978338391
13_D11,2,Prkcd.2,6528.76374405654
13_E02,2,Prdm2.2,6747.49218697379
13_E03,2,Prdm4.2,6516.97972974103
13_E04,2,Prdm10.4,7188.36350368991
13_E05,2,Prdm9.3,7569.18126883785
13_E06,2,Prdm6.3,7134.94492479692
13_E07,2,Prdm14.2,5276.13578524955
13_E08,2,Prdm11.3,7104.72910544416
13_E09,2,Prkaa1.3,5389.95165696874
13_E10,2,Prdm8.3,5955.91032394362
13_E11,2,Prdm15.3,5775.71598687223
13_F02,2,Prdm12.3,6869.44184127561
13_F03,2,Prkcd.3,4643.02326101744
