Position,Pool,shRNA,GeoMean
6_B08,1,Hdac2.1,58.70855945
6_B09,1,Gtf2f1.1,40.95785367
6_B10,1,Fkbp1a.1,39.80650164
6_B11,1,Hdac3.1,45.37268169
6_C02,1,Hdac2.2,55.09335056
6_C03,1,Gadd45b.1,53.15950748
6_C04,1,Fbxw9.2,48.09290006
6_C05,1,Hdac3.2,54.73153418
6_C06,1,Hdac10.1,58.94669884
6_C07,1,Hdac1.2,48.28231885
6_C08,1,Gadd45a.2,43.03037464
6_C09,1,Hdac4.1,42.27597152
6_C10,1,Hcfc1.2,58.46812662
6_C11,1,Gtf3c4.1,42.09133517
6_D02,1,Fkbp1a.2,27.38131782
6_D03,1,Hdac4.2,51.61341423
6_D04,1,Hcfc1.3,69.09471358
6_D05,1,Gtf2b.1,51.28375587
6_D06,1,Gadd45b.2,38.83360429
6_D07,1,Hdac4.3,41.0738955
6_D08,1,Hdac10.2,49.54626421
6_D09,1,Gtf2f1.2,45.43964428
6_D10,1,Fbxw9.3,59.72928217
6_D11,1,Hdac6.2,42.74318182
6_E02,1,Gtf3c4.2,63.81958405
6_E03,1,Hat1.2,55.22421157
6_E04,1,Fbxw9.4,55.47013168
6_E05,1,Hdac2.3,52.79385138
6_E06,1,Hdac1.3,78.11459161
6_E07,1,Gtf2b.2,103.9013115
6_E08,1,Fkbp1a.3,43.28491504
6_E09,1,Hdac3.3,45.49168245
6_E10,1,Hdac10.3,44.77163727
6_E11,1,Gtf2f1.3,56.20571421
6_F02,1,Gadd45a.3,67.31296601
6_F03,1,Hdac6.3,51.76805899
6_F04,1,Hdac1.4,69.25105828
6_F05,1,Gtf2b.3,45.23898179
6_F06,1,Gadd45b.3,54.92091217
6_F07,1,Hdac2.4,54.41957137
6_F08,1,Hat1.3,54.55353785
6_F09,1,Gtf3c4.3,44.73558394
6_F10,1,Gadd45b.4,47.23592743
6_F11,1,Hdac3.4,42.34688241
6_G02,1,Hdac10.4,68.33639421
6_G03,1,Gtf3c4.4,64.58328249
6_G04,1,Fkbp1a.4,62.23124913
6_G05,1,Hdac6.4,50.59518837
6_G06,1,Hdac4.4,49.58288941
6_G07,1,Gtf2b.4,52.70635467
6_G08,1,Gadd45a.4,46.49362194
