shRNA,count,pctg,nbPctg
Mbd4.3,31419,0.2040618564816252,86.45583815655395
Mbd4.4,19704,0.12797462745835142,84.20291087673694
Mecom.1,3277,0.02128364058977962,75.87906244217376
Mecom.2,5789,0.03759871692835954,78.44546441176065
Mecom.3,9254,0.06010339030144052,80.61605384351827
Mecom.4,2694,0.017497139990499327,75.01327534446315
Men1.1,6829,0.044353366367898994,79.20454181796038
Men1.3,3540,0.02299178751535546,76.22276844396006
Men1.4,7201,0.04676945251358042,79.4494906917008
Mll1.1,3938,0.025576739897025372,76.69950137880946
Mll1.2,47541,0.30877191250494745,88.46169893153083
Mll1.3,60171,0.3908019340639699,89.59673437659357
Mll1.4,2732,0.01774394448925173,75.07468269618147
Mll2.1,267696,1.7386467657374565,96.18043225579247
Mll2.2,96394,0.6260650750720831,91.82716209401477
Mll2.3,39,0.0002532993539827297,58.47928400066971
Mll2.4,18965,0.12317492944314021,84.01929419049657
Mll3.2,285434,1.853852507812986,96.41567072191371
Mll3.3,16938,0.11000985789126859,83.477531644081
Mll3.4,14839,0.09637715676281347,82.84586399245495
Mll5.1,127269,0.8265937303084108,93.09730322146991
Mll5.2,36908,0.23971211684088684,87.2360930548474
Mll5.3,15118,0.09818922137207453,82.93463400012816
Mll5.4,30927,0.20086638770830464,86.37939579344848
Morf4l1.2,345058,2.241101756065967,97.07398352875212
Morf4l1.3,49142,0.31917017572870005,88.6217241829229
Morf4l1.4,61667,0.40051823748853815,89.71452969722161
Ms4a1.2,8454,0.0549075061171794,80.19402425840396
Msl3.1,287,0.001864023451103677,65.76541370876554
Msl3.2,614,0.003987841111420411,68.77277098897142
Msl3.3,40220,0.2612230773637279,87.6524681942097
Msl3.4,24151,0.15685724866761291,85.18324126853179
Mta1.1,262,0.001701652070345517,65.41239147347973
Mta1.2,13821,0.0897653941383412,82.50767565533957
Mta1.3,9510,0.061766073240404076,80.74377406888289
Mta1.4,77065,0.5005260183251041,90.7769345745725
Mta2.1,56361,0.3660565356364263,89.2824458478422
Mta2.2,87012,0.5651303433011609,91.3490957231847
Mta2.3,754,0.004897120843666107,69.60903624603965
Mta2.4,25309,0.1643782910243309,85.40943643587961
Mta3.1,142263,0.9239775896319249,93.59256450138935
Mta3.2,649,0.004215161044481835,68.99800064840646
Mta3.3,3,1.9484565690979206e-05,50.2891183295085
Mta3.4,7383,0.04795151616549982,79.56496751807308
Mtf2.1,43805,0.28450713336444805,88.06588506539285
Mtf2.2,51955,0.3374402034916082,88.89036381718631
Mtf2.3,5622,0.03651407610489503,78.31170092529752
