plate_well,shRNA,AmtGFP_CD103Percentage_100U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_CD103Percentage_10U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_CD127GeoMean_100U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_CD127GeoMean_10U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_CD25GeoMean_100U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_CD25GeoMean_10U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_CD44GeoMean_100U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_CD44GeoMean_10U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_CD62LPercentage_100U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_CD62LPercentage_10U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_CXCR3GeoMean_100U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_CXCR3GeoMean_10U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_CXCR3Percentage_100U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_CXCR3Percentage_10U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_Lag3GeoMean_100U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_Lag3GeoMean_10U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_PD1GeoMean_100U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_PD1GeoMean_10U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_Tim3GeoMean_100U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_Tim3GeoMean_10U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_Tim3Percentage_100U_shRNA_fixed_normbycontrolZP.csv,AmtGFP_Tim3Percentage_10U_shRNA_fixed_normbycontrolZP.csv
12_B02,Pcgf2.1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
12_B03,Phf20.1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
12_B04,Phf20l1.1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
12_B05,Phf2.1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
12_B06,Pcgf6.1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
12_B07,Prdm1.1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
12_B08,Phip.1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
12_B09,Phf1.1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
12_B10,Pcgf5.1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
12_B11,Polr2b.1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
12_C02,Phip.2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
12_C03,Pcmt1.1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
