gene_name,t1,t2
Setd1a.3,17.790924,29.383423
Sfmbt1.4,-2.9314425,-48.375618
Setd8.3,3.4125953,67.92652
Setd5.3,19.684277,-66.61676
Setd1a.4,27.057892,13.824128
Sfmbt2.4,-22.033007,26.818195
Setmar.4,-7.7034802,-1.7671419
Setd5.4,19.643244,-66.530075
Scml2.4,-4.2136345,-3.285399
Sin3b.4,13.057158,-54.01585
Sin3a.4,39.503254,62.689472
Setd2.4,13.052596,-54.01096
Scml4.4,-73.62905,-8.1001625
Setdb1.4,36.80681,62.470276
Setd4.4,43.712296,59.8794
Setd8.4,42.942646,58.33811
Sirt1.1,5.5617733,-74.16016
Smarca5.1,-66.18317,-14.531813
Smarcc2.1,8.805504,-41.054905
Smarca4.1,-91.28569,-19.367329
Sirt4.1,-13.522575,0.69073415
Smyd3.1,-14.586945,-46.377895
Smarcd3.1,41.5372,52.78508
Sirt7.1,-13.943526,-46.646492
Sirt3.1,-8.531927,-0.34364817
Smarce1.1,-10.305937,-50.315876
Smarcd3.2,-2.2382948,-56.93441
Sirt5.1,-1.4612982,-57.6316
Sirt1.2,-3.8153148,-55.835964
Smarce1.2,-90.13167,-12.102109
Smarcd1.1,2.2482536,-76.764046
Smarcc2.2,8.278315,-42.264664
Sirt4.2,-18.20964,-39.521957
Smyd2.1,-10.592754,-50.179794
Smarca5.2,1.2547302,-4.336268
Smarca1.1,6.8990474,-46.28991
Sirt3.2,-46.952606,-3.9860532
Smyd2.2,-5.395936,-54.67941
Smarca5.3,-66.560524,-13.364279
Sirt6.1,-34.72721,-52.81425
Sirt5.2,-3.3224165,-64.252396
Smyd2.3,-80.44291,10.803501
Smarcd1.2,-16.047216,-58.602776
Sirt7.2,-61.784424,-35.86556
Sirt1.3,-5.7694097,-48.743477
Smyd3.2,7.621312,-31.185831
Smarca1.2,-4.3482347,-55.44537
Smarca4.2,-91.06538,-19.41041
Sirt1.4,-3.1177263,-63.249546
Smarcd3.3,9.867058,-63.37045
Smarcc2.3,29.79283,31.013794
Sirt6.2,-5.400914,-48.66474
Sirt3.3,8.016422,-42.919106
Smarce1.3,-90.432106,-11.956513
Smarcd1.3,3.9664512,-75.510735
Sirt7.3,43.885086,61.251755
Sirt4.3,-4.2264385,-56.964962
Smyd3.3,-2.2185273,-54.56545
Smarcc2.4,-0.55103815,-19.618332
Sirt6.3,-2.1174202,-38.127033
Sirt5.3,31.570978,33.13104
Smarcd3.4,7.6132655,-36.49973
Smarca4.3,-83.98015,-32.226036
Smarca1.3,3.8734488,-61.93196
Sirt5.4,5.6712475,-47.118706
Smarce1.4,-83.916916,-32.281815
Smarcd1.4,-16.254,-58.47891
Smarca1.4,5.46561,-74.230736
Sirt3.4,-12.290902,-66.785736
Smyd3.4,6.22858,-46.696514
Smyd2.4,7.669153,-35.68711
Sirt6.4,7.6448607,-36.300926
Sirt4.4,-12.683875,-40.468975
Smarca5.4,-65.97612,-15.227859
Smyd4.1,-64.61163,-31.657661
Suv39h2.1,-63.750893,-32.172146
Suv420h1.1,11.25166,12.699509
Suv39h1.1,15.922942,2.4309466
Sp100.1,20.964014,16.311934
Tcea1.1,12.075467,10.763306
Suz12.1,34.801468,15.883776
Ssrp1.1,21.183714,16.338526
Smyd5.1,19.940252,16.425373
Taf1.1,2.8133402,-78.34137
Suz12.2,-21.166954,-51.92256
Sp110.1,-13.942156,-43.54005
Smyd4.2,-14.137022,-43.50727
Taf1.2,0.6539445,-76.07696
Suv420h2.1,-10.58378,-17.68351
Suv420h1.2,-12.831272,-41.414658
Sp100.2,-62.27853,-32.54067
Taf3.1,-3.1189253,-76.21812
Suv39h2.2,7.0424047,-61.858727
Supt16h.1,26.937073,28.542728
Smyd5.2,11.319533,-29.272348
Taf3.2,-21.014269,-50.5225
