shRNA,nbPctg_Q4,nbPctg_Q3,nbPctg_Q2,nbPctg_Q1,nbPctg_input,inputMinusAvg_nbPctg
Sirt1.1,86.43076156441488,88.46101943249658,81.0443822651647,85.38444779002111,71.88572423422063,-13.444428528803684
Sirt1.2,99.90638917934336,99.96577236772198,99.93171726961145,99.85779234446433,99.11010844460529,-0.8053093456799871
Sirt1.3,78.28060523591705,74.54247756757091,83.59895883776987,78.60643826367863,71.91252475527516,-6.844595220958965
Sirt1.4,79.50077282629445,73.45771847517976,79.15410680270732,80.018391784353,93.00479398228624,14.972046510152609
Sirt3.1,53.39276949719805,57.11018418231151,70.60129116190848,64.34689875813521,48.21074397647585,-13.152041923412469
Sirt3.2,28.076390462692025,13.916277302596372,46.62603195437129,47.867185498431695,66.07135545570178,31.949884151178935
Sirt3.3,60.91036275962871,54.30245386980366,48.82597176143334,58.44637285579696,74.73895970624827,19.117669394582606
Sirt3.4,85.59506354786085,87.20659898910998,81.73908714066123,83.43564387112133,70.17021376463155,-14.32388462255679
Sirt4.1,25.87735342037715,71.97055197672907,19.738832111449607,5.387592201832225,56.473958835161056,25.730376407564044
Sirt4.2,85.02515902762615,75.96316055314733,71.92074842541706,78.27173220141978,86.89484312455346,9.099643072650878
Sirt4.3,28.076390462692025,38.98003949594851,36.724125684760914,61.30314980728602,59.807656278420716,18.53672991574885
Sirt4.4,64.98875961204836,60.603232190571475,51.87326215273451,62.12454804745222,52.50431039136871,-7.393140109332926
Sirt5.1,78.135196702696,74.23080002738803,72.66333357184057,69.38366519615799,86.6480376200303,13.04478874550965
Sirt5.2,62.46494248630996,71.68242274722279,64.89953236659014,69.30316663342464,62.64039259366301,-4.447123464723873
Sirt5.3,5.387592201832225,5.387592201832225,27.88705382807378,5.387592201832225,58.094993039293776,47.08253543090116
Sirt5.4,68.14340962519151,62.702338504947484,13.555050212887082,37.09460507821263,52.07154232873857,6.697691473428897
Sirt6.1,50.67081280391591,43.99328040057198,56.382884502670784,47.3901941459205,64.66545493783701,15.056161974567217
Sirt6.2,61.137240154509755,51.318438059226914,53.664580621660875,51.74221279545412,56.809274797086275,2.3436568893733565
Sirt6.3,16.11380237386252,5.387592201832225,5.387592201832225,5.387592201832225,5.387592201832225,-2.681552543007573
Sirt6.4,49.19546014848352,5.387592201832225,31.8102545770262,39.551679156232886,54.267366253107184,22.781119732213476
Sirt7.1,86.25537827912486,78.49431797786195,83.59219513147258,83.32570508644037,64.63371369407899,-18.28318542464595
Sirt7.2,61.767658141515824,71.53607821141573,57.10516540177778,73.67480274693948,52.70059313999849,-13.320332985413714
Sirt7.3,86.17707311493783,51.7081338272802,21.499195596572072,16.08534661789606,79.62694171127816,35.75950442210662
Sirt7.4,76.4563399389316,78.12224390354291,80.28910614505924,75.30421058480613,71.72400486274027,-5.8189702803447005
Smarca1.1,76.15514464843083,89.04106828604127,79.71927651374844,76.3966540831189,65.9327267398266,-14.395309143008262
Smarca1.2,75.8542262142926,81.19238299213598,68.8360867395639,81.69047567858426,64.4546842609106,-12.438608645233586
Smarca1.3,57.806278123045175,49.86510578881864,62.783552459621085,56.56134734222951,99.25259408256251,42.498523154133906
Smarca1.4,50.28940254462289,67.10922271191421,51.6242600658101,49.705695490406,62.72762383763843,8.045478634450134
Smarca2.1,24.960241129334815,36.3734759527269,40.23999471292348,33.26036226177216,45.710538746787805,12.002020232598468
Smarca2.2,75.60932202277046,74.94737248269784,76.78335526385034,79.997471611215,57.89233825867998,-18.942042086453434
Smarca2.3,30.574721086593616,38.548533062668675,24.871825450191647,49.894231923463174,34.788858319086984,-1.1834695616422977
Smarca4.1,68.00457097194467,72.16889249221758,59.698186992786816,52.84809491151164,71.88572423422063,8.705787892105455
Smarca4.2,45.84596384647811,64.21747461302274,48.645721387005906,56.33349994366223,83.27492402963388,29.514259082091634
Smarca4.3,82.43879524626988,89.25465228838365,75.04409226280457,74.68965747340364,60.089838144467834,-20.266961173247594
Smarca4.4,55.38884849829495,55.748728468040255,52.18618443795635,48.510769376433814,65.2248886887834,12.266255993602051
Smarca5.2,22.118603359265208,18.6022709372531,30.435345745631498,16.08534661789606,75.38130848857938,53.57091682356791
Smarca5.3,44.7491722422774,25.824423986758767,54.02859019101197,47.418549753066586,67.30468320212745,24.299499158848768
Smarca5.4,62.26787935807082,59.03597834163187,72.51068166218576,66.1066222897179,82.38888221972753,17.40859180682594
Smarcc1.1,77.80810098659123,72.76091993778981,52.30602314840665,78.48896375622535,76.83412667232884,6.493124715075581
Smarcc1.2,87.97050183057755,87.63751231084558,82.75983888357692,72.79299489520348,86.074356991524,3.2841450114731146
Smarcc1.3,81.88338891741438,79.86675768677975,77.9312465012723,72.28827863816278,66.75061105330383,-11.24180688260347
Smarcc2.1,5.387592201832225,5.387592201832225,5.387592201832225,5.387592201832225,5.387592201832225,0.0
Smarcc2.2,38.93811141702414,5.387592201832225,15.665586193940046,62.095932458418226,62.39004887539647,31.868243307592806
Smarcc2.3,48.66221638850673,56.671278577399754,53.998512954354936,71.69184677516004,62.218146512915965,4.462182839060603
Smarcc2.4,96.07278114369139,94.2678709132002,95.50745256352141,95.95699981218758,71.98869168245488,-23.462584425695255
Smarcd1.1,88.77906721360269,86.52790349373366,78.93073185446664,78.2085875688002,97.24539157863678,14.133819045985987
Smarcd1.3,70.4102255212504,71.49186076569698,63.14557980328242,70.61349605047835,72.22611003371789,3.3108194985408517
Smarcd1.4,84.08165400337249,84.38156157530851,75.94505601464905,75.34171294067613,92.82814075124016,12.890644617738616
Smarcd2.1,45.48018285491138,55.64404550048725,42.755624088623385,54.864382450961756,39.421493216509425,-10.264565507236519
Smarcd2.2,55.542643288175164,62.501231714599236,42.020154882942485,56.799480353475076,21.527967173492772,-32.68791038630522
Smarcd2.3,42.04310911034329,58.25006195180903,38.267840956022454,40.94798915957794,53.61243262565322,8.735182331215043
Smarcd3.1,53.48220408286183,33.967144549270195,52.62605822424078,50.840553206225195,57.65536429078645,9.92637427513695
Smarcd3.2,71.59748704820859,62.41808218467825,65.5978332675745,62.973086089513764,75.30976370235022,9.663141554856452
Smarcd3.3,76.56325414027148,86.84889666169764,76.04848144676288,77.53078307026293,67.822965471925,-11.424888357823733
Smarcd3.4,67.02031837257894,73.4063551669765,89.62480877763929,70.28900701796776,55.50089496211286,-19.584227371677763
Smarce1.1,48.15934436286613,59.44158820651032,26.4255074537661,37.7338480380064,56.16498102214115,13.224909006853913
Smarce1.2,46.75858107039295,61.17040653883685,57.14094132278169,28.656579366407286,59.83432836923468,11.402701294629985
Smarce1.4,68.30577092097357,92.54018788735519,90.523963207219,95.01788450085913,92.52705654132102,5.930104912219278
Smyd1.1,65.83906773386506,64.46052059485511,52.85653639615989,66.09947895253188,43.396171936329544,-18.917728983023444
Smyd1.2,66.2245193297052,59.07128693793863,56.11651920345471,62.02920684460616,58.34449407512905,-2.5158890037971275
Smyd1.3,88.43526928678835,81.03557884657049,77.87702338188379,82.30426769472152,76.07950309910294,-6.333531703388104
Smyd2.1,75.80347171505264,72.06061846583545,64.59356867029985,66.9051184356075,72.03042040979727,2.1897260880984106
Smyd2.2,67.63196158682027,71.0724988661639,65.74789862012832,73.64519918534482,70.22628268570605,0.7018931210917287
Smyd2.3,53.676631006180486,70.30211521254846,59.163305448114,63.29190290750982,51.15956408999438,-10.448924553593812
Smyd2.4,45.275707200137894,5.387592201832225,27.088996485093986,20.279966631051792,25.653243176977085,1.1451775474481103
Smyd3.1,58.365346152187584,79.16304487915554,69.23341605894727,71.05374242528694,54.36035780426061,-15.093529574633727
Smyd3.2,47.46502493884656,54.35226070183412,72.19199722249664,50.862433310399446,83.86495246388111,27.647023420486917
Smyd3.3,13.916277302596372,5.387592201832225,18.99976388323407,22.092619081783944,73.5206858683754,58.42162275101374
Smyd3.4,66.21010524862014,48.79468057237425,53.195325929626215,63.71469748087014,44.080266081145005,-13.89843622672769
Smyd4.1,90.58067973208094,83.61735174981423,83.99749978682705,85.1339869294015,66.57405344424448,-19.258326105286457
Smyd4.2,79.63686264428127,82.33234836744757,82.37248495576466,85.92800396210455,86.09854959071338,3.53112460831386
Smyd4.3,75.94812529509244,42.31637254458976,64.5442750326595,34.30480163117684,57.082786850587006,2.8043932247073684
Smyd4.4,79.3742441946521,70.76001743707285,79.15899995436831,82.07539818096343,75.29183406755618,-2.5503308742079867
Smyd5.1,88.52134388706621,93.5445397414146,81.36501478741248,86.30045579112289,77.49741991247129,-9.935418639282759
Smyd5.2,44.04516781117655,46.44993544478116,62.02213107089983,62.20973501317383,51.27722703790138,-2.4045152971064567
