,,Experiment: 10U p1,Analysis: Analysis 2,User: Admin,Plate: 6,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:33:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
E04,Fbxw9.4,E04,Sample,9533,2162,1991,955,1739.886023,1203.382645,960.8980528,88.05982916,416.1361731,218.4918837,55.87693387,29.23219241,31.08990457,33.40314136,28.35465635,5270.115605,548.5741314,458.9079264,3788.580214,95.14338575,49.62330487,46.59685864,88.21779232,51.15633673,35.15821195,33.61256545,48.25944659,677.7192779,134.049051,101.8823164,593.2410158
E05,Hdac2.3,E05,Sample,9565,2069,2064,892,1629.771063,1158.597247,982.71576,62.19594687,228.5897149,204.6674483,68.64789236,30.40115998,33.13953488,33.74439462,23.06794984,4825.49751,605.0751208,413.2160415,3673.82715,94.53842436,52.3255814,44.05829596,88.39311753,55.24407927,33.96317829,31.16591928,47.01079032,811.4301865,155.7509636,106.9268244,559.7252992
E06,Hdac1.3,E06,Sample,9962,1760,1700,1244,1775.090762,1092.803112,960.0055195,97.05861388,327.3032536,387.8213598,87.34226169,31.93181818,30.23529412,28.37620579,25.75035731,5256.329132,318.5106583,377.4422889,4251.39115,92.32954545,39.29411765,41.72025723,90.49547404,65.45454545,39.23529412,26.60771704,46.83182468,893.225722,140.3974735,99.61995815,654.950574
E07,Gtf2b.2,E07,Sample,8739,509,472,1797,1809.758228,1314.010363,1170.119601,236.5591656,591.8636125,660.1967814,135.2039211,32.22003929,34.53389831,30.6065665,23.69863014,6768.298691,364.3951735,464.2039194,3938.772397,95.2848723,43.8559322,43.51697273,89.08023483,65.42239686,39.40677966,27.49026155,46.53620352,937.5147639,174.8471774,121.7395384,578.9366091
E08,Fkbp1a.3,E08,Sample,11606,3275,2590,1053,1477.808151,1208.843096,1010.133937,75.01570643,580.1406565,353.9649158,59.88373496,26.87022901,34.51737452,34.28300095,26.91139939,5080.49253,390.3778247,332.2708138,4047.795468,94.13740458,43.01158301,38.65147198,89.23544024,46.93129771,25.86872587,25.16619183,47.99889594,609.4627004,114.9416206,110.0362863,666.3716405
E09,Hdac3.3,E09,Sample,9380,1431,1503,1033,1640.737538,992.8309865,914.4590309,446.978211,1989.155455,268.6592902,47.80713344,28.5814116,34.66400532,30.59051307,25.97137014,4179.69951,296.6310116,446.396112,4827.076174,89.51781971,36.52694611,44.72410455,91.43376505,39.55276031,23.15369261,28.36398838,54.05589639,540.7803247,117.5668332,121.1681458,855.8540043
E10,Hdac10.3,E10,Sample,9478,1409,1187,1326,1439.007817,1139.008106,1067.106195,74.41230338,569.1001781,358.3397433,68.2856006,29.38254081,34.03538332,30.54298643,23.77189235,5493.739049,479.4620313,406.9701567,4359.390115,94.74804826,46.84077506,41.02564103,90.2605724,43.08019872,29.14911542,24.81146305,44.0837249,788.2405269,133.7028871,113.0066334,669.2575914
E11,Gtf2f1.3,E11,Sample,10995,1315,1117,1686,1788.72366,1538.972684,1045.703129,102.387024,919.6652544,541.9239589,86.12773768,28.59315589,37.77976723,28.64768683,22.06127206,5207.519122,430.6503517,348.6888191,4982.6825,94.37262357,43.68845121,38.61209964,92.12454212,40.76045627,28.02148612,23.66548043,46.78654679,743.7945111,157.0621453,106.796033,686.3905454
F02,Gadd45a.3,F02,Sample,9174,860,1148,1681,1655.393284,1110.808863,909.9790147,65.21414784,362.4399538,210.141039,56.17687565,27.09302326,35.27874564,32.00475907,25.47854785,4540.116821,416.4427925,445.3959079,3565.412021,94.41860465,43.37979094,42.17727543,87.94279428,42.20930233,31.79442509,29.80368828,38.21782178,737.1611984,165.1832469,127.2278603,545.1000733
F03,Hdac6.3,F03,Sample,8570,214,451,2236,1358.495801,939.9852969,900.2344043,46.57200617,249.817103,226.6193658,49.60829572,34.57943925,36.14190687,32.06618962,27.58831938,5110.251037,612.500166,417.1335188,3872.987594,95.79439252,50.99778271,41.77101968,88.82989585,51.40186916,38.58093126,32.20035778,44.68041658,938.4510285,182.8847272,113.7637973,619.9497728
